idx,title,category,platform_names,evidence_source
0,Real-time deep reinforcement learning based vehicle navigation,named-platform,SUMO;MATSim;VISSIM;Aimsun,fulltext-pdf
1,A reinforcement learning-based routing algorithm for large street networks,named-platform,OpenAI Gym/Gymnasium,fulltext-pdf
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,named-platform,SUMO,fulltext-pdf
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,named-platform,SUMO,fulltext-pdf
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,not-addressed,,fulltext-pdf
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,named-platform,SUMO,abstract (fulltext file not locatable)
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,named-platform,SUMO,fulltext-pdf
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,named-platform,SUMO,fulltext-pdf
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,named-platform,SUMO,fulltext-pdf
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,named-platform,SUMO,fulltext-pdf
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,named-platform,SUMO;OpenAI Gym/Gymnasium,fulltext-pdf
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,named-platform,SUMO,fulltext-pdf
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,not-addressed,,fulltext-pdf
13,Reinforcement learning of route choice considering traveler's preference,unclear,,abstract
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,named-platform,SUMO,fulltext-pdf
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,named-platform,SUMO,fulltext-pdf
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,not-addressed,,fulltext-pdf
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,unclear,,abstract
