idx,title,recovered,best_share,matched_source,matched_title
0,Real-time deep reinforcement learning based vehicle navigation,yes,1.0,OpenAlex,Real-time deep reinforcement learning based vehicle navigation
1,A reinforcement learning-based routing algorithm for large street networks,yes,1.0,OpenAlex,A reinforcement learning-based routing algorithm for large street networks
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,no,0.5,,
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,yes,1.0,OpenAlex,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,yes,1.0,OpenAlex,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,no,0.833,,
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,no,0.5,,
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,yes,1.0,OpenAlex,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,yes,1.0,OpenAlex,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environm,yes,1.0,OpenAlex,Development of Reinforcement Learning-Based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environm
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,yes,1.0,OpenAlex,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,no,0.545,,
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,no,0.5,,
13,Reinforcement learning of route choice considering traveler's preference,no,0.571,,
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,yes,1.0,OpenAlex,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,no,0.545,,
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,no,0.5,,
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Rein,no,0.5,,
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,yes,1.0,OpenAlex,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,no,0.667,,
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,no,0.583,,
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning alg,no,0.462,,
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,no,0.375,,
23,Route guidance system using multi-agent reinforcement learning,no,0.75,,
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,yes,1.0,OpenAlex,Network-aware multi-agent reinforcement learning for the vehicle navigation problem
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,yes,1.0,OpenAlex,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning
