paperId,title,year,venue,citationCount,abstract,source,pre_score,include
ea0485b9dcfbc214d40d2722a30957a4dedba15c,Dynamic Graph Network with Spatial-Temporal Gated Attention: A Deep Reinforcement Learning Approach for Urban Logistics Optimization,2025,Cybersecurity and Cyberforensics Conference,0,"With the development of smart transportation in cities, the dynamic vehicle routing problem has become increasingly important in urban logistics distribution, which requires optimizing vehicle routes in a dynamic environment where customer orders fluctuate in real-time and traffic conditions vary, aiming to achieve efficient resource utilization and cost minimization. Therefore, this paper focuses on solving the urban logistics distribution problem with dynamic traffic flow. The optimization obj",gnn_rl,3,n/a
a0ac1a1bd6a997f7b5ba36e1304b9747af0c1214,AI‐Infused Evolutionary Optimization for Multi‐Depot Vehicle Routing: A Case Study of Beverage Distribution,2025,Concurrency and Computation,0,"This study addresses the multi‐depot vehicle routing problem (MDVRP) using real‐world data from a beverage distribution company in Istanbul. Seven models are evaluated: Slime Mold Algorithm (SMA), Deep Q‐Network (DQN), Attention, Attention‐based SMA (ATSMA), Graph Neural Network+Long Short‐Term Memory (LSTM)+Reinforcement Learning (NGL‐RL), Graph Neural Network+RL (GR), and Evolutionary Optimization+Fuzzy Logic (EF). A key contribution is the construction of a time‐distance matrix based on histo",gnn_rl,3,n/a
20fae8b8dcd897fde681d2802d99e32fbf93144f,A Reinforcement Learning Hyper-Heuristic with Cumulative Rewards for Dual-Peak Time-Varying Network Optimization in Heterogeneous Multi-Trip Vehicle Routing,2025,Algorithms,1,"Urban logistics face complexity due to traffic congestion, fleet heterogeneity, warehouse constraints, and driver workload balancing, especially in the Heterogeneous Multi-Trip Vehicle Routing Problem with Time Windows and Time-Varying Networks (HMTVRPTW-TVN). We develop a mixed-integer linear programming (MILP) model with dual-peak time discretization and exact linearization for heterogeneous fleet coordination. Given the NP-hard nature, we propose a Hyper-Heuristic based on Cumulative Reward Q",gnn_rl,3,n/a
6c9ef44fe8f24a29b032a2bf0ee469fa57f69df0,Intelligent QV2X Routing for Traffic Management in Consumer IoV Using STGNN and Reinforcement Learning,2025,IEEE transactions on consumer electronics,4,"In the Consumer Internet of Vehicles (CIoV), reliable and timely data communication is essential for enhancing driver experience and safety. This paper introduces an innovative QV2X routing strategy that uses Spatio-Temporal Graph Neural Networks (STGNN) and Q-learning to optimize packet traffic in CIoV. By predicting network conditions and adapting to real-time data flows, our approach directly addresses consumer needs for efficient data transmission, reduced communication delays, and improved ",gnn_rl,3,n/a
a1d975d860d60e499c0814431c8ebc8883a57719,Optimizing Heterogeneous Capacitated Vehicle Routing with Linformer and Multi-Relationship Decoding: A Deep Reinforcement Learning Approach,2025,Transportation Research Record,0,"The heterogeneous capacitated vehicle routing problem (HCVRP) presents a pivotal challenge in urban grocery delivery, requiring the optimization of routes for a diverse fleet of vehicles with varying capacities and speeds to meet diverse customer demands efficiently. Traditional approaches, particularly exact and heuristic algorithms, encounter significant computational hurdles when scaled to larger problem sizes. To address these challenges, this study introduces a new neural network architectu",gnn_rl,3,n/a
b7e2ec71ea21081227387b86715b19103b282fcc,Research on Dynamic Waste Collection Routing Optimization Based on Deep Learning and Incremental Reinforcement Learning,2025,2025 6th International Conference on Computer Engineering and Intelligent Control (ICCEIC),0,"With the rapid development of intelligent control systems in smart cities, dynamic routing optimization for urban waste collection has become a critical challenge in computer engineering applications. Addressing the limitations of traditional methods in handling dynamic environments with real-time waste volume fluctuations and traffic changes, this paper proposes an intelligent dynamic waste collection routing optimization framework that integrates deep learning architecture with incremental rei",gnn_rl,3,n/a
8aef11c516c256cef48436b3e3a2abe74e4edf26,A deep reinforcement learning approach for flexible multipath routing using graph neural networks,2025,MATEC Web of Conferences,1,"Conventional dynamic routing protocols such as RIP and OSPF predominantly adopt singlepath transmission strategies, which often result in inefficient bandwidth utilization and network congestion, especially under dynamic traffic demands. To solve these problems, this paper proposes a flexible multipath routing optimization framework that integrates Deep Reinforcement Learning (DRL) with Graph Neural Networks (GNN). Specifically, the proposed approach introduces a multi-path decision-making mecha",gnn_rl,3,n/a
91d0a23661f4476333fac8c3f0ebd5793f419ca1,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",1,"Urban traffic networks are efficient route design problems due to the intricacy and dynamic character of contemporary cities. Conventional methods hamper real time adjustment to continually changing traffic conditions, thereby providing suboptimal routes, a greater burden on the roadways, and greater air pollution. This thesis presents a novel deep reinforcement learning (DRL) method to optimize the route planning for urban traffic networks. With this rendering of real time traffic data, we use ",gnn_rl,3,0
4579f1fed8675a37c15b1bbaba28ff61cee712b5,A Hybrid Deep Reinforcement Learning and Graph Neural Network Approach for Multi-objective Waste Transportation Optimization,2025,International Conference on Advances in Computing and Artificial Intelligence,0,"With the increasing amount of urban waste generated, optimizing and scheduling waste transportation routes has become a major challenge in the development of smart cities. This paper proposes a method based on combining deep reinforcement learning (PPO) with graph neural networks (GNNs) to address the path planning and scheduling problem in urban waste transportation. By combining PPO with GNNs, this study is able to optimize the transportation routes and vehicle scheduling strategies for multip",gnn_rl,3,n/a
d31998f5c01cb444583cfe575fb366d48752219b,Graph Deep Reinforcement Learning for Electric Vehicle Charging Navigation Considering Power-Transportation Interactions,2025,IEEE Power & Energy Society General Meeting,0,Optimized real-time electric vehicle (EV) scheduling is important for grid-managed charging under high penetration of EVs. This paper develops a real-time traffic and power distribution co-simulation-based approach to solve the EV en-route charging navigation problem. The EV navigation problem can be modeled as a Markov Decision Process (MDP) with vehicle destination selection to minimize charging and driving costs. The Power-Transportation Co-simulation (PTCS) platform provides merged databases,gnn_rl,3,0
