cell,corpus_idx,title,field1,value1,quote1,field2,value2,quote2,verification
none/domain-rand,1,A reinforcement learning-based routing algorithm for large s,predictive_representation,none,,generalization_mechanism,domain-rand,We reset the environment in every training epoch to randomly sample a different node pair as the sta,verified
local-prediction/transfer,8,Transfer Learning-Based Deep Reinforcement Learning Approach,predictive_representation,local-prediction,describes the predicted speed values of subsequent road links connected to the road link where the a,generalization_mechanism,transfer,This study proposes a modified MDP formulation to allow the transfer learning scheme to be applied f,verified
local-prediction/other,31,A Deep Reinforcement Learning Framework for Real-Time Vehicl,predictive_representation,local-prediction,"The agent observes the current traffic slot and normalized time, allowing it to adapt its routing po",generalization_mechanism,other,Post-training evaluations were conducted using unseen traffic data sampled from historical TomTom pa,verified
rollout-capable/domain-rand,19,Deep Reinforcement Learning for Vehicle Swarm Navigation and,predictive_representation,rollout-capable,This assignment is performed considering that congestion on certain road sections may dissipate duri,generalization_mechanism,domain-rand,each generating unique traffic scenarios with randomly initialized vehicle arrival rates and destina,verified
none/meta-RL,48,Meta-deep q-learning for eco-routing,predictive_representation,none,"The state space is defined as S = {(u, v, r_v, t_v)}...r_v is the traffic signal status flag...t_v i",generalization_mechanism,meta-RL,Meta-learning can help the model adapt to a new traffic environment quickly...it is expected to furt,verified
none/meta-RL,65,Graph Convolutional Network Based Multi-Objective Meta-Deep ,predictive_representation,none,We bypass the vehicle trajectory prediction and fuel/energy consumption prediction. This is because ,generalization_mechanism,meta-RL,This study adopts deep Q-learning (DQL) based meta-reinforcement learning for eco-routing.,verified
none/graph-inductive,57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed,predictive_representation,none,,generalization_mechanism,graph-inductive,The embedding phi(.) is graph-independent because it uses normalized coordinates rather than graph-s,verified
none/graph-inductive,67,GE-DDRL: Graph Embedding and Deep Distributional Reinforceme,predictive_representation,none,,generalization_mechanism,graph-inductive,"in order to achieve the generalization ability to new destination nodes, we employ one of the canoni",verified
none/context-conditioning,66,SEGAC: Sample Efficient Generalized Actor Critic for the Sto,predictive_representation,none,,generalization_mechanism,context-conditioning,the real-valued node embedding vector endows SEGAC with the generalized decision-making ability ... ,verified
none/context-conditioning,68,Shortest-Time Path Planning Under Carbon Emission Constraint,predictive_representation,none,,generalization_mechanism,context-conditioning,enabling generalized decision making across arbitrary OD pairs and continuous emission budgets withi,verified
individual/explicit,2,Multi-agent reinforcement learning for Markov routing games:,reward_alignment,individual,each selfish agent aims to minimize her own travel time,compliance_stated,explicit,human-driven vehicles with intelligent navigation systems where human drivers follow the navigation ,verified
individual/explicit,82,Work-in-Progress: Leveraging the Selfless Driving Model to R,reward_alignment,individual,A huge positive reward is given if the vehicle controlled by the agent reaches the destination,compliance_stated,explicit,The target vehicle will strictly follow the instructions given by the agent to travel in the system,verified
individual/explicit,87,A Reinforcement Learning-Based Path Recommendation Strategy ,reward_alignment,individual,"the reward function is defined as the comprehensive negative effect of travel time, delay, and lane ",compliance_stated,explicit,Communication coverage insufficiency and driver compliance are modeled as independent probabilistic ,verified
system/partial-modeled,30,Dynamic urban traffic rerouting with fog-cloud reinforcement,reward_alignment,system,The reward calculation was derived from the collective average speed of the RVs within specific regi,compliance_stated,partial-modeled,"The first class, termed rerouting vehicles (RVs), can receive information through connectivity and f",verified
mixed/explicit,25,Navigating the non-compliance effects on system optimal rout,reward_alignment,mixed,"pi_i = (1-eta) * pi_SO + eta * pi_ind,i ... users make decisions based on their individual policy, t",compliance_stated,explicit,users can dynamically choose to either comply or manually override this autonomy based on their own ,verified
mixed/explicit,36,Providing real-time en-route suggestions to CAVs for congest,reward_alignment,mixed,"CAVs conduct real-time learning to minimize their individual travel time, while the information prov",compliance_stated,explicit,"we do not enforce CAVs to follow the suggestions. Instead, they are intelligent agents that conduct ",verified
