paperId,title,year,venue,citationCount,abstract,source,pre_score
2560235f7d341e2d764f9a420b07bc59d1afa245,Reinforcement Learning-Based Deep Q-Network Traffic Routing for IoT-Enabled Smart Networks with QoS Constraints,2026,International Conferences on Information Science and System,0,"The radical increase in the numbers of Internet of Things (IoT) devices in smart networks has posed a considerable challenge in traffic and scalability management, and Quality of Service (QoS) provisioning. The conventional routing protocols are also static and do not respond to the dynamic traffic loads, energy and heterogeneous devices. In an effort to overcome these shortcomings, this paper presents a Reinforcement Learningbased Deep Q-Network (DQN) routing architecture that models traffic ro",rsp_rl,3
7e121c54888f66ed0e8dc13f9186350c3051f6f0,Safe and Robust Terrain Vehicle Navigation Based on Risk-Aware Path-Planning and Control,2026,IEEE Transactions on Intelligent Vehicles,0,"Path planning and tracking of terrain vehicles are key to navigation safety in the field considering complex working conditions such as uncertain rough surfaces and deformable soil. This paper proposes a hierarchical path-planning and tracking framework to address inherent stochasticity and safety-critical problems in deformable terrain navigation. Firstly, a safe planning method based on distributional reinforcement learning is proposed, where route safety is strengthened by Conditional Value a",rsp_rl,3
e501a8062dbefe29fce49e24cb5f13bfed226753,A QoS-Aware Routing Protocol for High-Speed Optical Networks Using Reinforcement Learning,2025,OPTIMA,0,"This paper proposes a QoS-aware routing protocol for high-speed optical networks that leverages reinforcement learning (RL) to adapt path selection to dynamic traffic, physical-layer impairments, and service-level objectives. The RL agent observes network state (e.g., residual bandwidth, path length, OSNR margins, and historical blocking) and selects routes that jointly optimize blocking probability, end-to-end latency, and differential delay while respecting wavelength/slot continuity constrain",rsp_rl,3
fefa7f08d8792480bb0ab9993a00187a354509b6,Deep Reinforcement Learning for Overtaking Decision-Making and Planning of Autonomous Vehicles,2025,International Conference on Industrial Technology,1,"The safe overtaking of autonomous vehicles has become an important focus in recent robotics and AI research. Considering the scenario of overtaking with oncoming vehicles, this paper proposes a hierarchical framework based on deep reinforcement learning to interact with the traffic environment and learn to overtake safely and efficiently. At the high level, an optimized actor-critic network with TRPO deep reinforcement learning algorithm is used to make safe overtaking decisions. At the low leve",rsp_rl,3
11b7707c3e5edeee47d352a8fdf4ff7de67caa5b,Enhancing Autonomous Vehicle Navigation in Complex Environment With Semantic Proto‐Reinforcement Learning,2025,J. Field Robotics,2,"Despite great progress in autonomous vehicle (AV) navigation, the technical challenges within this space are still considerable when it comes to successful integration of AVs into complex real‐world environments. To tackle these challenges, this paper presents a new semantic proto‐reinforcement learning (SP‐RL) method for dynamic path planning and real‐time obstacle avoidance of an autonomous car that can be adapted to various weather conditions in localization‐deficient environments, while pred",rsp_rl,3
b274c6e9d4403e526e27f745a1f26bede979b9a1,A Deep Reinforcement Learning Based Agv Path Planning Method,2025,"2025 International Conference on Electronics and Computing, Communication Networking Automation Technologies (ICEC2NT)",0,"This study proposes a path planning method that integrates deep reinforcement learning and Petri net constraints for conflict prevention and efficiency optimization of AGV dynamic path planning in storage environments. By constructing a multi-agent deep reinforcement learning framework with “path branching points as agents”, road network intersection nodes are defined as independent agents, equipped with a symmetric Actor Critic network structure, and combined with an improved multi-agent deep d",rsp_rl,3
5c56ba032c2a252c8ab301aa9e03b64c62b56c14,Reinforcement Learning Driven Path Planning System for Emergency Response to New Energy Vehicle Fires,2025,"2025 IEEE 3rd International Conference on Sensors, Electronics and Computer Engineering (ICSECE)",0,"Aiming at the problem of path planning for emergency response to new energy vehicle fires, this study proposes a path planning algorithm based on multi-agent competition-cooperation reinforcement learning and builds a corresponding system. The algorithm constructs a reward function integrating rescue time, path safety, and resource consumption by designing the state and action space adapted to the emergency scenario, and uses the competition-cooperation mechanism to achieve multi-agent collabora",rsp_rl,3
b379a43a3a541a7c3b04d91450cab7e280366db4,Predictive Traffic Rule Compliance using Reinforcement Learning,2025,arXiv.org,1,"Autonomous vehicle path planning has reached a stage where safety and regulatory compliance are crucial. This paper presents an approach that integrates a motion planner with a deep reinforcement learning model to predict potential traffic rule violations. Our main innovation is replacing the standard actor network in an actor-critic method with a motion planning module, which ensures both stable and interpretable trajectory generation. In this setup, we use traffic rule robustness as the reward",rsp_rl,3
d8e059ba757f855598919e667cf8bc96c32a98db,Machine Learning-Driven Path Planning and Obstacle Avoidance Algorithms for Autonomous Vehicles,2025,2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),2,"With the rapid advancement of autonomous driving technology, path planning and obstacle avoidance strategies based on machine learning are of great significance for the efficient and safe operation of autonomous vehicles. In order to achieve automatic driving path planning and obstacle avoidance, this paper combines deep reinforcement learning and probability graph model to propose a complex method. First, Deep Q Network (DQN) perceives and decides the surrounding environment to obtain real-time",rsp_rl,3
d4265b6aba5927111290944ef17a5a7286ece156,Risk-Aware Distributional Reinforcement Learning for Safe Path Planning of Surface Sensing Agents,2025,Electronics,1,"In spatially constrained water domains, surface sensing agents(SSAs) must achieve safe path planning, uncertain currents, and sensor noise. We present a decentralized motion planning and collision-avoidance framework based on distributional reinforcement learning (DRL) that models the full return distribution to enable risk-aware decision making. Each surface sensing agent autonomously proceeds to its designated coordinates without rigid spatial constraints, coordinating implicitly through learn",rsp_rl,3
d30211fbd07af390c56faaeb0dadce132448a390,Ethics-Aware Safe Reinforcement Learning for Rare-Event Risk Control in Interactive Urban Driving,2025,,2,"Autonomous vehicles hold great promise for reducing traffic fatalities and improving transportation efficiency, yet their widespread adoption hinges on embedding credible and transparent ethical reasoning into routine and emergency maneuvers, particularly to protect vulnerable road users (VRUs) such as pedestrians and cyclists. Here, we present a hierarchical Safe Reinforcement Learning (Safe RL) framework that augments standard driving objectives with ethics-aware cost signals. At the decision ",rsp_rl,3
a21a04d7acbd33ba986a251c31dec022b27cfd8d,Reinforcement learning-based vehicle travel path reconstruction from sparse automatic licence plate recognition data,2025,Ann. GIS,1,"ABSTRACT Automatic licence plate recognition (ALPR) data is a vital source for acquiring large-scale vehicle trajectory data in urban transportation research. However, the sparse distribution of ALPR sensors often results in incomplete vehicle trajectories with unobserved travel paths between adjacent ALPR sensors. To address this challenge, this study proposes a novel travel path reconstruction model based on reinforcement learning. First, the maximum entropy inverse reinforcement learning (Max",rsp_rl,3
5caa359542a396b6788d22ca66f1391d2546eaa1,Risk-Constrained Multi-Objective Deep Reinforcement Learning for AGV Path Planning in Rail Transit,2025,Applied System Innovation,0,"Sensor-rich Automated Guided Vehicles (AGVs) are increasingly deployed in logistics, yet large fleets relying on fixed tracks face high maintenance costs and frequent route conflicts. This study targets rail-based material handling and proposes an end-to-end multi-AGV navigation pipeline under realistic operational constraints. A conflict-aware global planner, extended from the A* algorithm, generates feasible routes, while a multi-sensor perception stack integrates LiDAR and camera data to dist",rsp_rl,3
00ce55ef4aed017584398f8418cf005cb7242d23,Real-Time Communication-Aware Ride-Sharing Route Planning for Urban Air Mobility: A Multi-Source Hybrid Attention Reinforcement Learning Approach,2025,arXiv.org,1,"Urban Air Mobility (UAM) systems are rapidly emerging as promising solutions to alleviate urban congestion, with path planning becoming a key focus area. Unlike ground transportation, UAM trajectory planning has to prioritize communication quality for accurate location tracking in constantly changing environments to ensure safety. Meanwhile, a UAM system, serving as an air taxi, requires adaptive planning to respond to real-time passenger requests, especially in ride-sharing scenarios where pass",rsp_rl,3
a8108832d01dff84979de64a268134e967b6a49a,Optimizing Autonomous Vehicle Navigation Through Reinforcement Learning in Dynamic Urban Environments,2025,World Electric Vehicle Journal,2,"Autonomous vehicle (AV) navigation in dynamic urban environments faces challenges such as unpredictable traffic conditions, varying road user behaviors, and complex road networks. This study proposes a novel reinforcement learning-based framework that enhances AV decision making through spatial-temporal context awareness. The framework integrates Proximal Policy Optimization (PPO) and Graph Neural Networks (GNNs) to effectively model urban features like intersections, traffic density, and pedest",rsp_rl,3
4579f1fed8675a37c15b1bbaba28ff61cee712b5,A Hybrid Deep Reinforcement Learning and Graph Neural Network Approach for Multi-objective Waste Transportation Optimization,2025,International Conference on Advances in Computing and Artificial Intelligence,0,"With the increasing amount of urban waste generated, optimizing and scheduling waste transportation routes has become a major challenge in the development of smart cities. This paper proposes a method based on combining deep reinforcement learning (PPO) with graph neural networks (GNNs) to address the path planning and scheduling problem in urban waste transportation. By combining PPO with GNNs, this study is able to optimize the transportation routes and vehicle scheduling strategies for multip",rsp_rl,3
f5591ff02f6d2c2c2079f46aebce2ee0839c0dc1,Reliable UAV Navigation Using Cellular Networks: A Deep Reinforcement Learning Approach,2024,International Black Sea Conference on Communications and Networking,0,The reliability of UAV trajectory planning solutions is crucial for mission critical applications. Our objective is to propose a reliable trajectory planning solution independent of transmissible detectable signals and GPS. The inherently noisy GPS measurements are unable to provide a reliable trajectory planning solution especially in dense urban and suburban environments. We propose to utilize broadcast signals from existing cellular networks to reliably navigate the UAV from a given source to,rsp_rl,3
d85da753c314695455e7f67b1c18513833c454be,SDN-based Network Traffic Classification using Deep Reinforcement Learning,2024,Global Communications Conference,2,"Software-Defined Networking (SDN) has emerged as a transformative technology that revolutionizes network management and architecture by providing unparalleled flexibility and control over data traffic flows. This flexibility is increasingly crucial in managing the complex demands of modern networks, whereby efficient traffic management is essential for mitigating congestion and enhancing operational efficiency. This paper introduces a novel traffic management model that employs Deep Reinforcemen",rsp_rl,3
58ef59ca6bab8c044e7abc04d00f5361f2f20233,Fast Multi-Class Vehicle Cooperative Path Optimization in Complex Urban V2X Transportation: A Novel Parallel Multi-Agent Reinforcement Learning Approach,2024,2024 IEEE Intelligent Vehicles Symposium (IV),0,"Urban road traffic systems are advancing into sophisticated networks, underscoring the importance of real-time collaborative decision-making. This study tackles the intricate challenge of cooperative path planning under complex urban conditions, taking into account a variety of vehicle types and their respective priorities. While conventional path planning techniques struggle with such intricate coordination, reinforcement learning, though theoretically capable, is hindered by its limited model ",rsp_rl,3
680c57d34f941033e11b5b2f236834306fed1b57,Enhancing High-Speed Cruising Performance of Autonomous Vehicles Through Integrated Deep Reinforcement Learning Framework,2024,IEEE transactions on intelligent transportation systems (Print),65,"High-speed cruising scenarios with mixed traffic greatly challenge the road safety of autonomous vehicles (AVs). Unlike existing works that only look at fundamental modules in isolation, this work enhances AV safety in mixed-traffic high-speed cruising scenarios by proposing an integrated framework that synthesizes three fundamental modules, i.e., behavioral decision-making, path-planning, and motion-control modules. Considering that the integrated framework would increase the system complexity,",rsp_rl,3
33b087ec6f7ed73338116763eeae16131361eea7,Radio Resource Management and Path Planning in Intelligent Transportation Systems via Reinforcement Learning for Environmental Sustainability,2024,arXiv.org,5,"Efficient and dynamic path planning has become an important topic for urban areas with larger density of connected vehicles (CV) which results in reduction of travel time and directly contributes to environmental sustainability through reducing energy consumption. CVs exploit the cellular wireless vehicle-to-everything (C-V2X) communication technology to disseminate the vehicle-to-infrastructure (V2I) messages to the Base-station (BS) to improve situation awareness on urban roads. In this paper,",rsp_rl,3
2e54623a0d2ce2f7551a5af35998cc4878b22f16,Multiagent Deep Reinforcement Learning Based Incentive Mechanism for Mobile Crowdsensing in Intelligent Transportation Systems,2024,IEEE Systems Journal,21,"Mobile crowdsensing in intelligent transportation systems is a new data acquisition mode that utilizes vehicles to sense a changing traffic environment, where incentive mechanisms play a vital role in motivating vehicles to participate. Nevertheless, existing incentive mechanisms do not simultaneously consider enhancing the efficiency of task allocation, maximizing the benefits of the entire system, and balancing various costs. Therefore, a two-stage incentive mechanism, considering task aggrega",rsp_rl,3
bac4e33e9d2ed23dde3f573b63c28705466dac90,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,2022,"International Conference on Control, Decision and Information Technologies",5,"In this paper, the path planning problem under routing decisions is considered for platoons of autonomous vehicles moving in urban road networks. The key idea is to exploit and adequately combine arguments coming from two research fields: deep reinforcement learning and model predictive control. Along these lines, a novel control architecture is proposed and its feasibility formally proved. In particular, the high-level routing decisions arising from the distributed deep reinforcement learning o",rsp_rl,3
2bf877afe5c7e7a2cd74cd013d91a739cd6e0bcf,Risk-Aware Travel Path Planning Algorithm Based on Reinforcement Learning during COVID-19,2022,Sustainability,7,"The outbreak of COVID-19 brought great inconvenience to people’s daily travel. In order to provide people with a path planning scheme that takes into account both safety and travel distance, a risk aversion path planning model in urban traffic scenarios was established through reinforcement learning. We have designed a state and action space of agents in a “point-to-point” way. Moreover, we have extracted the road network model and impedance matrix through SUMO simulation, and have designed a Re",rsp_rl,3
