include,paperId,title,year,venue,citationCount,source
1,3c34f551f0a29c77aea8322c9b290f19e55921c7,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2020,2021 IEEE International Conference on Communications Workshops (ICC Workshops),44,nav_rg_screened
1,ff7ef6700bb3eeac771d092e629bc7d891423c15,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,32,nav_rg_screened
1,332450247f87cd11a4ab5a4c5ab84fcf9feec575,A multiagent reinforcement learning approach to en-route trip building,2016,2016 IEEE International Joint Conference on Neural Networks (IJCNN),28,nav_rg_screened
1,d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future Generation Computer Systems,14,nav_rg_screened
1,bd60173626a2a9ba007deeaf6fec6be65cbdfb1a,Multi-Modal Attention Perception for Intelligent Vehicle Navigation Using Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,13,nav_rg_screened
1,ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,expanded2_screened
1,d3560226fe6488455d4e3d458dde9f8084a9e16c,Dynamic Route Planning Method Based on Deep Reinforcement Learning and Velocity Obstacle,2023,2023 IEEE 12th Data Driven Control and Learning Systems Conference (DDCLS),4,nav_rg_screened
1,53d0cdec73981d4101c474645d8b08cf08361fd8,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,2023,2023 20th International Conference on Ubiquitous Robots (UR),3,nav_rg_screened
1,91d0a23661f4476333fac8c3f0ebd5793f419ca1,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",1,nav_rg_screened
0,58f02eeb7478a2fc630cd70c99c61a12dd8b0518,Route Planning and Power Management for PHEVs With Reinforcement Learning,2020,IEEE Transactions on Vehicular Technology,41,nav_rg_screened
0,b959a346dff2a58f9c9e132cdb14a1207ebcebaa,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,International Journal of Computers Communications & Control,9,nav_rg_screened
0,0691401f33c3ea553708fba02de1de49b61ce2fa,Combining multi-agent deep deterministic policy gradient and rerouting technique to improve traffic network performance under mixed traffic conditions,2024,SIMULATION: Transactions of The Society for Modeling and Simulation International,2,nav_rg_screened
0,88487441ff9b3e8f0bdebb886445e7719d5be9c9,Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,2025,International Journal of Intelligent Transportation Systems Research,1,nav_rg_screened
0,c7585a32106d53a367238896201c77e87b55b04e,A Novel Route Planning Approach Based on Energy-Based Action Sample Reinforcement Learning,2023,Chinese Control and Decision Conference (CCDC),1,nav_rg_screened
0,e4f0e8b013870ccf722f7236e6e4ba950389e3b4,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,2025,Transportation Research Record,0,nav_rg_screened
0,d889435176c57334fa2b9afb0ab0b6f31c2faa81,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,2025,arXiv.org,0,nav_rg_screened
0,61064accb8fd8bc6c2b92cf9affa81ace2e452af,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,2024,Future Transportation,0,nav_rg_screened
0,3564fa84740573bf226bcea29f48b3523879705f,eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,2025,"2025 IEEE International Symposium on Cluster, Cloud and Internet Computing",1,expanded2_screened
0,2e207f5a5cdff64cd346e8c8514484be5737375c,Real-time dynamic route generation algorithm of DRT with deep Q-learning,2025,Proceedings of the Institution of Civil Engineers - Municipal Engineer,0,expanded2_screened
0,394241ca94da7c5e383018b1d3995ea342603e31,Deep Reinforcement Learning Framework for Real-Time Personalized Travel Route Recommendation via LSTM-CNN and Multi-Head Attention Fusion,2025,Informatica,0,expanded2_screened
1,2e42a40ada84156c33abc0f4ff56a21c313cceb1,Combining Car-to-Infrastructure Communication and Multi-Agent Reinforcement Learning in Route Choice,2016,ATT@IJCAI,9,expanded2_screened
1,a6f4f1a4aec364d069d7d1fdf1169a6fd8169b84,Applying Markov decision process to adaptive dynamic route selection model,2019,Proceedings of the Institution of Civil Engineers - Transport,0,expanded2_screened
0,30d2311c1143394cdf8248d625cddf00e2292389,"A Survey of Route Recommendations: Methods, Applications, and Opportunities",2024,Information Fusion,29,expanded2_screened
0,a2c3d28bbef73657bea5a6ea61a8be2ea2501088,Research on Autonomous Driving Route Planning Method Based on Deep Reinforcement Learning,2025,"2025 International Conference on Mechatronics, Automation and Intelligent Control (MAIC)",0,expanded2_screened
0,84037cef1ee591a87412487df63e1f09a9d4dea3,Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,2024,2024 International Conference on Intelligent Computation (IC),9,expanded2_screened
