title,year,venue,doi,verdict,reason
Refined Path Planning for Emergency Rescue Vehicles on Congested Urban Arterial Roads via Reinforcement Learning Approach,2021,Journal of Advanced Transportation,https://doi.org/10.1155/2021/8772688,out-of-scope,"read at title and abstract, outside the guidance object"
Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,2024,,https://doi.org/10.1109/ic457434.2024.10486336,out-of-scope,"read at title and abstract, outside the guidance object"
Parallel Hyper-Heuristic Algorithm for Multi-Objective Route Planning in a Smart City,2018,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2018.2868942,out-of-scope,"read at title and abstract, outside the guidance object"
A Constraint-Based Routing and Charging Methodology for Battery Electric Vehicles With Deep Reinforcement Learning,2022,IEEE Transactions on Smart Grid,https://doi.org/10.1109/tsg.2022.3214680,in-scope,"electric-vehicle route planning over a road network with a deep learner, peer-reviewed"
Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,2025,International Journal of Intelligent Transportation Systems Research,https://doi.org/10.1007/s13177-025-00520-w,unresolvable,no abstract available and the title alone cannot resolve the guidance object
Fairness concern‐based coordinated vehicle route guidance using an asymmetrical congestion game,2022,IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12205,out-of-scope,"read at title and abstract, outside the guidance object"
Hierarchical Sarsa Learning Based Route Guidance Algorithm,2019,Journal of Advanced Transportation,https://doi.org/10.1155/2019/1019078,in-scope,"dynamic route guidance over a digital road network, Sarsa, peer-reviewed journal"
Next-Generation Autonomous Vehicle Navigation: A DDPG Reinforcement Learning Approach to Dynamic HD Map Caching,2024,,https://doi.org/10.1109/comsnets59351.2024.10427147,out-of-scope,"read at title and abstract, outside the guidance object"
AlphaRoute: Large-Scale Coordinated Route Planning via Monte Carlo Tree Search,2023,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v37i10.26422,out-of-scope,"read at title and abstract, outside the guidance object"
DYNAMIC ROUTING FOR NAVIGATION IN CHANGING UNKNOWN MAPS USING DEEP REINFORCEMENT LEARNING,2021,"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",https://doi.org/10.5194/isprs-annals-v-1-2021-145-2021,out-of-scope,"read at title and abstract, outside the guidance object"
