title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
Real-time deep reinforcement learning based vehicle navigation,"Abstract Traffic congestion has become one of the most serious contemporary city issues as it leads to unnecessary high energy consumption, air pollution and extra traveling time. During the past decade, many optimization algorithms have been designed to achieve the optimal usage of existing roadway capacity in cities to leverage the problem. However, it is still a challenging task for the vehicles to interact with the complex city environment in a real time manner. In this paper, we propose a deep reinforcement learning (DRL) method to build a real-time intelligent vehicle routing and navigation system by formulating the task as a sequence of decisions. In addition, an integrated framework is provided to facilitate the intelligent vehicle navigation research by embedding smart agents into the SUMO simulator. Nine realistic traffic scenarios are simulated to test the proposed navigation method. The experimental results have demonstrated the efficient convergence of the vehicle navigation agents and their effectiveness to make optimal decisions under the volatile traffic conditions. The results also show that the proposed method provides a better navigation solution comparing to the benchmark routing optimization algorithms. The performance has been further validated by using the Wilcoxon test. It is found that the achieved improvement of our proposed method becomes more significant under the maps with more edges (roads) and more complicated traffics comparing to the state-of-the-art navigation methods.",,2020,Applied Soft Computing,,114.0,old,1.0,1,include
A reinforcement learning-based routing algorithm for large street networks,"Abstract Evacuation planning and emergency routing systems are crucial in saving lives during disasters. Traditional emergency routing systems, despite their best efforts, often struggle to accurately capture the dynamic nature of flood conditions, road closures, and other real-time changes inherent in urban disaster logistics. This paper introduces the ReinforceRouting model, a novel approach to optimizing evacuation routes using reinforcement learning (RL). The model incorporates a unique RL environment that considers multiple criteria, such as traffic conditions, hazardous situations, and the availability of safe routes. The RL agent in this model learns optimal actions through interaction with the environment, receiving feedback in the form of rewards or penalties. The ReinforceRouting model excels in executing prompt and accurate route planning on large road networks, outperforming traditional RL algorithms and shortest-path-based algorithms. A higher safety score and episode reward of the model are demonstrated when compared to these classical methods. This innovative approach to disaster evacuation planning offers a promising avenue for enhancing the efficiency, safety, and reliability of emergency responses in dynamic urban environments.",,2023,International Journal of Geographical Information Science,,53.0,old,1.0,4,include
Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,"This paper aims to develop a paradigm that models the learning behavior of intelligent agents (including but not limited to autonomous vehicles, connected and automated vehicles, or human-driven vehicles with intelligent navigation systems where human drivers follow the navigation instructions completely) with a utility-optimizing goal and the system's equilibrating processes in a routing game among atomic selfish agents. Such a paradigm can assist policymakers in devising optimal operational and planning countermeasures under both normal and abnormal circumstances. To this end, we develop a Markov routing game (MRG) in which each agent learns and updates her own en-route path choice policy while interacting with others in transportation networks. To efficiently solve MRG, we formulate it as multi-agent reinforcement learning (MARL) and devise a mean field multi-agent deep Q learning (MF-MA-DQL) approach that captures the competition among agents. The linkage between the classical DUE paradigm and our proposed Markov routing game (MRG) is discussed. We show that the routing behavior of intelligent agents is shown to converge to the classical notion of predictive dynamic user equilibrium (DUE) when traffic environments are simulated using dynamic loading models (DNL). In other words, the MRG depicts DUEs assuming perfect information and deterministic environments propagated by DNL models. Four examples are solved to illustrate the algorithm efficiency and consistency between DUE and the MRG equilibrium, on a simple network without and with spillback, the Ortuzar Willumsen (OW) Network, and a real-world network near Columbia University's campus in Manhattan of New York City.",,2020,Transportation Research Part C: Emerging Technologies,,52.0,old,1.0,5,include
Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,"Recent years have witnessed the rapid development of the Cooperative Vehicle Infrastructure System (CVIS), where road infrastructures such as traffic lights (TL) and autonomous vehicles (AVs) can share information among each other and work collaboratively to provide safer and more comfortable transportation experience to human beings. While many efforts have been made to develop efficient and sustainable CVIS solutions, existing approaches on urban intersections heavily rely on domain knowledge and physical assumptions, preventing them from being practically applied. To this end, this paper proposes NavTL, a learning-based framework to jointly control traffic signal plans and autonomous vehicle rerouting in mixed traffic scenarios where human-driven vehicles and AVs co-exist. The objective is to improve travel efficiency and reduce total travel time by minimizing congestion at the intersections while guiding AVs to avoid the temporally congested roads. Specifically, we design a graph-enhanced multi-agent decentralized bi-directional hierarchical reinforcement learning framework by regarding TLs as manager agents and AVs as worker agents. At lower temporal resolution timesteps, each manager sets a goal for the workers within its controlled region. Simultaneously, managers learn to take the signal actions based on the observation from the environment as well as an intention information extracted from its workers. At higher temporal resolution timesteps, each worker makes rerouting decisions along its way to the destination based on its observation from the environment, an intention-enhanced manager state representation, and a goal from its present manager. Finally, extensive experiments on one synthetic and two real-world network-level datasets demonstrate the effectiveness of our proposed framework in terms of improving travel efficiency.",,2023,Knowledge Discovery and Data Mining,,32.0,old,1.0,6,include
Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,"With the rapid development of urbanization, the problem of urban traffic congestion has become increasingly prominent. Dynamic route guidance promises to improve the capacity of urban traffic management and mitigate traffic congestion in big cities. In the design of simulation-based experiments for most dynamic route guidance methods, the simulation data is generally estimated from a specific traffic scenario in the real-world. However, highly dynamic traffic in the city implies that traffic scenarios in real systems are diverse. Therefore, if a route guidance method cannot adjust its strategy according to the spatial and temporal characteristics of different traffic scenarios, then it cannot guarantee optimal results under all traffic scenarios. Thus, ideal dynamic route guidance methods should have a highly adaptive learning ability under diverse traffic scenarios so as to have extensive improvement capabilities for different traffic scenarios. In this study, an A* trajectory rejection method based on multi-agent reinforcement learning (A*R2) is proposed; the method integrates both system and user perspectives to mitigate traffic congestion and reduce travel time (TT) and travel distance (TD). First, owing to its adaptive learning ability, the A*R2 can comprehensively analyze the traffic conditions for different traffic scenarios and intelligently evaluate the road congestion index from a system perspective. Then, the A*R2 determines the routes for all vehicles from user perspective according to the road network congestion index. An extensive set of simulation experiments reveal that, under various traffic scenarios, the A*R2 can rely on its adaptive learning ability to achieve better traffic efficiency. Moreover, even in cases where many drivers are not fully compliant with the route guidance, the traffic efficiency can still be improved significantly by A*R2.",,2020,IEEE transactions on intelligent transportation systems (Print),,28.0,old,0.0,7,include
Reinforcement Learning for Vehicle Route Optimization in SUMO,"Urban traffic control becomes a major topic for urban development lately as the growing number of vehicles in the transportation network. Recent advances in reinforcement learning methodologies have shown highly potential results in solving complex traffic control problem with multi-dimensional states and actions. It offers an opportunity to build a sustainable and resilient urban transport network for a variety of objects, such as minimizing the fuel consumption or improving the safety of roadway. Inspired by this promising idea, this paper presents an experience how to apply reinforcement learning method to optimize the route of a single vehicle in a network. This experience uses an open-source simulator SUMO to simulate the traffic. It shows promising result in finding the best route and avoiding the congestion path.",,2018,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,22.0,old,1.0,8,include
Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,"With recent technological advancements, the commercialization of autonomous vehicles (AVs) is expected to be realized soon. However, it is anticipated that a mixed traffic of AVs and human-driven vehicles (HVs) will persist for a considerable period until the Market Penetration Rate reaches 100%. During this phase, AVs and HVs will interact and coexist on the roads. Such an environment can cause unpredictable and dynamic traffic conditions due to HVs, which results in traffic problems including traffic congestion. Therefore, the routes of AVs must be controlled in a mixed traffic environment. This study proposes a multi-objective vehicle routing control method using a deep Q-network to control the driving direction at intersections in a mixed traffic environment. The objective is to distribute the traffic flow and control the routes safely and efficiently to their destination. Simulation results showed that the proposed method outperformed existing methods in terms of the driving distance, time, and waiting time of AVs, particularly in more dynamic traffic environments. Consequently, the traffic became smooth as it moved along optimal routes.",,2024,Applied Sciences,,10.0,old,1.0,9,include
An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,"Navigation or route guidance systems are designed to provide drivers with real-time travel information and the associated recommended routes for their trips. Classical route choice models typically rely on utility theory to represent drivers’ route choice behavior. Such choices, however, may not be optimal from both the individual and the system perspectives. This is simply due to the fact that drivers usually have imperfect knowledge about the time-varying traffic conditions. In this article, we explore and propose a new model-free deep reinforcement learning (DRL) approach to solving the adaptive route guidance problem based on microsimulation. The proposed approach consists of three interconnected algorithms, including a network edge labeling algorithm, a routing plan identification algorithm, and an adaptive route guidance algorithm. Simulation experiments on both a toy network and a real-world network of Suzhou, China, are performed to demonstrate the effectiveness of the proposed approach in terms of guiding a single vehicle as well as multiple vehicles through complex traffic environments. Comparative results confirm that the DRL approach outperforms the traditional shortest path method by further reducing the average travel time in the network.",,2024,IEEE Intelligent Transportation Systems Magazine,,9.0,both,1.0,10,include
Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,"A previously developed Deep Reinforcement Learning-based Vehicle Routing (DRL-VR) algorithm aims to be used for providing the shortest Origin-Destination (OD) travel time path in dynamic traffic environment. However, several issues may still arise regarding uncertainty associated with mixed traffic conditions coexisting Automated Vehicles (AV) and Human-driven Vehicles (HV), particularly in a wide-area urban road network. To develop a robust and interoperable route guidance algorithm based on the DRL approach, this study proposes Transfer learning-based deep reinforcement Learning Algorithm for Route Guidance (TLARG). It is an extended framework on the previous approach by incorporating transfer learning scheme that enables the DRL model of TLARG to converge even in a wide-area urban road network. The TLARG is evaluated in terms of OD travel time based on diverse OD trips with different urban road networks, including narrow- and wide-area road networks. This research conducts several evaluation studies based on microscopic traffic simulation experiments. The simulation result shows that the TLARG enables the agent to complete its OD trips not only with flexible routes but also with reductions in travel time depending on given traffic situations irrespective of network type. Furthermore, it demonstrates that the robustness of the proposed approach by measuring the error of Estimated Time of Arrival (ETA) for various OD trips in different urban road networks under the mixed traffic conditions. Such findings suggest that the TLARG has great potential to enhance the punctuality of mobility service by providing robust route guidance, even in the era of coexisting AVs and HVs.",,2024,IEEE Access,,9.0,old,1.0,11,include
Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,"There have been enormous efforts to develop a novel vehicle routing algorithm to reduce origin-to-destination (OD) travel time. Most of the previous studies have mainly focuses on providing the shortest travel time route based on an estimated traffic information. Few researches have considered the use of predictive information on traffic dynamics to improve the quality of route guidance algorithm. However, there is still uncertainty associated with future traffic condition, particularly in non-recurrent traffic congestion caused by abnormal event. For a reliable navigation service under uncertain traffic conditions, this research develops a reinforcement learning-based traffic predictive vehicle routing (RL-TPVR) algorithm. The proposed algorithm is designed to mitigate the variability of OD travel time by incorporating predictive state representation and prediction reward modeling in the reinforcement learning scheme. The RL-TPVR is evaluated in terms of OD travel time based on various traffic scenarios with different demand patterns. Several numerical studies including a performance gap analysis, case study, and comparative study are conducted using microscopic simulation experiments. The performance gap analysis demonstrates the superiority of the RL-TPVR with respect to traffic uncertainty, particularly in non-recurrent traffic congestion cases. In addition, the case study shows that the RL-TPVR exhibits a flexible and dynamic OD travel route depending on the given traffic situations. Furthermore, the comparative study verifies that the proposed algorithm outperforms other existing algorithms in both recurrent and non-recurrent traffic congestion cases. These findings suggest the RL-TPVR has great potential for providing the shortest travel time route under uncertain traffic conditions.",,2022,IEEE Access,,8.0,old,1.0,12,include
