include,paperId,title,year,venue,citationCount
1,6ddbf6148defa91ec0475916aa74baa1bccc7078,A Brief Survey of Deep Reinforcement Learning for Intersection Navigation of Autonomous Vehicles,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),179
1,b5f98578b8e5902f18154a49ddf92e4171b95d4b,Real-time deep reinforcement learning based vehicle navigation,2020,Applied Soft Computing,114
,5f04aa926aebf45776846b4e1f5f7838e7f4865c,A New Algorithm of the Best Path Selection Based on Machine Learning,2019,IEEE Access,95
,04eea9954071bd33675a32c40d450d8b1d6c77e6,DRL-OR: Deep Reinforcement Learning-based Online Routing for Multi-type Service Requirements,2021,IEEE Conference on Computer Communications,86
,e69c1dca0665997659c32b845f922161e6c0d199,EMVLight: a Multi-agent Reinforcement Learning Framework for an Emergency Vehicle Decentralized Routing and Traffic Signal Control System,2022,Social Science Research Network,73
,7acba002ef77744b21395bb137c3278b05dfd673,Where to go Next: Learning a Subgoal Recommendation Policy for Navigation in Dynamic Environments,2021,IEEE Robotics and Automation Letters,72
0,4e22e8b9ee169468ad2883f15361a8cd239f2b37,Spatio-temporal feature fusion for dynamic taxi route recommendation via deep reinforcement learning,2020,Knowledge-Based Systems,61
0,654007df0868240bea267a8548c92d614461d929,Traffic Flow Management of Autonomous Vehicles Using Deep Reinforcement Learning and Smart Rerouting,2021,IEEE Access,59
,7d6e2ee63ac7a8917662207351d762fc11b5d36a,VEHICLE ROUTE SELECTION WITH AN ADAPTIVE NEURO FUZZY INFERENCE SYSTEM IN UNCERTAINTY CONDITIONS,2018,,57
1,67e213b54c4e2b8d1081cacda8a85b1bed251f26,A reinforcement learning-based routing algorithm for large street networks,2023,International Journal of Geographical Information Science,53
1,ced94c9f6f32d595c6079db42b22af2c87c7e5b8,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,2020,Transportation Research Part C: Emerging Technologies,52
,5ef906886bdd0eca6fdc25541686acdd4faf0b94,Multi-agent deep learning for simultaneous optimization for time and energy in distributed routing system,2019,Future generations computer systems,48
,88432e56c8d56faab6f249fbdc9d02592b1278a2,DeepTraffic: Crowdsourced Hyperparameter Tuning of Deep Reinforcement Learning Systems for Multi-Agent Dense Traffic Navigation,2018,,47
,e162de9f249c030454bccfc5cf063d628376dc81,Real-Time metadata-driven routing optimization for electric vehicle energy consumption minimization using deep reinforcement learning and Markov chain model,2020,,46
,2096522c188b28a283baaea677ff38bb67f9d1b2,PARRoT: Predictive Ad-hoc Routing Fueled by Reinforcement Learning and Trajectory Knowledge,2020,IEEE Vehicular Technology Conference,42
,fe5d0e9bcc62e80c453d5f4bbdbe088b89178fe6,On Deep Reinforcement Learning for Static Routing and Wavelength Assignment,2022,IEEE Journal of Selected Topics in Quantum Electronics,39
,6f88a211968d926f4319f44b978ff9a0e244851f,Deep Reinforcement Learning-Based Routing and Spectrum Assignment of EONs by Exploiting GCN and RNN for Feature Extraction,2022,Journal of Lightwave Technology,39
,dca266aef4663e377f730016ba96b42955b5651a,Traffic Engineering in Partially Deployed Segment Routing Over IPv6 Network With Deep Reinforcement Learning,2020,IEEE/ACM Transactions on Networking,39
,4417daf1c4e0d3edc7ccd66f7402ba7d4a922ca9,Object Detection with Deep Neural Networks for Reinforcement Learning in the Task of Autonomous Vehicles Path Planning at the Intersection,2019,Optical Memory and Neural Networks,37
,72945bc5bf78c7d5d9cf2596114923562f1805f0,An Improved Dueling Deep Double-Q Network Based on Prioritized Experience Replay for Path Planning of Unmanned Surface Vehicles,2021,Journal of Marine Science and Engineering,36
,71378491d9266f3bb2298029f3df685faee1c5bd,Research on Path Planning Model Based on Short-Term Traffic Flow Prediction in Intelligent Transportation System,2018,Italian National Conference on Sensors,36
,a1f2c465aaeff44d18535bb9e15c0c717017cdc4,Significant Sampling for Shortest Path Routing: A Deep Reinforcement Learning Solution,2019,Global Communications Conference,34
,3369a4343952951949fbfd15e8897685e52f0f59,Adaptive and Robust Routing With Lyapunov-Based Deep RL in MEC Networks Enabled by Blockchains,2021,IEEE Internet of Things Journal,34
,976a535334212d22e6e00a17fdc346abeef1d926,GDDR: GNN-based Data-Driven Routing,2021,IEEE International Conference on Distributed Computing Systems,34
,c71db12567018e4fc226d0c259e7344a3e3fd0c5,Generative Adversarial Network-Based Transfer Reinforcement Learning for Routing With Prior Knowledge,2021,IEEE Transactions on Network and Service Management,33
1,e697db07f3cb2c932dfade11069c5246785264ee,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,2023,Knowledge Discovery and Data Mining,32
,b9afa17e9ceaeb91bf1fcafdc790a0db85c5f2e5,Interterminal Truck Routing Optimization Using Deep Reinforcement Learning,2020,Italian National Conference on Sensors,31
,8503c67f85dd885f2a3588dfdcb4c3efff6c4202,Deep Q-Network and Traffic Prediction based Routing Optimization in Software Defined Networks,2021,Journal of Network and Computer Applications,31
0,a6313e537b02325a6cb29ebe6f87f4df400728e4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,2020,IEEE transactions on intelligent transportation systems (Print),28
