include,paperId,title,year,venue,citationCount
,d24ce4b2e60fdae9d7d32416831d2d3bd8a468ca,A New Algorithm Based on Dijkstra for Vehicle Path Planning Considering Intersection Attribute,2021,IEEE Access,118
1,f5c512846dd79a3c31f30854c223b1bb210a1759,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,2014,Engineering applications of artificial intelligence,91
,3c641e5d29e78046c11803f0b0c096daab580528,Autonomous navigation at unsignalized intersections: A coupled reinforcement learning and model predictive control approach,2022,Transportation Research Part C: Emerging Technologies,62
1,943a7e9916dabf0bf0be4e2d136c206c127b2e46,A vehicle path planning method based on a dynamic traffic network that considers fuel consumption and emissions.,2019,Science of the Total Environment,53
1,ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53
1,3c34f551f0a29c77aea8322c9b290f19e55921c7,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2020,2021 IEEE International Conference on Communications Workshops (ICC Workshops),44
1,855b12302e8de2bb0f1222a24bc3511209ed2b9a,A distributed dynamic route guidance approach based on short-term forecasts in cooperative infrastructure-vehicle systems,2019,Transportation Research Part D: Transport and Environment,36
1,ff7ef6700bb3eeac771d092e629bc7d891423c15,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,32
check,30d2311c1143394cdf8248d625cddf00e2292389,"A Survey of Route Recommendations: Methods, Applications, and Opportunities",2024,Information Fusion,29
1,f59132e0ce18c5833ce19622776a15548c840d6c,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,2014,Brazilian Conference on Intelligent Systems,24
,0e2bf435c0fe81e5913c62dea1a8c0a7ae6d52ad,Route Optimization via Environment-Aware Deep Network and Reinforcement Learning,2021,ACM Transactions on Intelligent Systems and Technology,21
1,cf9f14adc07d511d59a8181a4f0b20a21de9c513,AI-Driven Day-to-Day Route Choice,2024,Transportation Research Part C: Emerging Technologies,20
1,5ce79d44a72abf5a6c82accc2ad7658518fc2ec6,A dynamic route guidance arithmetic based on reinforcement learning,2005,International Conference on Machine Learning and Computing,15
,e2c236eca4985f7361a672727bb5f191e769d402,Deep reinforcement learning navigation via decision transformer in autonomous driving,2024,Frontiers Neurorobotics,15
,c2d28daa937bd6e65ad2b8f48f972c97a6e5f5bf,Reinforcement Learning Path Planning Method with Error Estimation,2021,Energies,13
,c368238f147a547a57f6e603ac7d6aadbb8ab1b2,Learning Graph-Enhanced Commander-Executor for Multi-Agent Navigation,2023,Adaptive Agents and Multi-Agent Systems,12
,fc637b7d24ce07faa1b6e6d5857f472856185877,Time-optimal and privacy preserving route planning for carpool policy,2022,World wide web (Bussum),12
,1c28f36f78ee18d51eabadc803685caa92d43f32,Optimal Path Planning for Wireless Power Transfer Robot Using Area Division Deep Reinforcement Learning,2022,Wireless Power Transfer,12
1,96c298432361877756deff4b54df0c7d344a6b9b,Route guidance system using multi-agent reinforcement learning,2011,International Conference on Information Technology in Asia,12
,05692c7a006a44733771a62d6123a527c3d1853e,Cross-Regional Customized Bus Route Planning Considering Staggered Commuting During the COVID-19,2021,IEEE Access,12
check,3ff903a9640275c84262095be71354c3fdd936bf,TAKEN: A Traffic Knowledge-Based Navigation System for Connected and Autonomous Vehicles,2023,Italian National Conference on Sensors,11
