include,paperId,title,year,venue,citationCount,source
1,6ddbf6148defa91ec0475916aa74baa1bccc7078,A Brief Survey of Deep Reinforcement Learning for Intersection Navigation of Autonomous Vehicles,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),179,initial_screening
1,b5f98578b8e5902f18154a49ddf92e4171b95d4b,Real-time deep reinforcement learning based vehicle navigation,2020,Applied Soft Computing,114,initial_screening
0,4e22e8b9ee169468ad2883f15361a8cd239f2b37,Spatio-temporal feature fusion for dynamic taxi route recommendation via deep reinforcement learning,2020,Knowledge-Based Systems,61,initial_screening
0,654007df0868240bea267a8548c92d614461d929,Traffic Flow Management of Autonomous Vehicles Using Deep Reinforcement Learning and Smart Rerouting,2021,IEEE Access,59,initial_screening
1,67e213b54c4e2b8d1081cacda8a85b1bed251f26,A reinforcement learning-based routing algorithm for large street networks,2023,International Journal of Geographical Information Science,53,initial_screening
1,ced94c9f6f32d595c6079db42b22af2c87c7e5b8,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,2020,Transportation Research Part C: Emerging Technologies,52,initial_screening
1,e697db07f3cb2c932dfade11069c5246785264ee,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,2023,Knowledge Discovery and Data Mining,32,initial_screening
0,a6313e537b02325a6cb29ebe6f87f4df400728e4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,2020,IEEE transactions on intelligent transportation systems (Print),28,initial_screening
1,b886b15703d2691e536072757b34e82874024679,Reinforcement Learning for Vehicle Route Optimization in SUMO,2018,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),22,initial_screening
1,81655b3e9a81126f62fb49725d2fe3482108a527,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,2024,Applied Sciences,10,initial_screening
1,7eafe1fc7673a002076ffadfb6519b77c9e04350,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,2024,IEEE Intelligent Transportation Systems Magazine,9,initial_screening
1,038ed555b38a81b8c673a2530d326c9ae51aef4e,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,2024,IEEE Access,9,initial_screening
1,1b6ed5885bdc8028bb9adbf77e5982b120a244b8,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,2022,IEEE Access,8,initial_screening
1,2d2ca37772b5be6394c38f682c94a6af20503f3c,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,2022,2022 IEEE International Smart Cities Conference (ISC2),5,initial_screening
0,23f6af67a0cf9ef13ecd12cb27f4a5b80bb6bbdd,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,2025,SoftwareX,5,initial_screening
0,24a80f492a35035586a66d82a17dade99a586f37,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,2024,IEEE Internet of Things Journal,4,initial_screening
0,a67d527523cfd7da4cf812bdae5e143cc4fdf778,Reinforcement learning of route choice considering traveler¢®?s preference,2023,Transportation letters,4,initial_screening
1,bae3dd7495c475a3ac9f985103e9465d5bc64e29,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,2022,"International Conference on Control, Automation, Robotics and Vision",3,initial_screening
0,c321d9f900051ee377d1e21c82094772a38502c6,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,2025,Sustainability,2,initial_screening
0,1de720239860fc775aa806c8a3958c8dd23d54df,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,2025,arXiv.org,2,initial_screening
0,944324b39827f4274fa25e906dad6332043a0d01,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,2023,arXiv.org,2,initial_screening
0,46c4652e4fb287531f1a0ac44354ac7de33394df,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,2023,IEEE Vehicular Technology Conference,1,initial_screening
0,e205ff2aaaa1040ce1feb7d2ab20d44cfc8128d9,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,2025,Transactions on Emerging Telecommunications Technologies,1,initial_screening
0,c997b91bc4b985f3bf3ad8dd56b85417f729055a,Integrated Routing and Traffic Signal Control for CAVs via Reinforcement Learning Approach,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),1,initial_screening
0,4ff4fc8c5c6e5c07b2ad4fa980b0c479ef1dfc5c,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,2024,Electronics,0,initial_screening
0,f5c512846dd79a3c31f30854c223b1bb210a1759,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,2014,Engineering applications of artificial intelligence,91,snowball_1
0,f59132e0ce18c5833ce19622776a15548c840d6c,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,2014,Brazilian Conference on Intelligent Systems,24,snowball_1
1,96c298432361877756deff4b54df0c7d344a6b9b,Route guidance system using multi-agent reinforcement learning,2011,International Conference on Information Technology in Asia,12,snowball_1
0,d2f1eb057384471ff1b4938129097c2f5b9e8c3b,Using Topological Statistics to Bias and Accelerate Route Choice: Preliminary Findings in Synthetic and Real-World Road Networks,2016,ATT@IJCAI,11,snowball_1
0,700dc56e56a0ee1d3c7d4a8e87c9890e05a475eb,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,2022,SIGSPATIAL/GIS,10,snowball_1
1,48f354adff60f8c6eb4d1d39a5fd1e5fa1be34d4,A hierarchical deep reinforcement learning method for solving urban route planning problems under large-scale customers and real-time traffic conditions,2024,International Journal of Geographical Information Science,9,snowball_1
1,797ca0b8232bb993b137a98b53ac520161793cac,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,2024,Transportation Research Part C: Emerging Technologies,9,snowball_1
1,a84bf5b1d9afed44fb4484b4c017e302588a881d,ACP Based Large-Scale Coordinated Route Planning: From Perspective of Cyber-Physical-Social Systems,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),7,snowball_1
0,b1cce370e4b64fcc735bc5b02a6a0597cec1937f,Improving Traffic Efficiency in a Road Network by Adopting Decentralised Multi-Agent Reinforcement Learning and Smart Navigation,2023,Promet - Traffic&amp;Transportation,4,snowball_1
0,bf24af62e1d7c2819eec71a1a0518bffc7506d0c,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,2024,"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering",1,snowball_1
1,591f0370690cb0c0a57b48e213abc2319063f487,Optimization Method of DRL-based Route Planning under Limited Resources,2023,2023 3rd International Conference on Electronic Information Engineering and Computer (EIECT),0,snowball_1
1,4ecf5e29507f1a52ba2d23494a039e602ec76a90,Vehicle-Road Collaborative Path Planning Based on $\mathbf{A}^{\ast}$ -assisted Deep Reinforcement Learning,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),0,snowball_1
1,ef15a6b9c1569698ea86924f10a6381e1041ba7e,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,2024,"IEEE International Conference on Systems, Man and Cybernetics",9,raw_additional
0,a22be5e14f67964e371605a60263e0a4b435ada6,Dynamic urban traffic rerouting with fog?cloud reinforcement learning,2023,Comput. Aided Civ. Infrastructure Eng.,19,raw_additional
1,6bef8bc69f84f8637ed6ba4c728acf451906360f,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,2025,2025 IEEE International Conference on Recent Advances in Systems Science and Engineering (RASSE),0,raw_additional
1,23380c4aa4dee33ed4721d5fc46e6369ac49c85c,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,2025,International Conference Intelligent Data Communication Technologies and Internet Things,1,raw_additional
0,49c7383a5bd0393f81e7bd4922771f50add3ef92,Deep Q-Learning-based Route Optimization for Traffic Network,2025,International Conference on Artificial Intelligence in Engineering and Technology,0,raw_additional
0,1bdc1cfc6877be165a876ee53d0015fb6b612bea,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,2021,IEEE transactions on intelligent transportation systems (Print),39,raw_additional
0,2f7936da06e6e10225d508683d6a017be8aba693,Deep neural network dynamic traffic routing system for vehicles,2018,International Symposium on Computer Vision,18,raw_additional
1,ebd1d5a229dec1a18c7303e6f7e573b93fdff371,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,2021,2021 IEEE International Smart Cities Conference (ISC2),15,raw_additional
0,0e51bf910c324ff4e17ef7e6ed8f87441f6970dd,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,2024,Transportation Research Part B: Methodological,3,raw_additional
0,e4b04c00ca8da10594a70a6c7d6952f93bc43c82,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,2024,Transportation Research Part C: Emerging Technologies,13,raw_additional
0,a2430ee66d766ee25c597412301b3269c9dae3ad,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,2025,arXiv.org,0,raw_additional
0,5a4d37ab382e78669c6b0da7ed99deb4383e6159,Multiagent-based cooperative vehicle routing using node pressure and auctions,2017,2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),5,raw_additional
0,913ca15958b7fef9a51f37cccd1253b24760bac4,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,2020,IEEE International Conference on Mobile Adhoc and Sensor Systems,19,expanded
0,4c439534dbee8e90a9132c3d5c409e1826fad9b5,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,2024,Other Conferences,1,expanded
