openalex_id,title,year,doi,venue,abstract
https://openalex.org/W2124657875,Reinforcement Learning for True Adaptive Traffic Signal Control,2003,https://doi.org/10.1061/(asce)0733-947x(2003)129:3(278),Journal of Transportation Engineering,"The ability to exert real-time, adaptive control of transportation processes is the core of many intelligent transportation systems decision support tools. Reinforcement learning, an artificial intelligence approach undergoing development in the machine-learning community, offers key advantages in this regard. The ability of a control agent to learn relationships between control actions and their effect on the environment while pursuing a goal is a distinct improvement over prespecified models of the environment. Prespecified models are a prerequisite of conventional control methods and their accuracy limits the performance of control agents. This paper contains an introduction to Q-learning, a simple yet powerful reinforcement learning algorithm, and presents a case study involving application to traffic signal control. Encouraging results of the application to an isolated traffic signal, particularly under variable traffic conditions, are presented. A broader research effort is outlined, including extension to linear and networked signal systems and integration with dynamic route guidance. The research objective involves optimal control of heavily congested traffic across a two-dimensional road network—a challenging task for conventional traffic signal control methodologies."
https://openalex.org/W3133476022,Double Deep Q-Learning and Faster R-CNN-Based Autonomous Vehicle Navigation and Obstacle Avoidance in Dynamic Environment,2021,https://doi.org/10.3390/s21041468,Sensors,"Autonomous vehicle navigation in an unknown dynamic environment is crucial for both supervised- and Reinforcement Learning-based autonomous maneuvering. The cooperative fusion of these two learning approaches has the potential to be an effective mechanism to tackle indefinite environmental dynamics. Most of the state-of-the-art autonomous vehicle navigation systems are trained on a specific mapped model with familiar environmental dynamics. However, this research focuses on the cooperative fusion of supervised and Reinforcement Learning technologies for autonomous navigation of land vehicles in a dynamic and unknown environment. The Faster R-CNN, a supervised learning approach, identifies the ambient environmental obstacles for untroubled maneuver of the autonomous vehicle. Whereas, the training policies of Double Deep Q-Learning, a Reinforcement Learning approach, enable the autonomous agent to learn effective navigation decisions form the dynamic environment. The proposed model is primarily tested in a gaming environment similar to the real-world. It exhibits the overall efficiency and effectiveness in the maneuver of autonomous land vehicles."
https://openalex.org/W3040007863,Evaluating semi-cooperative Nash/Stackelberg Q-learning for traffic routes plan in a single intersection,2020,https://doi.org/10.1016/j.conengprac.2020.104525,Control Engineering Practice,"As traffic congestion grows tremendous and frequent in the urban transportation system, many efficient models with reinforcement learning (RL) methods have already been proposed to optimize this situation. A multi-agent reinforcement learning (MARL) system can be constructed from the traffic problem, where the incoming links (i.e., sections) are regarded as agents and the actions made by the agents are for controlling signal lights. A semi-cooperative Nash Q-learning approach on the basis of single-agent Q-learning and Nash equilibrium is proposed and presented in this paper, in which the agents agree on the process of action selection by Nash equilibrium, but strive finally for a common goal with cooperative behaviour when more than one Nash equilibriums exist. Then an extended version called semi-cooperative Stackelberg Q-learning is designed to make a comparison, where Nash equilibrium is replaced by Stackelberg equilibrium in the Q-learning process. Specifically, the agent who has the largest queues will be promoted as a leader and the others are followers who react to the leader’s decision. Instead of adjusting the plan of green light timing published in other research, this paper is contributing to finding the best multi-routes plan for passing most vehicles in a single traffic intersection, with combining game theory and RL in decision-making in the multi-agent framework. These two multi-agent Q-learning methods are implemented and compared with the constant strategy (i.e., the time intervals of green or red lights are fixed and periodical). The simulated result shows that the performance of semi-cooperative Stackelberg Q-learning is better."
https://openalex.org/W4385603493,Route planning for last-mile deliveries using mobile parcel lockers: A hybrid q-learning network approach,2023,https://doi.org/10.1016/j.tre.2023.103234,Transportation Research Part E Logistics and Transportation Review,"Mobile parcel lockers (MPLs) have been recently proposed by logistics operators as a technology that could help reduce traffic congestion and operational costs in urban freight distribution. Given their ability to relocate throughout their area of deployment, they hold the potential to improve customer accessibility and convenience. In this study, we formulate the Mobile Parcel Locker Problem (MPLP), a special case of the Location-Routing Problem (LRP) which determines the optimal stopover location for MPLs throughout the day and plans corresponding delivery routes. A Hybrid Q-Learning-Network-based Method (HQM) is developed to resolve the computational complexity of the resulting large problem instances while escaping local optima. In addition, the HQM is integrated with global and local search mechanisms to resolve the dilemma of exploration and exploitation faced by classic reinforcement learning (RL) methods. We examine the performance of HQM under different problem sizes (up to 200 nodes) and benchmarked it against the exact approach and Genetic Algorithm (GA). Our results indicate that HQM achieves better optimisation performance with shorter computation time than the exact approach solved by the Gurobi solver in large problem instances. Additionally, the average reward obtained by HQM is 1.96 times greater than GA’s, which demonstrates that HQM has a better optimisation ability. Further, we identify critical factors that contribute to fleet size requirements, travel distances, and service delays. Our findings outline that the efficiency of MPLs is mainly contingent on the length of time windows and the deployment of MPL stopovers. Finally, we highlight managerial implications based on parametric analysis to provide guidance for logistics operators in the context of efficient last-mile distribution operations."
https://openalex.org/W4226263181,Practical Q-Learning-Based Route-Guidance and Vehicle Assignment for OHT Systems in Semiconductor Fabs,2022,https://doi.org/10.1109/tsm.2022.3168702,IEEE Transactions on Semiconductor Manufacturing,"We introduce and analyze vehicle-allocation algorithms for overhead hoist transport (OHT) systems in semiconductor wafer-fabrication facilities (fabs). OHT is the most widely used type of automated material-handling system in fabs, comprising hundreds of vehicles delivering lots between processing machines. Timely transport unit delivery by OHT systems are critical to the efficient overall operation of a modern fab. We first describe the limitations of current OHT vehicle-allocation algorithms, and then detail an improved system that can be implemented in practical environments to manage the operation of hundreds of OHT vehicles. Our proposed system is based on reinforcement learning. In particular, it uses Q-learning-based dynamic vehicle-allocation algorithms to examine traffic conditions and then allocate an OHT vehicle to a delivery job. We propose multiple algorithms based on the Q-learning approach and compare their performance with that of conventional allocation approaches, which reveals the appropriate algorithms for use in industry. We demonstrate that our algorithms are efficient and sufficiently fast to be used in a practical large-scale setting."
https://openalex.org/W2085845425,Q value-based Dynamic Programming with SARSA Learning for real time route guidance in large scale road networks,2012,https://doi.org/10.1109/ijcnn.2012.6252507,,"In this paper, a distributed dynamic traffic management model has been proposed to guide the vehicles, in order to minimize the computation time, make full use of real time traffic information and consequently improve the efficiency of the traffic system. For making the model work, we proposed a new dynamic route determination method, in which Q value-based Dynamic Programming and Sarsa Learning are combined to calculate the approximate optimal traveling time from each section to the destinations in the road networks. The proposed traffic management model is applied to the large scale microscopic simulator SOUND/4U based on the real world road network of Kurosaki, Kitakyushu in Japan. The simulation results show that the proposed method could reduce the traffic congestion and improve the efficiency of the traffic system effectively compared with the conventional method in the real world road network."
https://openalex.org/W4396633404,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,https://doi.org/10.15837/ijccc.2024.3.5382,International Journal of Computers Communications & Control,"In view of the problems existing in the path planning algorithms of unmanned vehicles, such as low search efficiency, slow convergence speed and easy to fall into the local optimal. Based on the characteristics of route planning for unmanned vehicles, this paper introduces Q-Learning into the traditional ant colony algorithm to enhance the learning ability of the algorithm in dynamic environment, so as to improve the overall efficiency of route search. By mapping pheromones into Q values in Q-learning, rapid search in complex environments is realized, and a collection-free path satisfying constraints is quickly found. The results of case analysis show that compared with the traditional ant colony algorithm and the improved ant colony algorithm considering reward and punishment factors, the improved ant colony algorithm based on Q-Learning can effectively reduce the number of iterations, shorten the path optimization time and path length and other performance indicators, and has many advantages in jumping out of the local optimal, improving the global search ability and improving the convergence speed, and has good adaptability and robustness in complex environments. It ensures the safety and stability of unmanned vehicles in complex environments."
https://openalex.org/W2974878761,Autonomous RL: Autonomous Vehicle Obstacle Avoidance in a Dynamic Environment using MLP-SARSA Reinforcement Learning,2019,https://doi.org/10.1109/icmsr.2019.8835462,,"This paper presents a Multi-Layer Perceptron-State Action Reward State Action (MLP-SARSA) based reinforcement learning methodology for dynamic obstacle detection and avoidance for autonomous vehicle navigation. MLP-SARSA is an on-policy reinforcement learning approach, which gains information and rewards from the environment and helps the autonomous vehicle to avoid dynamic moving obstacles. MLP with SARSA provides a significant advantage over dynamic environment compared to other traditional reinforcement algorithms. In this study, a MLP-SARSA model is trained in a complex urban simulation environment with dynamic obstacles using the pygame library. Experimental results show that the trained MLP-SARSA can navigate the autonomous vehicle in a dynamic environment with more confidences than traditional Q-learning and SARSA reinforcement algorithms."
https://openalex.org/W4372317385,Multi‐AGV route planning in automated warehouse system based on shortest‐time Q‐learning algorithm,2023,https://doi.org/10.1002/asjc.3075,Asian Journal of Control,"Abstract Route planning for automated guided vehicles (AGVs) is one of the key factors that affects work efficiency of automated storage and retrieval systems (AS/RSes). Route planning plays an important role in the operation of AGVs. Since the characteristic of AS/RSes is chessboard‐like, the environment is more complex than traditional route planning environments because the number of nodes is large, more than one shortest route exists between two nodes, and the routes with the shortest distance may not be the most energy‐saving routes. Although the traditional route planning algorithms such as the classical Q‐learning algorithm can work well in AGV route planning, it also has some limitations. This paper proposes a novel multi‐AGV route planning approach to solving the AGV route planning problem in the chessboard‐like warehouse, which can improve the route planning efficiency greatly. First, by combining adjacency matrix and reward matrix, we propose a low‐dimensional adjacency‐reward matrix for route planning. This algorithm improves the efficiency of classical Q‐learning algorithms and accelerates dynamic route planning significantly. We further improve the algorithm by considering the travel directions to minimize the number of turns in the route and additionally by considering whether the AGV is loaded or not and plan routes accordingly. Finally, we propose a multi‐AGV online collision‐free route planning algorithm based on these considerations for dynamic route planning for multi‐AGVs operating in a large‐scale warehouse. The proposed algorithms are validated with several case studies."
https://openalex.org/W4389505562,Connected vehicles’ dynamic route planning based on reinforcement learning,2023,https://doi.org/10.1016/j.future.2023.11.037,Future Generation Computer Systems,
