idx,state_form,claimed_capability,claim_quote,title
0,none,optimal-route-claim; dynamic/real-time framing,,Real-time deep reinforcement learning based vehicle navigation
1,none,optimal-route-claim; dynamic/real-time framing,"The RL agent in this model learns optimal actions through interaction with the environment, receiving feedback in the form of rewards or penalties.",A reinforcement learning-based routing algorithm for large street networks
2,none,optimal-route-claim; unqualified,Such a paradigm can assist policymakers in devising optimal operational and planning countermeasures under both normal and abnormal circumstances.,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment
3,local-prediction,unresolved,The objective is to improve travel efficiency and reduce total travel time by minimizing congestion at the intersections while guiding AVs to avoid the temporally congested roads.,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections
4,none,optimal-route-claim; dynamic/real-time framing,"For instance, in [7] a bidirectional time-varying optimal path algorithm based on an improved heuristic function and a backward search technology was proposed; it significantly increased the path solving speed.",Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios
5,none,optimal-route-claim; unqualified,It shows promising result in finding the best route and avoiding the congestion path.,Reinforcement Learning for Vehicle Route Optimization in SUMO
6,none,optimal-route-claim; dynamic/real-time framing,"Consequently, the traffic became smooth as it moved along optimal routes.",Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning
7,none,optimal-route-claim; dynamic/real-time framing,"To obtain the shortest path with the least travel time experienced, adaptive routing plays a critical role.",An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning
8,local-prediction,optimal-route-claim; dynamic/real-time framing,ABSTRACT A previously developed Deep Reinforcement Learning-based Vehicle Routing (DRL-VR) algorithm aims to be used for providing the shortest Origin-Destination (OD) travel time path in dynamic traffic environment.,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment
9,local-prediction,optimal-route-claim; unqualified,"However, it is difficult to find an optimal solution using this method because of the limitations associated with the dynamic nature of road networks.",Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment
