idx,title,category,comparators_located,evidence_source
0,Real-time deep reinforcement learning based vehicle navigation,non-learning-comparator,Dijkstra;A*;ant-colony,fulltext-pdf
1,A reinforcement learning-based routing algorithm for large street networks,non-learning-comparator,shortest-path-based algorithms,fulltext-pdf
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,non-learning-comparator,traditional iterative assignment method,fulltext-pdf
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,learning-only-comparator,DQN/PPO navigation and signal baselines,fulltext-pdf
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,non-learning-comparator,SP;dynamic SP;dynamic-random k-SP,fulltext-pdf
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,unclear,,abstract
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,learning-only-comparator,prior learning-based model variants,fulltext-pdf
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,non-learning-comparator,traditional shortest-path method,fulltext-pdf
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,learning-only-comparator,own model variants (BM/BTM/ATM),fulltext-pdf
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,non-learning-comparator,Dijkstra;A*;prior RL variant,fulltext-pdf
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,non-learning-comparator,Dijkstra,fulltext-pdf
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,learning-only-comparator,IQL;IPPO;VDN (MARL algorithms),fulltext-pdf
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,non-learning-comparator,Dijkstra;ant-colony,fulltext-pdf
13,Reinforcement learning of route choice considering traveler's preference,unclear,,abstract
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,non-learning-comparator,D* (classical planner),fulltext-pdf
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,non-learning-comparator,shortest-route simulation baseline,fulltext-pdf
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,non-learning-comparator,theoretical system-optimum solution,fulltext-pdf
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,learning-only-comparator,single-control DRL variants (ablation),fulltext-pdf
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,non-learning-comparator,SP;DWkSP,fulltext-pdf
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,non-learning-comparator,shortest-path algorithms,fulltext-pdf
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,non-learning-comparator,Dijkstra,fulltext-pdf
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,non-learning-comparator,Dijkstra,fulltext-pdf
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,non-learning-comparator,successive averages;incremental assignment;all-or-nothing,fulltext-pdf
23,Route guidance system using multi-agent reinforcement learning,non-learning-comparator,Dijkstra,fulltext-pdf
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,non-learning-comparator,SPF;SPFWR (Dijkstra-based),fulltext-pdf
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,non-learning-comparator,iterative assignment method,fulltext-pdf
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,learning-only-comparator,classical Q-learning,abstract
27,Optimization Method of DRL-based Route Planning under Limited Resources,learning-only-comparator,fully-connected policy-network benchmark,fulltext-pdf
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,non-learning-comparator,A*,fulltext-pdf
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,learning-only-comparator,non-modular DRL (ablation),fulltext-pdf
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,non-learning-comparator,rule-based EBkSP (no training),fulltext-pdf
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,learning-only-comparator,static-data-trained agent (ablation),fulltext-pdf
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,non-learning-comparator,A*;genetic algorithm,fulltext-pdf
33,Deep Q-Learning-based Route Optimization for Traffic Network,non-learning-comparator,Dijkstra;conventional shortest-path,fulltext-pdf
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,non-learning-comparator,Dijkstra,fulltext-pdf
35,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,non-learning-comparator,rule-based rerouting (no training),fulltext-pdf
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,non-learning-comparator,user-equilibrium benchmark,fulltext-pdf
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,non-learning-comparator,no-control;pre-computed DSO,fulltext-pdf
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,non-learning-comparator,SPF;SPFWR (Dijkstra-based),fulltext-pdf
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,non-learning-comparator,conventional multi-objective optimization methods,fulltext-pdf
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,,abstract
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,non-learning-comparator,no-agent scenario,fulltext-pdf
42,Multi-objective route recommendation method based on Q-learning algorithm,non-learning-comparator,PreGo;MORP (non-RL multi-objective),fulltext-pdf
43,Agent-Based Route Planning with Deep Q Learning,no-comparison-located,,fulltext-pdf
44,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,non-learning-comparator,rule-based EBkSP (no training),fulltext-pdf
