include,paperId,title,year,venue,citationCount,abstract,source,pre_score
,01c40c702399279b6dded2c208da0b0de9236190,Accelerating route choice learning with experience sharing in a commuting scenario: An agent-based approach,2020,AI Communications,3,"Navigation apps have become more and more popular, as they give information about the current traffic state to drivers who then adapt their route choice. In commuting scenarios, where people repeatedly travel between a particular origin and destination, people tend to learn and adapt to different situations. What if the experience gained from such a learning task is shared via an app? In this paper, we analyse the effects that adaptive driver agents cause on the overall network, when those agent",authors2,3
,c0bcf673abd657084e3b30df87ba9712b006a0e2,A Joint Service Migration and Mobility Optimization Approach for Vehicular Edge Computing,2020,IEEE Transactions on Vehicular Technology,143,"The vehicular edge computing is considered an enabling technology for intelligent and connected vehicles since the optimization of communication and computing on edge has a significant impact on driving safety and efficiency. In this paper, with the road traffic assignment to “proactively” reshape the spatiotemporal distribution of resource demands, we investigate the joint service migration and mobility optimization problem for vehicular edge computing. The goal is to meet the service delay req",authors2,3
,489de90ea5f58d1a6ba8cba0f2d4baadba95f2fa,Regret Minimisation and System-Efficiency in Route Choice,2019,Anais do Concurso de Teses e Dissertações da SBC (CTD-SBC),4,"Traffic congestions present a major challenge in large cities. Consid- ering the distributed, self-interested nature oftraffic we tackle congestions using multiagent reinforcement learning (MARL). In this thesis, we advance the state- of-the-art by delivering the first MARL convergence guarantees in congestion- like problems. We introduce an algorithm through which drivers can learn opti- mal routes by locally estimating the regret associated with their decisions, which we prove to converge to a",authors2,3
,e77a205defbdaeea083f7c7dd76489e87a6a6056,A Hybrid Evolutionary and Multiagent Reinforcement Learning Approach to Accelerate the Computation of Traffic Assignment: (Extended Abstract),2015,Adaptive Agents and Multi-Agent Systems,4,"Traditionally, traffic assignment allocates trips to links in a traffic network. Nowadays it is also useful to recommend routes. Here, it is interesting to recommend routes that are as close as possible to the system optimum, while also considering the user equilibrium. To compute an approximation of such an assignment, we use a hybrid approach in which an optimization process based on an evolutionary algorithm is combined with multiagent reinforcement learning. This has two advantages: first, t",authors2,3
,4f03b6348f77eaa078615386bbd81791eb1898d2,Independent learners in abstract traffic scenarios,2013,International Conference on Robot Intelligence Technology and Applications,4,"Traffic is a phenomena that emerges from individual, uncoordinatedand, most of the times, selfish route choice made by drivers. In general, this leads topoor global and individual performance, regarding travel times and road network loadbalance. This work presents a reinforcement learning based approach for route choicewhich relies solely on drivers experience to guide their decisions. There is no coordinatedlearning mechanism, thus driver agents are independent learners. Our approachis tested o",authors2,3
,f04d9465fb81da377adff97298d95cd4103084c2,Reinforcement learning for route choice in an abstract traffic scenario,2012,"Anais do VI Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações (WESAAC 2012)",5,"Traffic movement in a commuting scenario is a phenomena that results from individual and uncoordinated route choice by drivers. Every driver wishes to achieve reasonable travel times from his origin to his destination and, from a global point of view, it is desirable that the load gets distributed proportionally to the roads capacity on the network. This work presents a reinforcement learning algorithm for route choice which relies solely on drivers experience to guide their decisions. Experimen",authors2,3
,7b2d0f539828083b6a5dbdaea1ba6300bfbab7a1,Optimizing Urban Route Choice for Autonomous Vehicles using Multi-Agent Reinforcement Learning,,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,0,,authors2,3
,60433604068d03529a989e1460c64a1503d4c3a5,TERL: Two-Stage Ensemble Reinforcement Learning Paradigm for Large-Scale Decentralized Decision Making in Transportation Simulation,2023,IEEE Transactions on Knowledge and Data Engineering,18,"Transportation simulation is non-trivial due to the co-existence of thousands of heterogeneous decision makers (or vehicles). Such large-scale decision making is intrinsically a complex decentralized problem, the resolution of which is at the forefront of transportation simulation. Despite many physical or mathematical models proposed to date, underlying them is usually a set of universal rules plus some random perturbations to characterize vehicular movements. Inspired by the decision-making me",authors2,2
,70e2820131e597aa5bbb89b95dd1639f12c4e115,"Multi-Objective, Multi-Armed Bandits: Algorithms for Repeated Games and Application to Route Choice",2023,International Conference on Robot Intelligence Technology and Applications,1,"Multi-objective decision-making in multi-agent scenarios poses multiple challenges. Dealing with multiple objectives and non-stationarity caused by simultaneous learning are only two of them, which have been addressed separately. In this work, reinforcement learning algorithms that tackle both issues together are proposed and applied to a route choice problem, where drivers must select an action in a single-state formulation, while aiming to minimize both their travel time and toll. Hence, we de",authors2,2
,e71012304ff31cdb42a1d34b8dcb0230169cfb8a,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,2023,IEEE transactions on intelligent transportation systems (Print),3,"This paper studies the reliable shortest path (RSP) problem in stochastic transportation networks. State-of-the-art RSP solutions usually target one specific RSP problem; moreover, the corresponding algorithm’s computational complexity scales at least linearly with the size of the underlying transportation network. While in this paper, we propose a graph embedding and deep distributional reinforcement learning (GE-DDRL) method, which serves as a universal and scale-free solution to the RSP probl",authors2,2
,6fa6426cd9d81ba69e58c80aa606f7e81d3e2705,The value of less connected agents in Boolean networks,2013,,3,"In multiagent systems, agents often face binary decisions where one seeks to take either the minority or the majority side. Examples are minority and congestion games in general, i.e., situations that require coordination among the agents in order to depict efficient decisions. In minority games such as the El Farol Bar Problem, previous works have shown that agents may reach appropriate levels of coordination, mostly by looking at the history of past decisions. Not many works consider any kind ",authors2,2
,13ee9e9cc27da3f746c4f28999a3d597651f3a9d,Multi-agent reinforcement learning for route guidance system,2011,,9,,authors2,2
,c2180fc60427c9e105ce38ab16d09ee675b35db6,Self-adaptive and multi-agent reinforcement learning in route guidance system,2011,2011 Malaysian Conference in Software Engineering,0,,authors2,2
