idx,title,pdf,travel time,delay,fuel/emission,reward/return,distance,throughput/queue,completion/arrival rate,benchmark,baseline,substrate,nodes
0,Real-time deep reinforcement learning based vehicle navigation,pdfs/pdfs/Real-time deep reinforcement learning based vehicle navigation.pdf,yes,yes,yes,yes,yes,no,no,no,yes,real,
1,A reinforcement learning-based routing algorithm for large street networks,pdfs/pdfs_unlocked/idx1_A reinforcement learning-based routing algorithm for large street networks.pdf,yes,yes,no,yes,yes,no,no,no,yes,real,
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,pdfs/pdfs_unlocked/idx2_Multi-agent reinforcement learning for Markov routing games_ A new modeling paradigm for dynamic traffic assignment.pdf,yes,yes,no,yes,yes,yes,no,yes,no,real,13
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,pdfs/pdfs/Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections.pdf,yes,yes,no,yes,no,yes,no,no,yes,both,16
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,pdfs/pdfs_unlocked/idx4_Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios.pdf,yes,yes,yes,yes,yes,no,no,no,yes,real,8
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,pdfs/pdfs/Reinforcement_Learning_for_Vehicle_Route_Optimization_in_SUMO__b886b157.pdf,no,no,no,yes,no,no,no,no,yes,neither,
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,pdfs/pdfs_unlocked/idx6_Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning.pdf,no,no,no,yes,yes,no,yes,no,no,real,
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,pdfs/pdfs_unlocked/idx7_An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning.pdf,yes,yes,no,yes,yes,yes,no,no,yes,both,14
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,pdfs/pdfs_unlocked/idx8_Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment.pdf,yes,yes,no,yes,yes,yes,no,no,yes,both,
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,pdfs/pdfs_unlocked/idx9_Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment.pdf,yes,yes,no,yes,yes,yes,no,no,yes,synthetic,
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,pdfs/pdfs/XRouting Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning.pdf,yes,no,yes,yes,yes,no,no,no,yes,neither,
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,pdfs/pdfs_unlocked/idx11_RouteRL_ Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles.pdf,yes,yes,yes,yes,no,no,no,no,no,both,
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,pdfs/pdfs_unlocked/idx12_Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV.pdf,yes,no,no,yes,yes,no,no,no,yes,real,
13,Reinforcement learning of route choice considering traveler's preference,handoff/corpus_pdfs/TalkFile_Reinforcement learning of route choice considering traveler s preference.pdf.pdf,yes,no,no,yes,no,no,no,yes,yes,neither,13
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,pdfs/pdfs/Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO.pdf,no,no,no,yes,no,no,no,no,yes,neither,
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,pdfs/pdfs_unlocked/idx15_Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle.pdf,no,no,yes,no,no,no,no,no,no,neither,36
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,pdfs/pdfs/Reinforcement_Learning-based_Sequential_Route_Recommendation_for_System-Optimal__1de72023.pdf,yes,yes,no,yes,no,no,no,yes,yes,synthetic,13
