title,year,venue,table_iv2_status,stated_scope_note
A Brief Survey of Deep Reinforcement Learning for Intersection Navigation of Autonomous Vehicles,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),in Table IV-2 as [70],"DRL for intersection navigation of autonomous vehicles; intersection-level decisions, not OD-path routing"
"A Survey of Route Recommendations: Methods, Applications, and Opportunities",2024,Information Fusion,in Table IV-2 as [5],"route recommendation methods and applications in urban computing; closest topical match, spans non-DRL methods"
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions",2024,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,"DRL for autonomous driving broadly (applications and challenges); perception-control level, no route-level scope stated"
State-of-the-Art Review on Traffic Control Strategies for Emergency Vehicles,2022,IEEE Access,not in Table IV-2,"traffic control strategies for emergency vehicles; signal and priority control, not learned per-vehicle routing"
Machine Learning to Solve Vehicle Routing Problems: A Survey,2024,IEEE Transactions on Intelligent Transportation Systems,in Table IV-2 as [71],"machine learning for the vehicle routing problem; batch fleet assignment, out of this survey's scope"
Autonomous Driving at Unsignalized Intersections: A Review of Decision-Making Challenges and Reinforcement Learning-Based Solutions,2026,IEEE Transactions on Automation Science and Engineering,not in Table IV-2,"decision-making for autonomous driving at unsignalized intersections; intersection-level, no OD routing"
A Survey of Deep RL and IL for Autonomous Driving Policy Learning,2022,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,"deep RL and imitation learning for autonomous driving policy learning; driving-policy level, no route-level scope stated"
Data-Driven Traffic Simulation: A Comprehensive Review,2024,IEEE Transactions on Intelligent Vehicles,not in Table IV-2,"data-driven traffic simulation methods; simulation methodology, not routing systems"
A Systematic Review of Adversarial Attacks and Defenses for Deep Reinforcement Learning in Autonomous Vehicle Applications,2026,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,"adversarial attacks and defenses for DRL in autonomous driving; robustness, not routing"
Advancements in AI-Powered Electric Vehicle Routing: Multi-Constraint Optimization and Infrastructure Integration Approaches for Evolving EVs?�A Survey,2025,IEEE Access,not in Table IV-2,AI-powered electric-vehicle routing under charging constraints; EV charging scheduling adjoins an excluded domain (Section III-A)
Survey of Deep Reinforcement Learning for Motion Planning of Autonomous Vehicles,2022,IEEE Transactions on Intelligent Transportation Systems,in Table IV-2 as [3],DRL for motion planning of autonomous vehicles; trajectory and maneuver level
An Overview and Experimental Study of Learning-Based Optimization Algorithms for the Vehicle Routing Problem,2022,IEEE/CAA Journal of Automatica Sinica,in Table IV-2 as [72],"learning-based optimization for the vehicle routing problem; batch fleet assignment, out of scope"
"Decision-Making and Planning for Intelligent Vehicle Considering Human Factors: Methods, Challenges, and Prospects",2026,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,decision-making and planning for intelligent vehicles considering human factors; driving level
A Systematic Survey of Control Techniques and Applications in Connected and Automated Vehicles,2023,IEEE Internet of Things Journal,not in Table IV-2,"control techniques and applications in connected and automated vehicles; vehicle control, not routing"
"A Survey of Machine Learning Innovations in Ambulance Services: Allocation, Routing, and Demand Estimation",2024,IEEE Open Journal of Intelligent Transportation Systems,not in Table IV-2,"machine learning in ambulance services (allocation, routing, demand); fleet allocation and dispatch"
A Survey on Localization for Autonomous Vehicles,2023,IEEE Access,not in Table IV-2,"localization for autonomous vehicles; localization, not routing"
Mitigation of Motion Sickness and Optimization of Motion Comfort in Autonomous Vehicles: Systematic Survey,2024,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,"motion-sickness mitigation and motion comfort in autonomous vehicles; comfort, not routing"
Explainable AI for Safe and Trustworthy Autonomous Driving: A Systematic Review,2024,IEEE Transactions on Intelligent Transportation Systems,not in Table IV-2,"explainable AI for safe and trustworthy autonomous driving; explainability, not routing"
Trajectory Planning for Autonomous Cars in Low-Structured and Unstructured Environments: A Systematic Review,2025,IEEE Access,not in Table IV-2,"trajectory planning in low-structured and unstructured environments; trajectory level, off-road settings"
Motion Planning for Autonomous Driving: The State of the Art and Future Perspectives,2023,IEEE Transactions on Intelligent Vehicles,not in Table IV-2,motion planning for autonomous driving; trajectory and maneuver level
Revolutionizing Transportation Using Deep Reinforcement Learning: A Comprehensive Review,2023,2023 IEEE 15th International Conference on Computational Intelligence and Communication Networks (CICN),not in Table IV-2,"DRL across transportation applications broadly; general ITS-wide survey, routing one subtopic among many"
