include,paperId,title,year,venue,citationCount,doi,query
,ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
0,913ca15958b7fef9a51f37cccd1253b24760bac4,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,2020,IEEE International Conference on Mobile Adhoc and Sensor Systems,19,10.1109/MASS50613.2020.00023,reinforcement learning route guidance
,2e42a40ada84156c33abc0f4ff56a21c313cceb1,Combining Car-to-Infrastructure Communication and Multi-Agent Reinforcement Learning in Route Choice,2016,ATT@IJCAI,9,,reinforcement learning route choice
,d58f2f355613921f878ca54d0e17e32747d8c47f,Comparing Multi-Armed Bandit Algorithms and Q-learning for Multiagent Action Selection: a Case Study in Route Choice,2018,IEEE International Joint Conference on Neural Network,18,10.1109/IJCNN.2018.8489655,reinforcement learning route choice
,d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future generations computer systems,14,10.1016/j.future.2023.11.037,reinforcement learning dynamic route planning
,a2c3d28bbef73657bea5a6ea61a8be2ea2501088,Research on Autonomous Driving Route Planning Method Based on Deep Reinforcement Learning,2025,"2025 International Conference on Mechatronics, Automation and Intelligent Control (MAIC)",0,10.1109/MAIC67965.2025.11468844,reinforcement learning dynamic route planning
0,4c439534dbee8e90a9132c3d5c409e1826fad9b5,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,2024,Other Conferences,1,10.1117/12.3054495,reinforcement learning vehicle route optimization
,3564fa84740573bf226bcea29f48b3523879705f,eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,2025,"2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)",1,10.1109/CCGridW65158.2025.00015,reinforcement learning vehicle route optimization
,f29e628b050c8590e7b24149138c5eb9ae6ca9fb,AlphaRouter: Bridging the Gap Between Reinforcement Learning and Optimization for Vehicle Routing with Monte Carlo Tree Searches,2025,Entropy,1,10.3390/e27030251,reinforcement learning vehicle route optimization
1,b61204824bab85fb1b37e30d1b7fca1cab708478,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,2018,International Conference on Transportation and Development 2018,3,10.1061/9780784481530.011,reinforcement learning vehicle route optimization
