row,paperId,title,year,venue,citationCount,doi,source,filter_note
1,ba1f78e24bc722ed4913d1096f14d0fc24b385ca,Parameterized Reinforcement Learning with Route Guidance for Controlling Urban Road Traffic Networks,2026,Future Transportation,0,,snowball3_candidates.csv,keep
2,https://openalex.org/W4408794272,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,,3,10.1109/icccit62592.2025.10928029,openalex_candidates.csv,keep
3,https://openalex.org/W4406611725,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles<sup>*</sup>,2024,,6,10.1109/smc54092.2024.10831232,openalex_candidates.csv,keep
4,https://openalex.org/W4389333680,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2023,Transportation Research Part C Emerging Technologies,33,10.1016/j.trc.2023.104440,openalex_candidates.csv,keep
5,https://openalex.org/W4385954129,Multi-Objective Deep Reinforcement Learning for Crowd Route Guidance Optimization,2023,Transportation Research Record Journal of the Transportation Research Board,4,10.1177/03611981231190635,openalex_candidates.csv,keep
6,https://openalex.org/W4312845780,Understanding Route Choice Behaviours Using Macro-Level Patterns: A Q-Learning Approach,2022,SSRN Electronic Journal,1,10.2139/ssrn.4262015,openalex_candidates.csv,keep
7,https://openalex.org/W4292286405,An Adaptive Route Guidance Model Based on Deep Reinforcement Learning,2022,SSRN Electronic Journal,0,10.2139/ssrn.4193419,openalex_candidates.csv,keep
8,65e3b98fd9eeb02b6bffe2b32eb1319a7a1cbec1,A Multiobjective Reinforcement Learning Approach to Trip Building,2022,ATT@IJCAI,2,,snowball3_candidates.csv,keep
9,https://openalex.org/W2996685790,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2019,Applied Mathematics and Computation,55,10.1016/j.amc.2019.124895,openalex_candidates.csv,keep
10,d58f2f355613921f878ca54d0e17e32747d8c47f,Comparing Multi-Armed Bandit Algorithms and Q-learning for Multiagent Action Selection: a Case Study in Route Choice,2018,IEEE International Joint Conference on Neural Network,18,,snowball3_candidates.csv,keep
11,https://openalex.org/W2556366151,A multiagent reinforcement learning approach to en-route trip building,2016,,32,10.1109/ijcnn.2016.7727899,openalex_candidates.csv,keep
12,https://openalex.org/W4406800045,Reinforcement learning based route optimization model to enhance energy efficiency in internet of vehicles,2025,Scientific Reports,18,10.1038/s41598-025-86608-5,openalex_candidates.csv,border
13,https://openalex.org/W4410610241,Reinforcement Learning Base Energy Efficient Route Optimization Model to Enhance Network Lifetime on the Internet of Vehicles,2025,Journal of Advanced Research Design,2,10.37934/ard.132.1.124139,openalex_candidates.csv,border
14,https://openalex.org/W4415682067,A reinforcement learning model for dynamic distribution route optimization of agricultural products under replenishment demand,2025,Alexandria Engineering Journal,2,10.1016/j.aej.2025.09.073,openalex_candidates.csv,border
15,https://openalex.org/W4415719805,Navigation in a Three-Dimensional Urban Flowusing Deep Reinforcement Learning,2025,Research Square,0,10.21203/rs.3.rs-7249313/v1,openalex2_candidates.csv,border
16,https://openalex.org/W4390904888,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,2024,IEEE Transactions on Intelligent Transportation Systems,11,10.1109/tits.2023.3348034,openalex_candidates.csv,border
17,https://openalex.org/W4402156168,A Deep Reinforcement Learning Approach for Adaptive Traffic Routing in Next-Gen Networks,2024,,9,10.1109/icc51166.2024.10622726,openalex_candidates.csv,border
