group,idx,title,year,venue,doi,oa_status,acquisition_route,note
corpus-abstract-only,13,Reinforcement learning of route choice considering traveler's preference,,,,NOT-FOUND,"Taylor&Francis Transportation Letters (doi 10.1080/19427867.2023.2231689), no OA copy -> ILL/RISS document delivery OR author full-text request (Xueqin Long et al., Chang-an Univ.)",
corpus-abstract-only,17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,2023,arXiv.org,,NOT-FOUND,"ACQUIRED (arXiv, content-verified) -> data/pdfs_acquired/",
corpus-abstract-only,26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,2024,"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering",,closed,"closed, non-IEEE (SAGE Publishing) -> institutional access / ILL / author request",
corpus-abstract-only,40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,2024,Other Conferences,,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2023.104440,hybrid,Elsevier TR-C hybrid OA -> free at https://doi.org/10.1016/j.trc.2023.104440,doi backfilled from reference list
corpus-abstract-only,51,A multiagent reinforcement learning approach to en-route trip building,2016,2016 IEEE International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN.2016.7727899,closed,"closed, IEEE venue -> institutional IEEE Xplore download",doi backfilled from reference list
corpus-abstract-only,53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,10.1016/j.amc.2019.124895,closed,"closed, non-IEEE (Elsevier BV) -> institutional access / ILL / author request",doi backfilled from reference list
corpus-abstract-only,54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,2023,2023 20th International Conference on Ubiquitous Robots (UR),10.1109/UR57808.2023.10202222,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",doi backfilled from reference list
corpus-abstract-only,55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",10.1109/ICCCIT62592.2025.10928029,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",doi backfilled from reference list
corpus-abstract-only,56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,2025,Transportation Research Record,10.1177/03611981251359285,closed,"closed, non-IEEE (SAGE Publishing) -> institutional access / ILL / author request",doi backfilled from reference list
corpus-abstract-only,57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,2025,arXiv.org,10.48550/arxiv.2509.13386,green,"ACQUIRED (arXiv, content-verified) -> data/pdfs_acquired/",doi backfilled from reference list
corpus-abstract-only,60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,2023,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3305463,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3023958,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3305818,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,2024,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3311198,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3361445,green,green OA at SMU repository -> browser: https://ink.library.smu.edu.sg/sis_research/8704,
corpus-abstract-only,68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,2026,IEEE Access,10.1109/ACCESS.2026.3677440,gold,IEEE Access gold OA -> free on IEEE Xplore,
corpus-abstract-only,71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA65645.2025.11139059,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,73,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,2026,"2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)",10.1109/ICAECT68478.2026.11425999,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,2022,2022 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),10.1109/ISPCE-ASIA57917.2022.9970805,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
