paperId,title,year,venue,citationCount,doi,query
ff7ef6700bb3eeac771d092e629bc7d891423c15,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,32,10.1016/j.trc.2023.104440,deep reinforcement learning route guidance
05c421ce453104f74f353ac0846f42b11ca75e57,Dynamic Passenger Route Guidance in the Multimodal Transit System With Graph Representation and Attention Based Deep Reinforcement Learning,2024,IEEE transactions on intelligent transportation systems (Print),5,10.1109/TITS.2024.3390172,deep reinforcement learning route guidance
a50ff3ba1541a8a4ec3e909d43007aa986d62237,An Adaptive Route Guidance Model Based on Deep Reinforcement Learning,2022,Social Science Research Network,1,10.2139/ssrn.4193419,deep reinforcement learning route guidance
249e3fced111538899a6a080b8b5c8a469ab05cb,Advancing Dynamic Emergency Route Optimization with a Composite Network Deep Reinforcement Learning Model,2025,Syst.,7,10.3390/systems13020127,deep reinforcement learning route guidance
16a1d2190ddfd0851d1686e2553aadd2f7ea4129,A novel method based on deep reinforcement learning for machining process route planning,2024,Robotics Comput. Integr. Manuf.,33,10.1016/j.rcim.2023.102688,deep reinforcement learning route guidance
ef15a6b9c1569698ea86924f10a6381e1041ba7e,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,2024,"IEEE International Conference on Systems, Man and Cybernetics",9,10.1109/SMC54092.2024.10831232,deep reinforcement learning route guidance
2fb608c04fd23ec80debc4f1cce0376e58d319be,Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,2023,IEEE Access,8,10.1109/ACCESS.2023.3327273,deep reinforcement learning route guidance
d3560226fe6488455d4e3d458dde9f8084a9e16c,Dynamic Route Planning Method Based on Deep Reinforcement Learning and Velocity Obstacle,2023,2023 IEEE 12th Data Driven Control and Learning Systems Conference (DDCLS),4,10.1109/DDCLS58216.2023.10166409,deep reinforcement learning route guidance
47314a743a8dd5fe4ace84614a4abd877dd393a6,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,2021,International Congress of Mathematicans,7,10.1109/ICM46511.2021.9385686,deep reinforcement learning route guidance
3c34f551f0a29c77aea8322c9b290f19e55921c7,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2020,2021 IEEE International Conference on Communications Workshops (ICC Workshops),44,10.1109/ICCWorkshops50388.2021.9473555,deep reinforcement learning route guidance
f432dae7e0a9c84adeef9e154e10f8ccab9d5731,An Autonomous Free Airspace En-route Controller using Deep Reinforcement Learning Techniques,2020,arXiv.org,19,,deep reinforcement learning route guidance
