idx,title,recorded_field,recorded,pdf,match_ratio,machine,settled_by
0,Real-time deep reinforcement learning based vehicle navigation,not-addressed,not-addressed,Real_time_deep_reinforcement_learning_based_vehicle_navigation_pdf.txt,0.969,not-addressed,
1,A reinforcement learning-based routing algorithm for large street networks,not-addressed,not-addressed,A_reinforcement_learning_based_routing_algorithm_for_large_street_networks_pdf.txt,0.974,not-addressed,
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,not-addressed,not-addressed,idx2_Multi_agent_reinforcement_learning_for_Markov_routing_games_A_new_modeling_paradigm_for_dynamic_traffic_assignment_.txt,0.979,addressed,In total there are 120 controllable agents who enter the road network according to their starting time.
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,boundary-open-addressed,addressed,Hierarchical_Reinforcement_Learning_for_Dynamic_Autonomous_Vehicle_Navigation_at_Intelligent_Intersections_pdf.txt,0.981,addressed,"The road networks data and trip information of human-driven vehicles (HVs) are directly obtained from a road network file and a route file, while the trips of autonomous vehicles are randomly sampled from valid routes using the total number of vehicles entered the network during the last timestep and the penetration rate 𝑃𝑅, which is defined as follows: 𝑃𝑅= 𝑁𝐴𝑉 𝑁𝐴𝑉+ 𝑁𝐻𝑉 , (11) where 𝑁𝐴𝑉and 𝑁𝐻𝑉deno"
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,not-addressed,not-addressed,Urban_Traffic_Route_Guidance_Method_With_High_Adaptive_Learning_Ability_Under_Diverse_Traffic_Scenarios_pdf.txt,0.981,not-addressed,
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,not-addressed,not-addressed,Reinforcement_Learning_for_Vehicle_Route_Optimization_in_SUMO_b886b157_pdf.txt,0.904,not-addressed,
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,not-addressed,not-addressed,Routing_Control_Optimization_for_Autonomous_Vehicles_in_Mixed_Traffic_Flow_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.982,not-addressed,
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,not-addressed,not-addressed,An_Adaptive_Route_Guidance_Model_Considering_the_Effect_of_Traffic_Signals_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.982,not-addressed,
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,not-addressed,not-addressed,Transfer_Learning_Based_Deep_Reinforcement_Learning_Approach_for_Robust_Route_Guidance_in_Mixed_Traffic_Environment_pdf.txt,0.983,addressed,The agent of following the route guidance generated by the BM takes the travel route from the left boundary link to the top boundary link of the road network.
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,boundary-open-addressed,addressed,Development_of_Reinforcement_Learning_based_Traffic_Predictive_Route_Guidance_Algorithm_Under_Uncertain_Traffic_Environm.txt,0.988,addressed,"In contrast, a large negative reward value is given when the terminal state is in other boundary links on a road network."
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,not-addressed,not-addressed,XRouting_Explainable_Vehicle_Rerouting_for_Urban_Road_Congestion_Avoidance_using_Deep_Reinforcement_Learning_pdf.txt,0.982,not-addressed,
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,not-addressed,not-addressed,RouteRL_Multi_agent_reinforcement_learning_framework_for_urban_route_choice_with_autonomous_vehicles_pdf.txt,0.980,not-addressed,
