paperId,title,year,venue,citationCount,abstract,source,pre_score
adb148148e6fe5a36fcbea113f741a2d34865a04,A DRL Approach for Teleoperated Driving in 6G Network Digital Twin Framework,2025,"IEEE International Conference on Systems, Man and Cybernetics",0,"In the age of intelligent transportation systems and smart cities, teleoperated driving aims to bridge the gap between human and fully autonomous driving. However, the reliability of teleoperated driving is heavily dependent on the quality of the cellular networks, a limitation that could be addressed by 6G networks, which aims to enhance ultralow latency and high reliability. This study proposes an integrated simulator for teleoperated driving by utilizing Deep Reinforcement Learning (DRL) in a",authors3,3
77181411e1fc2c1c3561cd0d67815a254e38a09e,Online Prediction-Assisted Safe Reinforcement Learning for Electric Vehicle Charging Station Recommendation in Dynamically Coupled Transportation-Power Systems,2024,Transportation Research Part C: Emerging Technologies,4,"With the proliferation of electric vehicles (EVs), the transportation network and power grid become increasingly interdependent and coupled via charging stations. The concomitant growth in charging demand has posed challenges for both networks, highlighting the importance of charging coordination. Existing literature largely overlooks the interactions between power grid security and traffic efficiency. In view of this, we study the en-route charging station (CS) recommendation problem for EVs in",authors3,3
a5e10bd5746dd92296a6caf3870024f89c7d3859,A deep reinforcement learning with dynamic spatio-temporal graph model for solving urban logistics delivery planning problems,2024,International Journal of Digital Earth,7,"ABSTRACT The urban logistics delivery planning problems are a crucial component of urban spatial decision analysis. Most studies typically focus on traditional urban logistics delivery planning problems and ignore real-time traffic information. With the advancement of urbanization, real-time traffic networks play a critical role. However, previous studies have utilized heuristic methods to solve urban logistics delivery planning with real-time traffic information problems, and few studies have a",authors3,3
0e9449bb9a92a33766fb6dd9a7931539c269f76c,Autonomous Decision-Making in Roundabouts Using Deep Reinforcement Learning and Heuristics Rules,2024,2024 IEEE Cyber Science and Technology Congress (CyberSciTech),0,"Roundabouts frequently present challenging traffic scenarios, often leading to accidents, making it crucial to design a safe and efficient automatic driving decision-making system for effective navigation. While deep reinforcement learning (DRL) has shown promise in this field, it faces challenges such as poor sample efficiency and safety concerns. To address these issues, this paper proposes a hybrid approach that combines DRL with heuristic rules. We introduce an action filter module that pre-",authors3,3
123be8a270e20d2a0b1624d430e7b630867bd4ed,A Risk-aware Multi-objective Patrolling Route Optimization Method using Reinforcement Learning,2023,International Conference on Parallel and Distributed Systems,2,"In recent years, the burgeoning urban population, coupled with expanding urban dimensions and various sociodemographic factors, has led to an alarming escalation in criminal activities within urban centers. This escalation has further exacerbated the existing strain on police resources, rendering them increasingly inadequate for effective law enforcement. Concurrently, police patrol operations have emerged as a pivotal instrument in the ongoing battle against violent criminal activities. The jud",authors3,3
d3b48261be4d954861eab94096914babcf0e86e2,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,2023,Asia,0,"Reaching the accident scene promptly for emergency vehicles (EVs) can significantly alleviate the negative impact of accidents. However, finding a way to reduce the response time of EVs (i.e., the travel time of an EV to reach the rescue location) remains a challenge that needs to be addressed. In this paper, we design a distributed intelligent transportation system (DITS) powered by vehicular fog computing (VFC), which offers new possibilities for designing traffic scheduling methods. We propos",authors3,3
032ed55af9f75cef20a8da61a32d7cf86dd89268,Multi-task Safe Reinforcement Learning for Navigating Intersections in Dense Traffic,2022,Journal of the Franklin Institute,26,"Multi-task intersection navigation including the unprotected turning left, turning right, and going straight in dense traffic is still a challenging task for autonomous driving. For the human driver, the negotiation skill with other interactive vehicles is the key to guarantee safety and efficiency. However, it is hard to balance the safety and efficiency of the autonomous vehicle for multi-task intersection navigation. In this paper, we formulate a multi-task safe reinforcement learning with so",authors3,3
00711701fb1abe8b5523281dcce1fb3aed6680cb,SIM: A Scenario IMagination Based Deep Reinforcement Learning Method for Outdoor Transportation Environment Exploration,2022,2022 IEEE 11th Data Driven Control and Learning Systems Conference (DDCLS),0,"Autonomous exploration is very important for robotics, especially for mapping, navigation, and planning in an unknown environment. In recent years, automatic exploration methods in the indoor environment have been extensively studied, but there is little research on exploration in the outdoor transportation environment. Due to the limitations of outdoor traffic rules and the scale of the environment, the methods for the indoor environment are difficult to apply to the transportation environment.",authors3,3
0b955ec4c0dae101ebda876decc773482417851a,A SUMO Framework for Deep Reinforcement Learning Experiments Solving Electric Vehicle Charging Dispatching Problem,2022,arXiv.org,17,"In modern cities, the number of Electric vehicles (EV) is increasing rapidly for their low emission and better dynamic performance, leading to increasing demand for EV charging. However, due to the limited number of EV charging facilities, catering to the huge demand for time-consuming EV charging becomes a critical problem. It is quite a challenge to dispatch EVs in the dynamic traffic environment and coordinate interaction among agents. To better serve further research on various related Deep ",authors3,3
f99b4494327eddfc095ed777e2cc260c0cfd4412,Space-weighted information fusion using deep reinforcement learning: The context of tactical control of lane-changing autonomous vehicles and connectivity range assessment,2021,Transportation Research Part C: Emerging Technologies,80,"Abstract The connectivity aspect of connected autonomous vehicles (CAV) is beneficial because it facilitates dissemination of traffic-related information to vehicles through Vehicle-to-External (V2X) communication. Onboard sensing equipment including LiDAR and camera can reasonably characterize the traffic environment in the immediate locality of the CAV. However, their performance is limited by their sensor range (SR). On the other hand, longer-range information is helpful for characterizing im",authors3,3
