paperId,title,year,venue,citationCount,doi,query
ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
f5197100f4716139c5d327bc4c60db2a1b2d50fa,A unified model for the fairness mechanism‐based coordinated vehicle route guidance,2023,IET Intelligent Transport Systems,2,10.1049/itr2.12414,reinforcement learning route guidance
bd4213ee20cafeda219328a0afc318c816192bef,Reinforcement Learning Based Routing in Networks: Review and Classification of Approaches,2019,IEEE Access,192,10.1109/ACCESS.2019.2913776,reinforcement learning route guidance
3fd6a9ffdb0002f1d5d6e868219dae39e62d857f,Attention Routing: track-assignment detailed routing using attention-based reinforcement learning,2020,Design Automation Conference,33,10.1115/detc2020-22219,reinforcement learning route guidance
536674a1ae6947715f4508ed8e431289888e39a7,Accelerating Learning of Route Choices With C2I: A Preliminary Investigation,2020,"Anais do Symposium on Knowledge Discovery, Mining and Learning (KDMiLe 2020)",4,10.5753/kdmile.2020.11957,reinforcement learning route guidance
b39aecbf900ebdcc4846324ec887d981247df29f,AlphaRoute: Large-Scale Coordinated Route Planning via Monte Carlo Tree Search,2023,AAAI Conference on Artificial Intelligence,10,10.1609/aaai.v37i10.26422,reinforcement learning route guidance
447db49ee978be0827e2d873a4a5bbed53f873c3,Impact of Collective Behaviors of Autonomous Vehicles on Urban Traffic Dynamics: A Multi-Agent Reinforcement Learning Approach,2025,arXiv.org,6,10.48550/arXiv.2509.22216,reinforcement learning route choice
60c96f352c1f426f3aa2b0035c3de3c9974ee381,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,2021,Journal of Information and Data Management,2,10.5753/jidm.2021.1935,reinforcement learning route choice
01c40c702399279b6dded2c208da0b0de9236190,Accelerating route choice learning with experience sharing in a commuting scenario: An agent-based approach,2020,AI Communications,3,10.3233/AIC-201582,reinforcement learning route choice
9615df18c965432bf3bba1ce506f00ec94302bb8,Reinforcement learning‐based approach for urban road project scheduling considering alternative closure types,2024,Comput. Aided Civ. Infrastructure Eng.,3,10.1111/mice.13365,reinforcement learning route choice
