paperId,title,year,venue,citationCount,doi,query
302ced2dd5c9da6c9029d5b88407a15173db13f6,Double-DQN based path smoothing and tracking control method for robotic vehicle navigation,2019,Computers and Electronics in Agriculture,85,10.1016/j.compag.2019.104985,deep Q-network path planning vehicle traffic
cbfc369dd67a378a812fd10acb437645c5d4e95f,Intelligent ship route planning via an A∗ search model enhanced double-deep Q-network,2025,Ocean Engineering,61,10.1016/j.oceaneng.2025.120956,deep Q-network route guidance
3c34f551f0a29c77aea8322c9b290f19e55921c7,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2020,2021 IEEE International Conference on Communications Workshops (ICC Workshops),44,10.1109/ICCWorkshops50388.2021.9473555,deep reinforcement learning route guidance
58f02eeb7478a2fc630cd70c99c61a12dd8b0518,Route Planning and Power Management for PHEVs With Reinforcement Learning,2020,IEEE Transactions on Vehicular Technology,41,10.1109/TVT.2020.2979623,reinforcement learning route guidance
16a1d2190ddfd0851d1686e2553aadd2f7ea4129,A novel method based on deep reinforcement learning for machining process route planning,2024,Robotics Comput. Integr. Manuf.,33,10.1016/j.rcim.2023.102688,deep reinforcement learning route guidance
ff7ef6700bb3eeac771d092e629bc7d891423c15,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,32,10.1016/j.trc.2023.104440,deep reinforcement learning route guidance
0b935eb19a886ae408a35e3572f56b2a36dd0fe4,"PassGoodPool: Joint Passengers and Goods Fleet Management With Reinforcement Learning Aided Pricing, Matching, and Route Planning",2020,IEEE transactions on intelligent transportation systems (Print),29,10.1109/tits.2021.3128877,deep reinforcement learning route guidance
332450247f87cd11a4ab5a4c5ab84fcf9feec575,A multiagent reinforcement learning approach to en-route trip building,2016,IEEE International Joint Conference on Neural Network,28,10.1109/IJCNN.2016.7727899,deep reinforcement learning traffic assignment network
286a747c9b661bb3d9d3b8e9ffa3cb76c775fafd,Acquisition of Automated Guided Vehicle Route Planning Policy Using Deep Reinforcement Learning,2017,International Conference on Advanced Learning Technologies,27,10.1109/ICADLT.2017.8547000,deep reinforcement learning route guidance
f432dae7e0a9c84adeef9e154e10f8ccab9d5731,An Autonomous Free Airspace En-route Controller using Deep Reinforcement Learning Techniques,2020,arXiv.org,19,,deep reinforcement learning route guidance
d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future generations computer systems,14,10.1016/j.future.2023.11.037,reinforcement learning dynamic route planning
bd60173626a2a9ba007deeaf6fec6be65cbdfb1a,Multi-Modal Attention Perception for Intelligent Vehicle Navigation Using Deep Reinforcement Learning,2025,IEEE transactions on intelligent transportation systems (Print),13,10.1109/TITS.2025.3535885,navigation recommendation deep reinforcement learning
b959a346dff2a58f9c9e132cdb14a1207ebcebaa,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,International Journal of Computers Communications & Control,9,10.15837/ijccc.2024.3.5382,Q-learning route guidance
84037cef1ee591a87412487df63e1f09a9d4dea3,Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,2024,Journées Francophones d'Ingénierie des Connaissances,9,10.1109/IC457434.2024.10486336,autonomous vehicle route guidance reinforcement learning
2fb608c04fd23ec80debc4f1cce0376e58d319be,Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,2023,IEEE Access,8,10.1109/ACCESS.2023.3327273,deep reinforcement learning route guidance
02671d0dd1274b150893cb2daa0b7bcd0070c1d9,"Action-limited, Multimodal Deep Q Learning for AGV Fleet Route Planning",2021,CCEAI,7,10.1145/3448218.3448219,deep Q-network path planning vehicle traffic
