group,idx,title,oa_status,publisher,oa_url,note
corpus-abstract-only,13,Reinforcement learning of route choice considering,NOT-FOUND,,,
corpus-abstract-only,17,Joint Optimization of Traffic Signal Control and V,NOT-FOUND,,,
corpus-abstract-only,26,Reinforcement learning-based route planning method,closed,SAGE Publishing,,
corpus-abstract-only,40,Emergency vehicle rescue route optimization based ,closed,,,
corpus-abstract-only,50,Regional route guidance with realistic compliance ,hybrid,Elsevier BV,https://doi.org/10.1016/j.trc.2023.104440,
corpus-abstract-only,51,A multiagent reinforcement learning approach to en,closed,,,
corpus-abstract-only,53,A reinforcement learning scheme for the equilibriu,closed,Elsevier BV,,
corpus-abstract-only,54,Robust Route Planning with Distributional Reinforc,closed,,,
corpus-abstract-only,55,Deep Reinforcement Learning for Optimizing Route P,closed,,,
corpus-abstract-only,56,Vehicle-Infrastructure Cooperation Framework for V,closed,SAGE Publishing,,
corpus-abstract-only,57,VEGA: Electric Vehicle Navigation Agent via Physic,green,Cornell University,https://arxiv.org/pdf/2509.13386,
corpus-abstract-only,60,A Sustainable Multi-Agent Routing Algorithm for Ve,closed,Institute of Electrical and El,,
corpus-abstract-only,61,Distributed Learning for Vehicle Routing Decision ,closed,Institute of Electrical and El,,
corpus-abstract-only,63,A Bi-Level Network-Wide Cooperative Driving Approa,closed,Institute of Electrical and El,,
corpus-abstract-only,64,Self-Organized Routing for Autonomous Vehicles via,closed,Institute of Electrical and El,,
corpus-abstract-only,66,SEGAC: Sample Efficient Generalized Actor Critic f,green,Institute of Electrical and El,https://ink.library.smu.edu.sg/sis_research/8704,
corpus-abstract-only,68,Shortest-Time Path Planning Under Carbon Emission ,gold,Institute of Electrical and El,https://doi.org/10.1109/access.2026.3677440,
corpus-abstract-only,71,Research on Emergency Rescue Path Optimization Met,closed,,,
corpus-abstract-only,73,A Multi-Agent Deep Reinforcement Learning Framewor,closed,,,
corpus-abstract-only,74,Path Planning in Urban Environment Based on Traffi,closed,,,
corpus-abstract-only,75,Autonomous Vehicles in Smart Cities: a Deep Reinfo,closed,,,
corpus-abstract-only,76,Intelligent Routing in Connected Autonomous Vehicl,closed,,,
corpus-abstract-only,78,Resilient Multi-Agent Deep Reinforcement Learning ,closed,,,
corpus-abstract-only,80,Reinforcement Learning for Dynamic Traffic Managem,closed,,,
corpus-abstract-only,81,A Communication Resource Enhanced Intelligent Road,closed,,,
corpus-abstract-only,83,A Deep Q Learning-Model Predictive Control Approac,closed,,,
corpus-abstract-only,86,A Joint Design of Path Planning and Lane Reservati,closed,,,
corpus-abstract-only,87,A Reinforcement Learning-Based Path Recommendation,closed,,,
corpus-abstract-only,89,Research on Travel Paths Based on Car-Hailing Serv,closed,,,
corpus-abstract-only,90,Q-Learning-Based Energy-Aware Route Planning for E,closed,,,
corpus-abstract-only,91,Cutting-Edge Travel Planner: Intelligent Route Rec,closed,,,
corpus-abstract-only,92,Multi-Objective Route Optimization via Dueling DQN,closed,,,
borderline-in-scope,70,Route Planning and Power Management for PHEVs With,closed,Institute of Electrical and El,,
borderline-in-scope,77,Preliminary Study on Cooperative Route Planning Re,gold,Multidisciplinary Digital Publ,https://www.mdpi.com/2673-7590/4/4/75/pdf?version=1733140927,
borderline-in-scope,161,A Mixed Generative Adversarial Imitation Learning ,gold,Institute of Electrical and El,https://doi.org/10.1109/access.2024.3412109,
borderline-in-scope,206,HERO: Heterogeneous-agent rEinforcement learning-b,gold,Institute of Electrical and El,https://doi.org/10.1109/ojits.2026.3708178,
borderline-in-scope,357,Disaster-Aware Path Planning Based on Reinforcemen,closed,Institute of Electrical and El,,
borderline-in-scope,666,Reinforcement Learning-based Unpredictable Emergen,closed,,,
borderline-in-scope,743,Robust Navigation under Incomplete Localization Us,closed,,,
borderline-in-scope,780,Energy Optimal Route Planning Framework for Electr,closed,,,
borderline-in-scope,853,GRAND: Graph Laplacian-based Reinforcement Learnin,closed,,,
borderline-in-scope,930,Target-Driven Mapless Navigation for Self-Driving ,closed,,,
