include,paperId,title,year,venue,citationCount,source
,ieee_10_1109_ic457434_2024_10486336,Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,2024,"2024 2nd International Conference on Computer, Communication and Control (IC4)",9,ieee_xplore_20260426
,ieee_10_1109_eiecc64539_2024_10929297,Research on Multimodal Fusion Target Motion Trajectory Prediction Algorithm Based on Deep Reinforcement Learning,2024,2024 4th International Conference on Electronic Information Engineering and Computer Communication (EIECC),0,ieee_xplore_20260426
,ieee_10_1109_cmss66566_2025_11182431,Optimizing Autonomous Vehicle Navigation using Deep Reinforcement Learning and Generative AI Models: An Empirical Study,2025,2025 International Conference on Modern Sustainable Systems (CMSS),0,ieee_xplore_20260426
,ieee_10_1109_icccit62592_2025_10928029,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",3,ieee_xplore_20260426
,ieee_10_1109_tits_2025_3535885,Multi-Modal Attention Perception for Intelligent Vehicle Navigation Using Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,12,ieee_xplore_20260426
,ieee_10_1109_ccece59415_2024_10667129,Hierarchical Deep Reinforcement Learning with Cross-attention and Planning for Autonomous Roundabout Navigation,2024,2024 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),2,ieee_xplore_20260426
,ieee_10_1109_tase_2025_3632970,Optimizing Trip Planning of Electric Vehicles Using Deep Reinforcement Learning,2026,IEEE Transactions on Automation Science and Engineering,0,ieee_xplore_20260426
,ieee_10_1109_tits_2024_3390172,Dynamic Passenger Route Guidance in the Multimodal Transit System With Graph Representation and Attention Based Deep Reinforcement Learning,2024,IEEE Transactions on Intelligent Transportation Systems,8,ieee_xplore_20260426
,ieee_10_1109_vtc2025_fall65116_2025_11310694,Dynamic Scheduling of Demand-Responsive Transit via Multi-Agent Deep Reinforcement Learning,2025,2025 IEEE 102nd Vehicular Technology Conference (VTC2025-Fall),0,ieee_xplore_20260426
,ieee_10_1109_ccgridw65158_2025_00015,eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,2025,"2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)",0,ieee_xplore_20260426
,ieee_10_1109_maic67965_2025_11468844,Research on Autonomous Driving Route Planning Method Based on Deep Reinforcement Learning,2025,"2025 International Conference on Mechatronics, Automation and Intelligent Control (MAIC)",0,ieee_xplore_20260426
,ieee_10_1109_tvt_2025_3600091,High-Accuracy Path Tracking for Autonomous Vehicle Navigation: A Hierarchical Deep Reinforcement Learning Approach,2026,IEEE Transactions on Vehicular Technology,1,ieee_xplore_20260426
,ieee_10_1109_iv64158_2025_11097389,Decentralized Reinforcement Learning for Multi-Agent Navigation in Unconstrained Environments,2025,2025 IEEE Intelligent Vehicles Symposium (IV),0,ieee_xplore_20260426
,ieee_10_1109_icaect68478_2026_11425999,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,2026,"2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)",0,ieee_xplore_20260426
1,ieee_10_1109_cict67193_2025_11399143,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,2025,2025 IEEE 9th International Conference on Information and Communication Technology (CICT),0,ieee_xplore_20260426
,ieee_10_1109_icde60146_2024_00318,Urban Sensing for Multi-Destination Workers via Deep Reinforcement Learning,2024,2024 IEEE 40th International Conference on Data Engineering (ICDE),1,ieee_xplore_20260426
,ieee_10_1109_tits_2024_3451193,Intelligent Road Network Management Supported by 6G and Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,7,ieee_xplore_20260426
,ieee_10_1109_ispds62779_2024_10667584,Prioritized Experience Replay-Based DDQN for Unmanned Vehicle Path Planning,2024,"2024 5th International Conference on Information Science, Parallel and Distributed Systems (ISPDS)",3,ieee_xplore_20260426
,ieee_10_1109_iscv60512_2024_10620096,Dynamic Selection of Electric Vehicle Charging Stations Using Deep Reinforcement Learning,2024,2024 International Conference on Intelligent Systems and Computer Vision (ISCV),1,ieee_xplore_20260426
,ieee_10_1109_iacis65746_2025_11210918,Domain-Adaptive Reinforcement Learning Framework for Robust Autonomous Vehicle Navigation,2025,2025 2nd International Conference on Intelligent Algorithms for Computational Intelligence Systems (IACIS),0,ieee_xplore_20260426
0,ieee_10_1109_drcn65040_2025_11046050,Comparative Analysis of Reinforcement Learning for Reliable Real-Time EV Routing and Charging,2025,2025 21st International Conference on the Design of Reliable Communication Networks (DRCN),0,ieee_xplore_20260426
,ieee_10_1109_tits_2023_3313688,Pareto Improver: Learning Improvement Heuristics for Multi-Objective Route Planning,2024,IEEE Transactions on Intelligent Transportation Systems,8,ieee_xplore_20260426
,ieee_10_1109_iros60139_2025_11246746,NaviFormer: A Deep Reinforcement Learning Transformer-like Model to Holistically Solve the Navigation Problem,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),0,ieee_xplore_20260426
,ieee_10_1109_iciccs65191_2025_10985325,Navigating the Future: Deep Reinforcement Learning for Smart Autonomous Vehicles,2025,2025 International Conference on Intelligent Computing and Control Systems (ICICCS),1,ieee_xplore_20260426
,ieee_10_1109_iccams65118_2025_11234680,Implementing Reinforcement Learning for Autonomous Vehicle Navigation,2025,"2025 2nd International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)",0,ieee_xplore_20260426
,ieee_10_1109_tii_2025_3649292,Deep Reinforcement Learning-Based Knowledge Graph Reasoning for Autonomous Driving systems,2026,IEEE Transactions on Industrial Informatics,0,ieee_xplore_20260426
,ieee_10_1109_apcit62007_2024_10673440,Optimizing Autonomous Vehicle Navigation with DQN and PPO: A Reinforcement Learning Approach,2024,2024 Asia Pacific Conference on Innovation in Technology (APCIT),4,ieee_xplore_20260426
,ieee_10_1109_vtc2025_spring65109_2025_11174561,Robust Vehicle Control with Smoothing and Prediction under Delayed Communication,2025,2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),0,ieee_xplore_20260426
,ieee_10_1109_tits_2024_3353545,D-SPAC: Double-Sided Preference-Aware Carpooling of Private Cars for Maximizing Passenger Utility,2024,IEEE Transactions on Intelligent Transportation Systems,3,ieee_xplore_20260426
,ieee_10_1109_cvci63518_2024_10830198,HiLight: Heterogeneous Traffic Signal Control for Automatic Drive Guidance Based on Multi-Agent Reinforcement Learning,2024,2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI),1,ieee_xplore_20260426
,ieee_10_1109_icccn65249_2025_11133846,Online Dual-Resolution 3D Map Caching Algorithm Using MILP as a Neural Network Proxy,2025,2025 34th International Conference on Computer Communications and Networks (ICCCN),0,ieee_xplore_20260426
,ieee_10_1109_cvci63518_2024_10830115,Graph RL-Based Route Planning Method for EVs with Synchronous Charge Station Selection,2024,2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI),2,ieee_xplore_20260426
0,ieee_10_1109_icccn61486_2024_10637624,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,2024,2024 33rd International Conference on Computer Communications and Networks (ICCCN),0,ieee_xplore_20260426
,ieee_10_1109_tmc_2025_3526979,Cooperative Path Planning With Asynchronous Multiagent Reinforcement Learning,2025,IEEE Transactions on Mobile Computing,6,ieee_xplore_20260426
,ieee_10_1109_ants63515_2024_10898560,Path Planning for Self-driving Vehicles using Metaverse in 6G era with AI-enabled Networks,2024,2024 IEEE International Conference on Advanced Networks and Telecommunications Systems (ANTS),0,ieee_xplore_20260426
,ieee_10_1109_access_2024_3487195,Advanced Decision Making and Motion Planning Framework for Autonomous Navigation in Unsignalized Intersections,2024,IEEE Access,7,ieee_xplore_20260426
,ieee_10_1109_iceeict61591_2024_10718531,A Reinforcement Approach for Fleet Optimization in Multi-Agent Autonomous Cars,2024,"2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)",1,ieee_xplore_20260426
,ieee_10_1109_dapic66097_2025_00082,Application of Path Optimization Algorithm Based on Reinforcement Learning in Geographic Information Systems,2025,"2025 International Conference on Digital Analysis and Processing, Intelligent Computation (DAPIC)",0,ieee_xplore_20260426
0,ieee_10_1109_jiot_2025_3583833,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,2025,IEEE Internet of Things Journal,0,ieee_xplore_20260426
,ieee_10_1109_access_2025_3599795,Environment Friendly Ride-Sharing Route Planning via Deep Learning Approaches,2025,IEEE Access,0,ieee_xplore_20260426
,ieee_10_1109_iciscae66104_2025_11307799,SAC-L-Based Cooperative Path Planning for Emergency Vehicles at Signalised Intersections,2025,2025 IEEE 8th International Conference on Information Systems and Computer Aided Education (ICISCAE),0,ieee_xplore_20260426
0,ieee_10_1109_ecce58356_2025_11259996,Real-Time Charging and Routing for Electric Long-Haul Trucks via Reinforcement Learning,2025,2025 IEEE Energy Conversion Conference Congress and Exposition (ECCE),0,ieee_xplore_20260426
,ieee_10_1109_amlds63918_2025_11159398,Adaptive Path Planning for Autonomous Vehicles in Adverse Driving Conditions and Aggressive Scenarios: A TD3-Based Multimodal Approach,2025,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),0,ieee_xplore_20260426
,ieee_10_1109_mpcon66082_2025_11256627,Autonomous Fleet Management System for Route Optimization Using Reinforcement Learning with Warehouse Cameras,2025,2025 IEEE Madhya Pradesh Section Conference (MPCON),0,ieee_xplore_20260426
,ieee_10_1109_ccdc62350_2024_10588017,Behavioral decision-making for autonomous driving using Soft Actor-Critic algorithm,2024,2024 36th Chinese Control and Decision Conference (CCDC),1,ieee_xplore_20260426
,ieee_10_1109_ic_etc65981_2025_11141164,Advancements in Integrating AI with Geospatial Data for Autonomous Navigation of Land Vehicles,2025,2025 International Conference on Emerging Technologies and Computing (IC_ETC),0,ieee_xplore_20260426
0,ieee_10_1049_icp_2025_2746,Research on low-carbon transportation route optimization based on deep reinforcement learning,2025,"4th International Conference on Electronic Information Engineering, Big Data and Computer Technology (EIBDCT 2025)",0,ieee_xplore_20260426
,ieee_10_1109_lra_2025_3592081,Decision-Making for Autonomous Driving via a Coupled Reinforcement Learning Network Combined With Risk Assessment,2025,IEEE Robotics and Automation Letters,1,ieee_xplore_20260426
,ieee_10_1109_csitss67709_2025_11294306,Learning-Based Simultaneous Localization and Navigation Planning for Self-Driving Vehicles,2025,2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),0,ieee_xplore_20260426
,ieee_10_1109_iccpct65132_2025_11176723,Deep Q-Learning for Autonomous Vehicle Navigation in Smart Mobility,2025,"2025 8th International Conference on Circuit, Power & Computing Technologies (ICCPCT)",0,ieee_xplore_20260426
,ieee_10_1109_iconstem60960_2024_10568864,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,2024,2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),3,ieee_xplore_20260426
