paperId,title,year,venue,citationCount,doi,query
3c34f551f0a29c77aea8322c9b290f19e55921c7,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2020,2021 IEEE International Conference on Communications Workshops (ICC Workshops),44,10.1109/ICCWorkshops50388.2021.9473555,deep reinforcement learning route guidance
58f02eeb7478a2fc630cd70c99c61a12dd8b0518,Route Planning and Power Management for PHEVs With Reinforcement Learning,2020,IEEE Transactions on Vehicular Technology,41,10.1109/TVT.2020.2979623,reinforcement learning route guidance
ff7ef6700bb3eeac771d092e629bc7d891423c15,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2024,Transportation Research Part C: Emerging Technologies,32,10.1016/j.trc.2023.104440,deep reinforcement learning route guidance
332450247f87cd11a4ab5a4c5ab84fcf9feec575,A multiagent reinforcement learning approach to en-route trip building,2016,IEEE International Joint Conference on Neural Network,28,10.1109/IJCNN.2016.7727899,deep reinforcement learning traffic assignment network
d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future generations computer systems,14,10.1016/j.future.2023.11.037,reinforcement learning dynamic route planning
bd60173626a2a9ba007deeaf6fec6be65cbdfb1a,Multi-Modal Attention Perception for Intelligent Vehicle Navigation Using Deep Reinforcement Learning,2025,IEEE transactions on intelligent transportation systems (Print),13,10.1109/TITS.2025.3535885,navigation recommendation deep reinforcement learning
b959a346dff2a58f9c9e132cdb14a1207ebcebaa,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,International Journal of Computers Communications & Control,9,10.15837/ijccc.2024.3.5382,Q-learning route guidance
1507a2f0a147b8d9f57c8c2915e5e40330cd3ee3,Improved Q-learning based route planning method for UAVs in unknown environment,2019,2019 IEEE 15th International Conference on Control and Automation (ICCA),7,10.1109/ICCA.2019.8899478,Q-learning route guidance
d3560226fe6488455d4e3d458dde9f8084a9e16c,Dynamic Route Planning Method Based on Deep Reinforcement Learning and Velocity Obstacle,2023,2023 IEEE 12th Data Driven Control and Learning Systems Conference (DDCLS),4,10.1109/DDCLS58216.2023.10166409,deep reinforcement learning route guidance
53d0cdec73981d4101c474645d8b08cf08361fd8,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,2023,2023 20th International Conference on Ubiquitous Robots (UR),3,10.1109/UR57808.2023.10202222,deep reinforcement learning road network routing
0691401f33c3ea553708fba02de1de49b61ce2fa,Combining multi-agent deep deterministic policy gradient and rerouting technique to improve traffic network performance under mixed traffic conditions,2024,International Conference on Advances in System Simulation,2,10.1177/00375497241237831,Q-learning vehicle navigation traffic
a50ff3ba1541a8a4ec3e909d43007aa986d62237,An Adaptive Route Guidance Model Based on Deep Reinforcement Learning,2022,Social Science Research Network,1,10.2139/ssrn.4193419,deep reinforcement learning route guidance
91d0a23661f4476333fac8c3f0ebd5793f419ca1,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",1,10.1109/ICCCIT62592.2025.10928029,deep reinforcement learning dynamic routing traffic
88487441ff9b3e8f0bdebb886445e7719d5be9c9,Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,2025,International Journal of Intelligent Transportation Systems Research,1,10.1007/s13177-025-00520-w,reinforcement learning origin destination routing traffic
c7585a32106d53a367238896201c77e87b55b04e,A Novel Route Planning Approach Based on Energy-Based Action Sample Reinforcement Learning,2023,Chinese Control and Decision Conference,1,10.1109/CCDC58219.2023.10327188,route recommendation reinforcement learning vehicle
e4f0e8b013870ccf722f7236e6e4ba950389e3b4,Vehicle–Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,2025,Transportation Research Record,0,10.1177/03611981251359285,reinforcement learning vehicle route optimization
d889435176c57334fa2b9afb0ab0b6f31c2faa81,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,2025,arXiv.org,0,10.48550/arXiv.2509.13386,proximal policy optimization route guidance
61064accb8fd8bc6c2b92cf9affa81ace2e452af,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,2024,Future Transportation,0,10.3390/futuretransp4040075,connected automated vehicle route guidance reinforcement learning
