year,title,doi,venue,decision,reason
2026,Deep Learning Meets 5G: Optimizing Mobile Network Traffic through AI Algorithms,https://doi.org/10.70917/ijcisim-2026-3304,International Journal of Computer Information Systems and Industrial Management Applications,exclude,communication network
2026,Flexible Mobile Battery Energy Storage System Control Considering Traffic Congestion Risk,https://doi.org/10.3390/esa3020009,Energy storage and applications,exclude,not a routing task
2026,Adaptive electric vehicle routing and charging with deep reinforcement learning,https://doi.org/10.1016/j.trip.2025.101795,Transportation Research Interdisciplinary Perspectives,candidate,individual road-vehicle routing at title level
2026,Integrated Sensing and Communication for Underwater Acoustic Networks Based on Deep Reinforcement Learning,https://doi.org/10.1109/tmc.2026.3678951,IEEE Transactions on Mobile Computing,exclude,underwater network
2026,Mobility-aware predictive task offloading using deep reinforcement learning for future 6G-inspired vehicular networks,https://doi.org/10.1038/s41598-026-65256-3,Scientific Reports,exclude,computation offloading
2026,Mobility-Aware Joint Task Offloading and Resource Allocation in SDN-Enabled MEC Networks via Hierarchical Deep Reinforcement Learning,https://doi.org/10.1109/jiot.2026.3685815,IEEE Internet of Things Journal,exclude,computation offloading
2026,Task Offloading Algorithm Based on Preference Weight Adaptive Multi-objective Reinforcement Learning for Cloud-Assisted Mobile Edge Computing in Internet of Vehicles,https://doi.org/10.1007/s42154-024-00350-8,Automotive Innovation,exclude,computation offloading
2026,Dynamic optimization scheme driven by incentives in FHVs-enabled MEC systems,https://doi.org/10.1007/s44443-025-00308-8,Journal of King Saud University - Computer and Information Sciences,exclude,computation offloading
2026,Dynamic Deployment of Mobile Charging Trucks During Natural Disaster Evacuation: An Offline-to-Online Framework,https://doi.org/10.48550/arxiv.2605.16784,arXiv (Cornell University),exclude,fleet deployment
2026,Dynamic Deployment of Mobile Charging Trucks During Natural Disaster Evacuation: An Offline-to-Online Framework,,arXiv (Cornell University),exclude,fleet deployment
2026,Countering AI-Powered Threats in IoV: A Secure Task Offloading and Resource Allocation Scheme with RIS and Quantum Reinforcement Learning,https://doi.org/10.1109/tce.2026.3700700,IEEE Transactions on Consumer Electronics,exclude,computation offloading
2025,Deep Reinforcement Learning and Nash Equilibrium Game-Based Task Offloading Optimization Strategy for the IoV,https://doi.org/10.1109/jsen.2025.3558228,IEEE Sensors Journal,exclude,computation offloading
2025,Distributed Mobile Wireless Charging Vehicle Scheduling Optimization Based on Deep Reinforcement Learning,https://doi.org/10.1109/emie67682.2025.11369314,,exclude,fleet deployment
2025,Encoder-Decoder Based Deep Reinforcement Learning for Multi-AUV Assisted Data Collection in UWSNs,https://doi.org/10.1109/tvt.2025.3642544,IEEE Transactions on Vehicular Technology,exclude,"sensing, not a route"
2025,Multi-Agent Deep Reinforcement Learning for Dynamic Routing in MANETs Using Graph Neural Networks,https://doi.org/10.1109/access.2025.3601994,IEEE Access,exclude,packet routing
2025,Real-Time Financial and Traffic for Marketing Management Through Deep Learning for IoT-Integrated Autonomous Vehicle System,https://doi.org/10.4018/979-8-3373-0442-7.ch028,Advances in computational intelligence and robotics book series,exclude,not a routing task
2025,Advancements in AI-Powered Electric Vehicle Routing: Multi-Constraint Optimization and Infrastructure Integration Approaches for Evolving EVs—A Survey,https://doi.org/10.1109/access.2025.3589363,IEEE Access,candidate,individual road-vehicle routing at title level
