idx,title,recorded_field,recorded,pdf,match_ratio,n_selected_w0,n_selected_w1,machine_w0,machine_w1
0,Real-time deep reinforcement learning based vehicle navigation,none,instantaneous,Real_time_deep_reinforcement_learning_based_vehicle_navigation_pdf.txt,0.969,32,52,forecast,forecast
1,A reinforcement learning-based routing algorithm for large street networks,none,instantaneous,A_reinforcement_learning_based_routing_algorithm_for_large_street_networks_pdf.txt,0.974,30,50,forecast,forecast
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,none,instantaneous,idx2_Multi_agent_reinforcement_learning_for_Markov_routing_games_A_new_modeling_paradigm_for_dynamic_traffic_assignment_.txt,0.979,63,98,forecast,forecast
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,local-prediction,forecast,Hierarchical_Reinforcement_Learning_for_Dynamic_Autonomous_Vehicle_Navigation_at_Intelligent_Intersections_pdf.txt,0.981,26,44,forecast,forecast
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,none,instantaneous,Urban_Traffic_Route_Guidance_Method_With_High_Adaptive_Learning_Ability_Under_Diverse_Traffic_Scenarios_pdf.txt,0.981,17,28,instantaneous,instantaneous
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,none,instantaneous,Reinforcement_Learning_for_Vehicle_Route_Optimization_in_SUMO_b886b157_pdf.txt,0.904,19,29,instantaneous,instantaneous
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,none,instantaneous,Routing_Control_Optimization_for_Autonomous_Vehicles_in_Mixed_Traffic_Flow_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.982,21,34,instantaneous,instantaneous
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,none,instantaneous,An_Adaptive_Route_Guidance_Model_Considering_the_Effect_of_Traffic_Signals_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.982,14,23,instantaneous,instantaneous
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,local-prediction,forecast,Transfer_Learning_Based_Deep_Reinforcement_Learning_Approach_for_Robust_Route_Guidance_in_Mixed_Traffic_Environment_pdf.txt,0.983,33,54,forecast,forecast
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,local-prediction,forecast,Development_of_Reinforcement_Learning_based_Traffic_Predictive_Route_Guidance_Algorithm_Under_Uncertain_Traffic_Environm.txt,0.988,21,34,forecast,forecast
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,none,instantaneous,XRouting_Explainable_Vehicle_Rerouting_for_Urban_Road_Congestion_Avoidance_using_Deep_Reinforcement_Learning_pdf.txt,0.982,13,19,instantaneous,instantaneous
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,none,instantaneous,RouteRL_Multi_agent_reinforcement_learning_framework_for_urban_route_choice_with_autonomous_vehicles_pdf.txt,0.980,4,7,instantaneous,instantaneous
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,local-prediction,forecast,Congestion_Aware_Path_Planning_With_Vehicle_Road_Cooperation_in_AIoV_pdf.txt,0.971,18,27,forecast,forecast
13,Reinforcement learning of route choice considering traveler's preference,none,instantaneous,,0.000,,,,
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,none,instantaneous,Reinforcement_Learning_Method_with_Dynamic_Learning_Rate_for_Real_Time_Route_Guidance_Based_on_SUMO_pdf.txt,0.980,1,2,instantaneous,instantaneous
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,none,instantaneous,Model_Based_Deep_Reinforcement_Learning_for_Energy_Efficient_Routing_of_a_Connected_and_Automated_Vehicle_pdf.txt,0.981,48,79,forecast,instantaneous
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,none,instantaneous,Reinforcement_Learning_based_Sequential_Route_Recommendation_for_System_Optimal_1de72023_pdf.txt,0.853,13,16,instantaneous,instantaneous
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,none,instantaneous,,0.000,,,,
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,none,instantaneous,Dynamic_Route_Guidance_System_Based_on_Real_time_Vehicle_Road_Collaborations_with_Deep_Reinforcement_Learning_pdf.txt,0.982,14,19,instantaneous,instantaneous
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,rollout-capable,forecast,Deep_Reinforcement_Learning_for_Vehicle_Swarm_Navigation_and_Urban_Traffic_Optimization_pdf.txt,0.978,34,57,forecast,forecast
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,none,instantaneous,Population_Game_Assisted_Multi_Agent_Reinforcement_Learning_Method_for_Dynamic_Multi_Vehicle_Route_Selection_pdf.txt,0.982,31,48,instantaneous,instantaneous
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,none,instantaneous,Modeling_of_route_planning_system_based_on_Q_value_based_dynamic_programming_with_multi_agent_reinforcement_learning_alg.txt,0.972,37,53,forecast,forecast
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,none,instantaneous,Individual_versus_Difference_Rewards_on_Reinforcement_Learning_for_Route_Choice_pdf.txt,0.975,9,14,instantaneous,instantaneous
23,Route guidance system using multi-agent reinforcement learning,unclear,,Route_guidance_system_using_multi_agent_reinforcement_learning_pdf.txt,0.969,11,17,forecast,forecast
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,none,instantaneous,Network_aware_multi_agent_reinforcement_learning_for_the_vehicle_navigation_problem_pdf.txt,0.976,17,27,instantaneous,instantaneous
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,none,instantaneous,Navigating_the_non_compliance_effects_on_system_optimal_route_guidance_using_reinforcement_learning_pdf.txt,0.980,31,53,instantaneous,instantaneous
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,local-prediction,forecast,,0.000,,,,
27,Optimization Method of DRL-based Route Planning under Limited Resources,none,instantaneous,Optimization_Method_of_DRL_based_Route_Planning_under_Limited_Resources_pdf.txt,0.973,16,28,instantaneous,instantaneous
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,none,instantaneous,Vehicle_Road_Collaborative_Path_Planning_Based_on_A_star_assisted_Deep_Reinforcement_Learning_pdf.txt,0.951,25,37,instantaneous,instantaneous
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,none,instantaneous,A_Deep_Reinforcement_Learning_Approach_for_Route_Planning_of_Autonomous_Vehicles_pdf.txt,0.976,2,3,instantaneous,instantaneous
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,none,instantaneous,Dynamic_urban_traffic_rerouting_with_fogcloud_reinforcement_learning_pdf.txt,0.965,8,15,instantaneous,instantaneous
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,local-prediction,forecast,A_Deep_Reinforcement_Learning_Framework_for_Real_Time_Vehicle_Routing_with_Dynamic_Traffic_Conditions_pdf.txt,0.981,6,8,instantaneous,instantaneous
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,none,instantaneous,Adaptive_Reinforcement_Learning_Framework_for_Environmentally_Sustainable_Route_Optimization_pdf.txt,0.979,3,5,instantaneous,instantaneous
33,Deep Q-Learning-based Route Optimization for Traffic Network,none,instantaneous,Deep_Q_Learning_based_Route_Optimization_for_Traffic_Network_pdf.txt,0.968,8,14,instantaneous,instantaneous
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,none,instantaneous,Urban_Multiple_Route_Planning_Model_Using_Dynamic_Programming_in_Reinforcement_Learning_pdf.txt,0.978,15,24,forecast,forecast
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,none,instantaneous,Providing_real_time_en_route_suggestions_to_CAVs_for_congestion_mitigation_A_two_way_deep_reinforcement_learning_approac.txt,0.996,52,87,instantaneous,instantaneous
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,none,instantaneous,Real_time_system_optimal_traffic_routing_under_uncertainties_Can_physics_models_boost_reinforcement_learning_pdf.txt,0.982,40,66,forecast,forecast
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,local-prediction,forecast,idx38_Network_Constrained_Policy_Optimization_for_Adaptive_Multi_agent_Vehicle_Routing_pdf.txt,0.941,47,74,forecast,forecast
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,local-prediction,forecast,A_Data_Driven_Reinforcement_Learning_Based_Multi_Objective_Route_Recommendation_System_pdf.txt,0.977,17,27,instantaneous,forecast
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,,,0.000,,,,
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,none,instantaneous,Autonomous_Vehicle_Routing_Optimization_in_a_Competitive_Environment_A_Reinforcement_Learning_Application_pdf.txt,0.981,10,17,instantaneous,instantaneous
42,Multi-objective route recommendation method based on Q-learning algorithm,rollout-capable,forecast,Multi_objective_route_recommendation_method_based_on_Q_learning_algorithm_pdf.txt,0.973,30,46,instantaneous,instantaneous
43,Agent-Based Route Planning with Deep Q Learning,none,instantaneous,Agent_Based_Route_Planning_with_Deep_Q_Learning_pdf.txt,0.959,12,19,instantaneous,instantaneous
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,none,instantaneous,Optimizing_Traffic_Routes_With_Enhanced_Double_Q_Learning_pdf.txt,0.966,20,36,instantaneous,instantaneous
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,none,instantaneous,Multi_agent_deep_reinforcement_learning_based_on_cloud_edge_computing_for_urban_vehicle_route_guidance_pdf.txt,0.981,31,54,forecast,forecast
48,Meta-deep q-learning for eco-routing,none,instantaneous,Meta_deep_q_learning_for_eco_routing_pdf.txt,0.947,6,8,forecast,forecast
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,none,instantaneous,Sharing_diverse_information_gets_driver_agents_to_learn_faster_an_application_in_en_route_trip_building_pdf.txt,0.981,12,21,instantaneous,instantaneous
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,none,instantaneous,Regional_route_guidance_with_realistic_compliance_patterns_Application_of_deep_reinforcement_learning_and_MPC_pdf.txt,0.982,42,69,forecast,forecast
51,A multiagent reinforcement learning approach to en-route trip building,none,instantaneous,A_multiagent_reinforcement_learning_approach_to_en_route_trip_building_pdf.txt,0.972,6,11,forecast,forecast
52,Connected vehicles' dynamic route planning based on reinforcement learning,none,instantaneous,Connected_vehicles_dynamic_route_planning_based_on_reinforcement_learning_pdf.txt,0.973,28,42,forecast,forecast
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,none,instantaneous,A_reinforcement_learning_scheme_for_the_equilibrium_of_the_in_vehicle_route_choice_problem_based_on_congestion_game_pdf.txt,0.983,1,2,instantaneous,instantaneous
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,none,instantaneous,Robust_Route_Planning_with_Distributional_Reinforcement_Learning_in_a_Stochastic_Road_Network_Environment_pdf.txt,0.981,47,68,instantaneous,instantaneous
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,,Deep_Reinforcement_Learning_for_Optimizing_Route_Planning_in_Urban_Traffic_pdf.txt,0.974,2,4,forecast,forecast
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,none,instantaneous,Vehicle_Infrastructure_Cooperation_Framework_for_Vehicle_Navigation_and_Traffic_Signal_Control_using_Deep_Reinforcement_.txt,0.964,34,58,instantaneous,instantaneous
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,none,instantaneous,,0.000,,,,
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,none,instantaneous,Using_Car_to_Infrastructure_Communication_to_Accelerate_Learning_in_Route_Choice_pdf.txt,0.976,24,43,instantaneous,instantaneous
59,Applying Markov decision process to adaptive dynamic route selection model,none,instantaneous,Applying_Markov_decision_process_to_adaptive_dynamic_route_selection_model_pdf.txt,0.974,18,30,instantaneous,instantaneous
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,none,instantaneous,A_Sustainable_Multi_Agent_Routing_Algorithm_for_Vehicle_Platoons_in_Urban_Networks_pdf.txt,0.976,15,24,instantaneous,instantaneous
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,none,instantaneous,Distributed_Learning_for_Vehicle_Routing_Decision_in_Software_Defined_Internet_of_Vehicles_pdf.txt,0.978,22,39,instantaneous,instantaneous
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,rollout-capable,forecast,Proactive_Urban_Expressway_Guidance_A_Hybrid_Approach_Using_Reinforcement_Learning_and_Traffic_Prediction_Models_pdf.txt,0.982,28,51,forecast,forecast
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,none,instantaneous,A_Bi_Level_Network_Wide_Cooperative_Driving_Approach_Including_Deep_Reinforcement_Learning_Based_Routing_pdf.txt,0.981,47,72,forecast,forecast
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,none,instantaneous,Self_Organized_Routing_for_Autonomous_Vehicles_via_Deep_Reinforcement_Learning_pdf.txt,0.975,29,46,instantaneous,instantaneous
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,none,instantaneous,Graph_convolutional_network_based_multi_objective_meta_deep_Q_learning_for_eco_routing_pdf.txt,0.977,26,39,forecast,forecast
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,none,instantaneous,SEGAC_Sample_Efficient_Generalized_Actor_Critic_for_the_Stochast_pdf.txt,0.835,23,39,instantaneous,instantaneous
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,none,instantaneous,GE_DDRL_Graph_Embedding_and_Deep_Distributional_Reinforcement_Learning_for_Reliable_Shortest_Path_A_Universal_and_Scale_.txt,0.944,24,42,instantaneous,instantaneous
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,none,instantaneous,Shortest_Time_Path_Planning_Under_Carbon_Emission_Constraints_via_Reinforcement_Learning_pdf.txt,0.978,30,54,forecast,forecast
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,none,instantaneous,DRL_Router_Distributional_Reinforcement_Learning_Based_Router_for_Reliable_Shortest_Path_Problems_pdf.txt,0.980,16,26,instantaneous,instantaneous
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,local-prediction,forecast,Optimization_Path_Planning_Algorithm_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.973,14,24,forecast,forecast
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,none,instantaneous,Research_on_Emergency_Rescue_Path_Optimization_Method_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.978,9,15,instantaneous,forecast
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,local-prediction,forecast,Safety_Aware_Path_Planning_for_Post_Disaster_Rescue_Vehicles_pdf.txt,0.968,7,11,forecast,forecast
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,none,instantaneous,Path_Planning_in_Urban_Environment_Based_on_Traffic_Condition_Perception_and_Traffic_Light_Status_pdf.txt,0.980,12,18,instantaneous,instantaneous
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,none,instantaneous,Autonomous_Vehicles_in_Smart_Cities_a_Deep_Reinforcement_Learning_Solution_pdf.txt,0.974,1,2,instantaneous,instantaneous
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,unclear,,Intelligent_Routing_in_Connected_Autonomous_Vehicles_using_the_ADAPT_S_Learning_Architecture_pdf.txt,0.979,2,4,instantaneous,instantaneous
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,rollout-capable,forecast,Situation_aware_Path_Optimization_for_Autonomous_Systems_A_Deep_Reinforcement_Learning_based_Approach_pdf.txt,0.981,18,28,forecast,forecast
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,none,instantaneous,Resilient_Multi_Agent_Deep_Reinforcement_Learning_for_Routing_Control_via_Traffic_Cost_Fields_pdf.txt,0.979,30,46,forecast,forecast
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,unclear,,Dynamic_Route_Optimization_using_D_Lite_and_DQN_Algorithm_pdf.txt,0.966,2,4,instantaneous,instantaneous
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,none,instantaneous,A_Communication_Resource_Enhanced_Intelligent_Road_Traffic_Routing_Scheme_pdf.txt,0.973,3,5,instantaneous,instantaneous
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,none,instantaneous,Work_in_Progress_Leveraging_the_Selfless_Driving_Model_to_Reduce_Vehicular_Network_Congestion_pdf.txt,0.979,7,12,instantaneous,instantaneous
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,none,instantaneous,A_Deep_Q_Learning_Model_Predictive_Control_Approach_to_vehicle_routing_and_control_with_platoon_constraints_pdf.txt,0.982,20,33,instantaneous,instantaneous
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,none,instantaneous,A_Dynamic_Risk_aware_Routing_Recommendation_Using_Deep_Reinforcement_Learning_pdf.txt,0.975,9,13,instantaneous,instantaneous
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,none,instantaneous,Path_planning_for_vehicle_platoons_under_routing_decisions_a_distributed_approach_combining_Deep_Reinforcement_Learning_.txt,0.891,20,36,instantaneous,instantaneous
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,none,instantaneous,A_Joint_Design_of_Path_Planning_and_Lane_Reservation_for_Emergency_Service_in_ITS_pdf.txt,0.976,6,12,instantaneous,instantaneous
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,none,instantaneous,A_Reinforcement_Learning_Based_Path_Recommendation_Strategy_Considering_Broadcast_Disturbance_and_Behavioral_Response_pd.txt,0.987,16,27,instantaneous,instantaneous
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,local-prediction,forecast,Personalized_and_Context_aware_Route_Planning_for_Edge_assisted_Vehicles_pdf.txt,0.973,14,24,instantaneous,instantaneous
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,none,instantaneous,Research_on_Travel_Paths_Based_on_Car_Hailing_Services_Connecting_with_Rail_Transit_pdf.txt,0.976,14,24,instantaneous,instantaneous
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,none,instantaneous,Q_Learning_Based_Energy_Aware_Route_Planning_for_Electric_Vehicles_on_Real_Road_Networks_with_Charging_Constraints_pdf.txt,0.983,1,2,instantaneous,instantaneous
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,unclear,,Cutting_Edge_Travel_Planner_Intelligent_Route_Recommendation_System_using_Enhanced_Learning_Scheme_with_AI_Principles_pd.txt,0.987,1,2,instantaneous,instantaneous
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,none,instantaneous,Multi_Objective_Route_Optimization_via_Dueling_DQN_for_Teleoperated_Driving_pdf.txt,0.974,8,14,instantaneous,instantaneous
94,Route Planning and Power Management for PHEVs With Reinforcement Learning,none,instantaneous,Route_Planning_and_Power_Management_for_PHEVs_With_Reinforcement_Learning_pdf.txt,0.973,32,52,instantaneous,instantaneous
95,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,none,instantaneous,Preliminary_Study_on_Cooperative_Route_Planning_Reinforcement_Learning_with_a_Focus_on_Avoiding_Intersection_Congestion_.txt,1.000,14,23,forecast,forecast
97,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,local-prediction,forecast,HERO_Heterogeneous_agent_rEinforcement_learning_based_Route_Optimization_for_Green_Transportation_in_IoVs_pdf.txt,0.981,25,46,forecast,forecast
