paperId,title,year,venue,citationCount
c23a54528d1dac66b1eeb16231988375867a6e6b,Intelligent Path Planning of Underwater Robot Based on Reinforcement Learning,2023,IEEE Transactions on Automation Science and Engineering,78
9a128a9899cb7ea302f6a95d598f7586dbf9bb85,Emergency fire escape path planning model based on improved DDPG algorithm,2024,Journal of Building Engineering,20
d58f2f355613921f878ca54d0e17e32747d8c47f,Comparing Multi-Armed Bandit Algorithms and Q-learning for Multiagent Action Selection: a Case Study in Route Choice,2018,IEEE International Joint Conference on Neural Network,18
991f3ba61a280f85069dfa4c73587860ac41bdfb,Cooperative Path Planning With Asynchronous Multiagent Reinforcement Learning,2024,IEEE Transactions on Mobile Computing,10
523fec44a8fead75e73e111aa66d32823fe97904,Multi-Agent Reinforcement Learning for Dynamic Routing Games: A Unified Paradigm,2020,arXiv.org,10
d39af47512152dac489392c37e54ac34406dba42,Energy Constrained Multi-Agent Reinforcement Learning for Coverage Path Planning,2023,IEEE/RJS International Conference on Intelligent RObots and Systems,5
65e3b98fd9eeb02b6bffe2b32eb1319a7a1cbec1,A Multiobjective Reinforcement Learning Approach to Trip Building,2022,ATT@IJCAI,2
34ecf6f58bf74f82bd00ea3ec543dcfb43ce0bfc,"Mountain UGV path planning via optimized dueling double DQN (D3QN): Structural optimization, path-guided rewards, and phased action policy",2026,Control Engineering Practice,1
e88cd030d653dee32ae860304b7330bebf9c751b,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,2026,Automation in Construction,0
ae32d024aee566b0309106a3bac811b8ba979c07,Urban Path Planning Based on Improved Model-based Reinforcement Learning Algorithm,2022,International Conference on Advanced Information Science and System,0
ba1f78e24bc722ed4913d1096f14d0fc24b385ca,Parameterized Reinforcement Learning with Route Guidance for Controlling Urban Road Traffic Networks,2026,Future Transportation,0
49691b04a819a54b4189cc6ac86f4e19b43c021b,Warehouse Robot Path planning Based on Improved TD3 Algorithm,2025,"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",0
