openalex_id,title,year,doi,venue,abstract
https://openalex.org/W3089212412,Real-time deep reinforcement learning based vehicle navigation,2020,https://doi.org/10.1016/j.asoc.2020.106694,Applied Soft Computing,
https://openalex.org/W4293220993,Autonomous Unmanned Aerial Vehicle navigation using Reinforcement Learning: A systematic review,2022,https://doi.org/10.1016/j.engappai.2022.105321,Engineering Applications of Artificial Intelligence,
https://openalex.org/W3087066227,Integrating Dijkstra’s algorithm into deep inverse reinforcement learning for food delivery route planning,2020,https://doi.org/10.1016/j.tre.2020.102070,Transportation Research Part E Logistics and Transportation Review,
https://openalex.org/W3045974612,Deep Reinforcement Learning for Safe Local Planning of a Ground Vehicle in Unknown Rough Terrain,2020,https://doi.org/10.1109/lra.2020.3011912,IEEE Robotics and Automation Letters,"Safe unmanned ground vehicle navigation in unknown rough terrain is crucial for various tasks such as exploration, search and rescue and agriculture. Offline global planning is often not possible when operating in harsh, unknown environments, and therefore, online local planning must be used. Most online rough terrain local planners require heavy computational resources, used for optimal trajectory searching and estimating vehicle orientation in positions within the range of the sensors. In this work, we present a deep reinforcement learning approach for local planning in unknown rough terrain with zero-range to local-range sensing, achieving superior results compared to potential fields or local motion planning search spaces methods. Our approach includes reward shaping which provides a dense reward signal. We incorporate self-attention modules into our deep reinforcement learning architecture in order to increase the explainability of the learnt policy. The attention modules provide insight regarding the relative importance of sensed inputs during training and planning. We extend and validate our approach in a dynamic simulation, demonstrating successful safe local planning in environments with a continuous terrain and a variety of discrete obstacles. By adding the geometric transformation between two successive timesteps and the corresponding action as inputs, our architecture is able to navigate on surfaces with different levels of friction. Reinforcement learning, autonomous vehicle navigation, motion and path planning."
https://openalex.org/W2972975270,Double-DQN based path smoothing and tracking control method for robotic vehicle navigation,2019,https://doi.org/10.1016/j.compag.2019.104985,Computers and Electronics in Agriculture,
https://openalex.org/W3011346430,Route Planning and Power Management for PHEVs With Reinforcement Learning,2020,https://doi.org/10.1109/tvt.2020.2979623,IEEE Transactions on Vehicular Technology,"In this article, we propose a novel control scheme for route planning with power management for plug-in hybrid electric vehicles (PHEVs). By considering the power management of PHEVs, we aim to find the route that leads to the minimum energy consumption. The scheme adopts a two-loop structure to achieve the control objective. Specifically, in the outer loop, the minimum energy consumption route is obtained by minimizing the difference between the value function of current round and the best value from all previous rounds. In the inner loop, the energy consumption index with respect to PHEV power management for each feasible route is trained with reinforcement learning (RL). Under the RL framework, a nonlinear approximator structure, which consists of an actor approximator and a critic approximator, is built to approximate control actions and energy consumption. In addition, the convergence of value function for PHEV power management in the inner loop and asymptotical stability of the closed-loop system are rigorously studied. Using Toyota Prius as the vehicle model and planning its route in a city with various navigation ranges, we demonstrate the effectiveness of the proposed control scheme with simulation studies."
https://openalex.org/W4385568286,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,2023,https://doi.org/10.1145/3580305.3599839,,"Recent years have witnessed the rapid development of the Cooperative Vehicle Infrastructure System (CVIS), where road infrastructures such as traffic lights (TL) and autonomous vehicles (AVs) can share information among each other and work collaboratively to provide safer and more comfortable transportation experience to human beings. While many efforts have been made to develop efficient and sustainable CVIS solutions, existing approaches on urban intersections heavily rely on domain knowledge and physical assumptions, preventing them from being practically applied. To this end, this paper proposes NavTL, a learning-based framework to jointly control traffic signal plans and autonomous vehicle rerouting in mixed traffic scenarios where human-driven vehicles and AVs co-exist. The objective is to improve travel efficiency and reduce total travel time by minimizing congestion at the intersections while guiding AVs to avoid the temporally congested roads. Specifically, we design a graph-enhanced multi-agent decentralized bi-directional hierarchical reinforcement learning framework by regarding TLs as manager agents and AVs as worker agents. At lower temporal resolution timesteps, each manager sets a goal for the workers within its controlled region. Simultaneously, managers learn to take the signal actions based on the observation from the environment as well as an intention information extracted from its workers. At higher temporal resolution timesteps, each worker makes rerouting decisions along its way to the destination based on its observation from the environment, an intention-enhanced manager state representation, and a goal from its present manager. Finally, extensive experiments on one synthetic and two real-world network-level datasets demonstrate the effectiveness of our proposed framework in terms of improving travel efficiency."
https://openalex.org/W4389667358,Robust Unmanned Surface Vehicle Navigation with Distributional Reinforcement Learning,2023,https://doi.org/10.1109/iros55552.2023.10342389,,"Autonomous navigation of Unmanned Surface Vehicles (USV) in marine environments with current flows is challenging, and few prior works have addressed the sensor-based navigation problem in such environments under no prior knowledge of the current flow and obstacles. We propose a Distributional Reinforcement Learning (RL) based local path planner that learns return distributions which capture the uncertainty of action outcomes, and an adaptive algorithm that automatically tunes the level of sensitivity to the risk in the environment. The proposed planner achieves a more stable learning performance and converges to safer policies than a traditional RL based planner. Computational experiments demonstrate that comparing to a traditional RL based planner and classical local planning methods such as Artificial Potential Fields and the Bug Algorithm, the proposed planner is robust against environmental flows, and is able to plan trajectories that are superior in safety, time and energy consumption."
https://openalex.org/W3167509898,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,2021,https://doi.org/10.1109/tits.2021.3075221,IEEE Transactions on Intelligent Transportation Systems,"With the development of the economy and the acceleration of urbanization, traffic congestion has become a worldwide problem. Advances in mobile Internet and sensor technologies have increased real-time data sharing, providing a new opportunity for urban route planning. However, due to the difficulty of handling complex global information, making correct decisions in large-scale and complex traffic environments is a problem that urgently needs to be solved. In this paper, a multiple route planning model (multi-route dynamic programming (DP) model) is proposed to solve the urban route planning problem with traffic flow information. In particular, we adopt the DP algorithm in this model, design a reward function suitable for urban path planning problems, and generate multiple routes based on the Q values. In addition, we design different scenarios using real-world road networks to test our model. Through the experiments, we demonstrate that our model has the potential to yield optimal results under large-scale scenarios with high efficiency. The advantages of integrating the distance contribution index (DCI) in the reward function are also elaborated. Moreover, our model can provide alternative routes to divert traffic from the optimal route, thus mitigating the congestion drift problem."
https://openalex.org/W4389333680,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2023,https://doi.org/10.1016/j.trc.2023.104440,Transportation Research Part C Emerging Technologies,"Solving link-based route guidance problems for large-scale networks is computationally challenging and faces practical issues, such as spatial–temporal data coverage. Thus, regional route guidance has emerged as a promising strategy, which utilizes regional approaches (i.e., network-level macroscopic traffic models) to capture traffic dynamics. Existing regional route guidance models have mainly focused on macroscopic flows and aggregated splitting rates, employing uniformly sampled vehicles as controllable targets. These models, however, overlook the inherent nature of individual drivers’ compliance. It may deteriorate the guidance performance as existing route guidance models cannot effectively generate customized route plans for compliant vehicles. This paper aims to introduce a regional route guidance framework with the utilization of different solution approaches, i.e. model-based and data-driven, considering the compliance pattern. In particular, MPC-based and deep reinforcement learning-based schemes are proposed for the information service provider to send customized route plans to compliant individuals. Within each solution approach, different route guidance strategies are developed for specific purposes and evaluated through numerical experiments under low- and high-congestion scenarios. Besides, the trade-off between total travel time and average trip length is studied, wherein the balance reward in a deep reinforcement learning-based approach enables controllable agents to reduce trip costs while compromising partial system utility. The findings indicate the effectiveness of the proposed strategies in alleviating network congestion. Additionally, multi-agent approaches outperform single-agent ones, highlighting the benefits of cooperative decision-making in traffic management."
https://openalex.org/W4393931169,A reinforcement learning-based hyper-heuristic for AGV task assignment and route planning in parts-to-picker warehouses,2024,https://doi.org/10.1016/j.tre.2024.103518,Transportation Research Part E Logistics and Transportation Review,
https://openalex.org/W2991607840,Deep Reinforcement Learning based Vehicle Navigation amongst pedestrians using a Grid-based state representation,2019,https://doi.org/10.1109/itsc.2019.8917299,,"Autonomous navigation in structured urban environments amongst pedestrians is a challenging and less explored problem. In this work, we propose to use a deep reinforcement learning based method to solve this problem of navigation. A Deep Q-Network based agent is trained in a simulator for a typical intersection crossing setup amongst pedestrians. We propose a grid based representation as a state space input to the learning agent. With this grid based representation and our reward function the agent learns a policy capable of driving safely around pedestrians and also follow the traffic rules."
https://openalex.org/W3182999346,Deep Reinforcement Learning Based Dynamic Route Planning for Minimizing Travel Time,2021,https://doi.org/10.1109/iccworkshops50388.2021.9473555,,"Route planning is important in transportation. Existing works focus on finding the shortest path solution or using metrics such as safety and energy consumption to determine the planning. It is noted that most of these studies rely on prior knowledge of road network, which may be not available in certain situations. In this paper, we design a route planning algorithm based on deep reinforcement learning (DRL) for pedestrians. We use travel time consumption as the metric, and plan the route by predicting pedestrian flow in the road network. We put an agent, which is an intelligent robot, on a virtual map. Different from previous studies, our approach assumes that the agent does not need any prior information about road network, but simply relies on the interaction with the environment. We propose a dynamically adjustable route planning (DARP) algorithm, where the agent learns strategies through a dueling deep Q network to avoid congested roads. Simulation results show that the DARP algorithm saves 52% of the time under congestion condition when compared with traditional shortest path planning algorithms."
https://openalex.org/W3015848170,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,2020,https://doi.org/10.1109/tits.2020.2978227,IEEE Transactions on Intelligent Transportation Systems,"With the rapid development of urbanization, the problem of urban traffic congestion has become increasingly prominent. Dynamic route guidance promises to improve the capacity of urban traffic management and mitigate traffic congestion in big cities. In the design of simulation-based experiments for most dynamic route guidance methods, the simulation data is generally estimated from a specific traffic scenario in the real-world. However, highly dynamic traffic in the city implies that traffic scenarios in real systems are diverse. Therefore, if a route guidance method cannot adjust its strategy according to the spatial and temporal characteristics of different traffic scenarios, then it cannot guarantee optimal results under all traffic scenarios. Thus, ideal dynamic route guidance methods should have a highly adaptive learning ability under diverse traffic scenarios so as to have extensive improvement capabilities for different traffic scenarios. In this study, an A* trajectory rejection method based on multi-agent reinforcement learning (A*R2) is proposed; the method integrates both system and user perspectives to mitigate traffic congestion and reduce travel time (TT) and travel distance (TD). First, owing to its adaptive learning ability, the A*R2can comprehensively analyze the traffic conditions for different traffic scenarios and intelligently evaluate the road congestion index from a system perspective. Then, the A*R2determines the routes for all vehicles from user perspective according to the road network congestion index. An extensive set of simulation experiments reveal that, under various traffic scenarios, the A*R2can rely on its adaptive learning ability to achieve better traffic efficiency. Moreover, even in cases where many drivers are not fully compliant with the route guidance, the traffic efficiency can still be improved significantly by A*R2."
https://openalex.org/W4389505562,Connected vehicles’ dynamic route planning based on reinforcement learning,2023,https://doi.org/10.1016/j.future.2023.11.037,Future Generation Computer Systems,
