openalex_id,title,year,venue,citationCount,doi,query
https://openalex.org/W2996685790,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2019,Applied Mathematics and Computation,55,10.1016/j.amc.2019.124895,route choice reinforcement learning traffic
https://openalex.org/W4388469846,Multi-Agent Graph Reinforcement Learning Method for Electric Vehicle on-Route Charging Guidance in Coupled Transportation Electrification,2023,IEEE Transactions on Sustainable Energy,42,10.1109/tste.2023.3330842,route guidance reinforcement learning
https://openalex.org/W3102049471,"PassGoodPool: Joint Passengers and Goods Fleet Management With Reinforcement Learning Aided Pricing, Matching, and Route Planning",2021,IEEE Transactions on Intelligent Transportation Systems,38,10.1109/tits.2021.3128877,dynamic route reinforcement learning vehicle
https://openalex.org/W4213109482,Deep Graph Reinforcement Learning Based Intelligent Traffic Routing Control for Software-Defined Wireless Sensor Networks,2022,Applied Sciences,37,10.3390/app12041951,route optimization deep reinforcement learning traffic
https://openalex.org/W4389333680,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,2023,Transportation Research Part C Emerging Technologies,33,10.1016/j.trc.2023.104440,route guidance reinforcement learning
https://openalex.org/W2556366151,A multiagent reinforcement learning approach to en-route trip building,2016,,32,10.1109/ijcnn.2016.7727899,route choice reinforcement learning traffic
https://openalex.org/W3040007863,Evaluating semi-cooperative Nash/Stackelberg Q-learning for traffic routes plan in a single intersection,2020,Control Engineering Practice,28,10.1016/j.conengprac.2020.104525,vehicle routing reinforcement learning congestion
https://openalex.org/W3213401008,Route Optimization via Environment-Aware Deep Network and Reinforcement Learning,2021,ACM Transactions on Intelligent Systems and Technology,26,10.1145/3461645,dynamic route reinforcement learning vehicle
https://openalex.org/W4388273105,Dynamic urban traffic rerouting with fog‐cloud reinforcement learning,2023,Computer-Aided Civil and Infrastructure Engineering,22,10.1111/mice.13115,route planning deep reinforcement learning traffic
https://openalex.org/W3089194893,Route Selection in 5G-based Flying Ad-hoc Networks using Reinforcement Learning,2020,,22,10.1109/iccsce50387.2020.9204944,dynamic route reinforcement learning vehicle
https://openalex.org/W2792839178,Dynamic route and departure time choice model based on self-adaptive reference point and reinforcement learning,2018,Physica A Statistical Mechanics and its Applications,18,10.1016/j.physa.2018.02.104,route choice reinforcement learning traffic
https://openalex.org/W4406800045,Reinforcement learning based route optimization model to enhance energy efficiency in internet of vehicles,2025,Scientific Reports,18,10.1038/s41598-025-86608-5,route choice reinforcement learning traffic
https://openalex.org/W2915749536,Deep Q-Network Based Route Scheduling for Transportation Network Company Vehicles,2018,,15,10.1109/glocom.2018.8647546,dynamic route reinforcement learning vehicle
https://openalex.org/W4389505562,Connected vehicles’ dynamic route planning based on reinforcement learning,2023,Future Generation Computer Systems,14,10.1016/j.future.2023.11.037,dynamic route reinforcement learning vehicle
https://openalex.org/W4390904888,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,2024,IEEE Transactions on Intelligent Transportation Systems,11,10.1109/tits.2023.3348034,dynamic route reinforcement learning vehicle
https://openalex.org/W4387885661,Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,2023,IEEE Access,9,10.1109/access.2023.3327273,route planning deep reinforcement learning traffic
https://openalex.org/W4402156168,A Deep Reinforcement Learning Approach for Adaptive Traffic Routing in Next-Gen Networks,2024,,9,10.1109/icc51166.2024.10622726,route optimization deep reinforcement learning traffic
https://openalex.org/W4406611725,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles<sup>*</sup>,2024,,6,10.1109/smc54092.2024.10831232,route optimization deep reinforcement learning traffic
https://openalex.org/W4399427424,Reinforcement Learning for Dynamic Traffic Routing and Optimization,2024,,5,10.1109/icict60155.2024.10544850,route optimization deep reinforcement learning traffic
https://openalex.org/W4385954129,Multi-Objective Deep Reinforcement Learning for Crowd Route Guidance Optimization,2023,Transportation Research Record Journal of the Transportation Research Board,4,10.1177/03611981231190635,route guidance reinforcement learning
https://openalex.org/W4407416279,Optimizing Traffic Routes With Enhanced Double Q‐Learning,2025,IET Intelligent Transport Systems,4,10.1049/itr2.70002,route planning deep reinforcement learning traffic
https://openalex.org/W4408794272,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,2025,,3,10.1109/icccit62592.2025.10928029,route planning deep reinforcement learning traffic
https://openalex.org/W3083096139,Q-learning-based route-guidance and vehicle assignment for OHT systems in semiconductor fabs,2020,,2,10.1109/asmc49169.2020.9185357,route guidance reinforcement learning
https://openalex.org/W4410610241,Reinforcement Learning Base Energy Efficient Route Optimization Model to Enhance Network Lifetime on the Internet of Vehicles,2025,Journal of Advanced Research Design,2,10.37934/ard.132.1.124139,dynamic route reinforcement learning vehicle
https://openalex.org/W4415682067,A reinforcement learning model for dynamic distribution route optimization of agricultural products under replenishment demand,2025,Alexandria Engineering Journal,2,10.1016/j.aej.2025.09.073,dynamic route reinforcement learning vehicle
https://openalex.org/W3015102509,Realtime Vehicle Route Optimisation via DQN for Sustainable and Resilient Urban Transportation Network,2022,Liverpool John Moores University,1,10.24377/ljmu.t.00012594,vehicle navigation reinforcement learning urban
https://openalex.org/W4312845780,Understanding Route Choice Behaviours Using Macro-Level Patterns: A Q-Learning Approach,2022,SSRN Electronic Journal,1,10.2139/ssrn.4262015,route choice reinforcement learning traffic
https://openalex.org/W2981977088,Applying Markov decision process to adaptive dynamic route selection model,2019,Proceedings of the Institution of Civil Engineers - Transport,1,10.1680/jtran.19.00085,route choice reinforcement learning traffic
https://openalex.org/W4393095629,Combining multi-agent deep deterministic policy gradient and rerouting technique to improve traffic network performance under mixed traffic conditions,2024,SIMULATION,1,10.1177/00375497241237831,rerouting deep reinforcement learning
https://openalex.org/W4400600778,Real-time system optimal traffic routing under uncertainties -- Can physics models boost reinforcement learning?,2024,arXiv (Cornell University),1,10.48550/arxiv.2407.07364,vehicle routing reinforcement learning congestion
https://openalex.org/W4292286405,An Adaptive Route Guidance Model Based on Deep Reinforcement Learning,2022,SSRN Electronic Journal,0,10.2139/ssrn.4193419,route guidance reinforcement learning
https://openalex.org/W4416116732,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,2025,Cluster Computing,0,10.1007/s10586-025-05842-8,route guidance reinforcement learning
