title,year,venue,doi,decision
A survey of Automotive Driving Assistance Systems technologies,2018,2018 International Conference on Artificial Intelligence and Data Processing (IDAP),10.1109/IDAP.2018.8620826,exclude
AUV Position Tracking Control Using End-to-End Deep Reinforcement Learning,2018,OCEANS 2018 MTS/IEEE Charleston,10.1109/OCEANS.2018.8604791,exclude
Experience-Based Heuristic Search: Robust Motion Planning with Deep Q-Learning,2018,2018 21st International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC.2018.8569436,exclude
Intersection Warning System for Occlusion Risks Using Relational Local Dynamic Maps,2018,IEEE Intelligent Transportation Systems Magazine,10.1109/MITS.2018.2867525,exclude
Navigating Occluded Intersections with Autonomous Vehicles Using Deep Reinforcement Learning,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2018.8461233,exclude
Optimal automatic train operation via deep reinforcement learning,2018,2018 Tenth International Conference on Advanced Computational Intelligence (ICACI),10.1109/ICACI.2018.8377589,exclude
An Interactive Lane Change Decision Making Model With Deep Reinforcement Learning,2019,"2019 7th International Conference on Control, Mechatronics and Automation (ICCMA)",10.1109/ICCMA46720.2019.8988750,exclude
Autonomous Navigation with Improved Hierarchical Neural Network Based on Deep Reinforcement Learning,2019,2019 Chinese Control Conference (CCC),10.23919/ChiCC.2019.8865201,exclude
Autopilot Design for Unmanned Combat Aerial Vehicles (UCAVs) via Learning-based Approach,2019,2019 IEEE Symposium Series on Computational Intelligence (SSCI),10.1109/SSCI44817.2019.9002789,exclude
Cross-View Policy Learning for Street Navigation,2019,2019 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/ICCV.2019.00819,exclude
Deep Q-Learning Based Energy Management Strategy for a Series Hybrid Electric Tracked Vehicle and Its Adaptability Validation,2019,2019 IEEE Transportation Electrification Conference and Expo (ITEC),10.1109/ITEC.2019.8790630,exclude
Deep Reinforcement Learning Based High-level Driving Behavior Decision-making Model in Heterogeneous Traffic,2019,2019 Chinese Control Conference (CCC),10.23919/ChiCC.2019.8866005,exclude
Deep Reinforcement Learning based Vehicle Navigation amongst pedestrians using a Grid-based state representation,2019,2019 IEEE Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC.2019.8917299,exclude
Deep Reinforcement Learning for Routing a Heterogeneous Fleet of Vehicles,2019,2019 IEEE Latin American Conference on Computational Intelligence (LA-CCI),10.1109/LA-CCI47412.2019.9037042,exclude
Deep Reinforcement Learning for Target Searching in Cognitive Electronic Warfare,2019,IEEE Access,10.1109/ACCESS.2019.2905649,exclude
Deep Reinforcement Learning for Time Optimal Velocity Control using Prior Knowledge,2019,2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI.2019.00034,exclude
Geomagnetic Navigation for AUV based on Deep Reinforcement Learning Algorithm,2019,2019 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/ROBIO49542.2019.8961491,exclude
Lane Change Decision-making through Deep Reinforcement Learning with Rule-based Constraints,2019,2019 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN.2019.8852110,exclude
Learning From Actor-Critic Algorithm With Application to Asymmetric Tailored Performance Tracking Control of Underactuated Surface Vehicle,2019,2019 IEEE 4th International Conference on Advanced Robotics and Mechatronics (ICARM),10.1109/ICARM.2019.8834334,exclude
Learning to Solve Capacitated Arc Routing Problems by Policy Gradient,2019,2019 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC.2019.8790295,exclude
Meta-deep q-learning for eco-routing,2019,2019 IEEE 2nd Connected and Automated Vehicles Symposium Cavs 2019 Proceedings,,include
Multi-Agent Deep Reinforcement Learning with Emergent Communication,2019,2019 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN.2019.8852293,exclude
Online Vehicle Routing With Neural Combinatorial Optimization and Deep Reinforcement Learning,2019,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2019.2909109,exclude
Path Planning Method Based on Artificial Potential Field and Reinforcement Learning for Intervention AUVs,2019,2019 IEEE Underwater Technology (UT),10.1109/UT.2019.8734314,exclude
Safe Reinforcement Learning with Scene Decomposition for Navigating Complex Urban Environments,2019,2019 IEEE Intelligent Vehicles Symposium (IV),10.1109/IVS.2019.8813803,exclude
Simulation Based Scheduling Strategies Comparison of O2O Instant Delivery System,2019,2019 IEEE 14th International Conference on Intelligent Systems and Knowledge Engineering (ISKE),10.1109/ISKE47853.2019.9170408,exclude
Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,2019,2019 IEEE Real-Time Systems Symposium (RTSS),10.1109/RTSS46320.2019.00061,include
A Deep Reinforcement Learning Approach for the Patrolling Problem of Water Resources Through Autonomous Surface Vehicles: The Ypacarai Lake Case,2020,IEEE Access,10.1109/ACCESS.2020.3036938,exclude
A Distributed Driving Decision Scheme Based on Reinforcement Learning for Autonomous Driving Vehicles,2020,2020 IEEE 91st Vehicular Technology Conference (VTC2020-Spring),10.1109/VTC2020-Spring48590.2020.9128738,exclude
A Game-Theoretic Reinforcement Learning Approach for Adaptive Interaction at Intersections,2020,2020 Chinese Automation Congress (CAC),10.1109/CAC51589.2020.9327245,exclude
A Multi-Task Reinforcement Learning Approach for Navigating Unsignalized Intersections,2020,2020 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV47402.2020.9304542,exclude
A Survey on Deep Learning for Steering Angle Prediction in Autonomous Vehicles,2020,IEEE Access,10.1109/ACCESS.2020.3017883,exclude
Autonomous Control of Combat Unmanned Aerial Vehicles to Evade Surface-to-Air Missiles Using Deep Reinforcement Learning,2020,IEEE Access,10.1109/ACCESS.2020.3046284,exclude
Behavioral decision-making for urban autonomous driving in the presence of pedestrians using Deep Recurrent Q-Network,2020,"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)",10.1109/ICARCV50220.2020.9305435,exclude
Behaviorally Diverse Traffic Simulation via Reinforcement Learning,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS45743.2020.9341493,exclude
Communications and High-Precision Positioning (CHP2): Secure Traffic and Resource Management Using Reinforcement Learning,2020,2020 AIAA/IEEE 39th Digital Avionics Systems Conference (DASC),10.1109/DASC50938.2020.9256573,exclude
Composite deep learning control for autonomous bicycles by using deep deterministic policy gradient,2020,IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,10.1109/IECON43393.2020.9254787,exclude
Controller-Aware Path optimization for Enhancing Path Tracking Performance,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC45102.2020.9294624,exclude
Deep Reinforcement Learning for EV Charging Navigation by Coordinating Smart Grid and Intelligent Transportation System,2020,IEEE Transactions on Smart Grid,10.1109/TSG.2019.2942593,borderline
Deep Reinforcement Learning for Traveling Salesman Problem with Time Windows and Rejections,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN48605.2020.9207026,exclude
Driving Style Encoder: Situational Reward Adaptation for General-Purpose Planning in Automated Driving,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA40945.2020.9196778,exclude
Exploration Strategy based on Validity of Actions in Deep Reinforcement Learning,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS45743.2020.9341014,exclude
Geomagnetic Navigation with Adaptive Search Space for AUV based on Deep Double-Q-Network,2020,Global Oceans 2020: Singapore ??U.S. Gulf Coast,10.1109/IEEECONF38699.2020.9389116,exclude
Hierarchical Reinforcement Learning Combined with Motion Primitives for Automated Overtaking,2020,2020 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV47402.2020.9304815,exclude
Integrating Deep Reinforcement Learning with Model-based Path Planners for Automated Driving,2020,2020 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV47402.2020.9304735,exclude
Intelligent Navigation in Urban Environments Based on an H-infinity Filter and Reinforcement Learning Algorithms,2020,"2020 IEEE/ION Position, Location and Navigation Symposium (PLANS)",10.1109/PLANS46316.2020.9109948,exclude
Machine learning based motion planning approach for intelligent vehicles,2020,2020 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV47402.2020.9304714,exclude
Model-Based Reinforcement Learning for Time-Optimal Velocity Control,2020,IEEE Robotics and Automation Letters,10.1109/LRA.2020.3012128,exclude
Monte Carlo Tree Search With Reinforcement Learning for Motion Planning,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC45102.2020.9294697,exclude
Multi-Agent Deep Reinforcement Learning for Traffic optimization through Multiple Road Intersections using Live Camera Feed,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC45102.2020.9294375,exclude
Path Planning in Dynamic Environments using Generative RNNs and Monte Carlo Tree Search,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA40945.2020.9196631,exclude
Proving Ground Test of a DDPG-based Vehicle Trajectory Planner,2020,2020 European Control Conference (ECC),10.23919/ECC51009.2020.9143675,exclude
Reinforcement Learning-Based Motion Planning for Automatic Parking System,2020,IEEE Access,10.1109/ACCESS.2020.3017770,exclude
