corpus_idx,field,original_value,blind_recode_value,adjudicated_value,outcome
3,generalization_mechanism,graph-inductive,none,none,corrected
3,predictive_representation,local-prediction,none,local-prediction,original-confirmed
3,compliance_stated,explicit,partial-modeled,partial-modeled,corrected
3,action_feasibility_constraint,not-enforced,enforced,enforced,corrected
3,boundary_condition,not-addressed,boundary-open-addressed,boundary-open-addressed,corrected
4,OD_conditioned,yes,no,yes,original-confirmed
4,generalization_mechanism,none,other,none,original-confirmed
4,reward_alignment,mixed,system,mixed,original-confirmed
7,OD_conditioned,no,yes,yes,corrected
9,generalization_mechanism,context-conditioning,unclear,none,corrected
9,reward_temporality,predicted,step-wise,step-wise,corrected
12,generalization_mechanism,context-conditioning,none,none,corrected
12,reward_temporality,predicted,step-wise,step-wise,corrected
16,generalization_mechanism,context-conditioning,none,none,corrected
16,predictive_representation,none,rollout-capable,none,original-confirmed
16,reward_temporality,realized,predicted,realized,original-confirmed
16,compliance_stated,implicit-100%,explicit,explicit,corrected
16,action_feasibility_constraint,action-masking,enforced,enforced,corrected
19,generalization_mechanism,graph-inductive,domain-rand,domain-rand,corrected
19,predictive_representation,rollout-capable,unclear,rollout-capable,original-confirmed
19,compliance_stated,implicit-100%,explicit,implicit-100%,original-confirmed
27,generalization_mechanism,other,none,none,corrected
27,predictive_representation,local-prediction,none,none,corrected
28,generalization_mechanism,other,none,other,original-confirmed
28,predictive_representation,local-prediction,none,none,corrected
28,action_feasibility_constraint,enforced,action-masking,action-masking,corrected
33,generalization_mechanism,other,none,none,corrected
33,reward_temporality,step-wise,unclear,step-wise,original-confirmed
33,reward_alignment,mixed,unclear,mixed,original-confirmed
35,predictive_representation,local-prediction,none,none,corrected
35,action_feasibility_constraint,unclear,enforced,enforced,corrected
44,compliance_stated,implicit-100%,partial-modeled,partial-modeled,corrected
44,boundary_condition,not-addressed,boundary-open-addressed,boundary-open-addressed,corrected
50,compliance_stated,explicit,partial-modeled,partial-modeled,corrected
50,boundary_condition,not-addressed,boundary-open-addressed,boundary-open-addressed,corrected
52,boundary_condition,boundary-open-addressed,not-addressed,boundary-open-addressed,original-confirmed
57,generalization_mechanism,other,graph-inductive,graph-inductive,corrected
57,trip_completion_reported,not-reported,reported,not-reported,original-confirmed
59,reward_temporality,step-wise,predicted,step-wise,original-confirmed
59,trip_completion_reported,reported,not-reported,reported,original-confirmed
63,predictive_representation,none,unclear,none,original-confirmed
63,compliance_stated,implicit-100%,explicit,implicit-100%,original-confirmed
68,trip_completion_reported,not-reported,reported,reported,corrected
71,reward_temporality,step-wise,predicted,step-wise,original-confirmed
78,reward_temporality,step-wise,predicted,step-wise,original-confirmed
79,OD_conditioned,yes,unclear,yes,original-confirmed
79,predictive_representation,none,unclear,unclear,corrected
79,reward_temporality,realized,unclear,unclear,corrected
79,reward_alignment,individual,unclear,individual,original-confirmed
85,OD_conditioned,unclear,no,no,corrected
85,reward_temporality,realized,step-wise,step-wise,corrected
88,generalization_mechanism,graph-inductive,none,none,corrected
88,predictive_representation,local-prediction,none,local-prediction,original-confirmed
88,action_feasibility_constraint,action-masking,enforced,enforced,corrected
97,OD_conditioned,no,yes,yes,corrected
101,predictive_representation,local-prediction,rollout-capable,rollout-capable,corrected
101,reward_temporality,step-wise,unclear,unclear,corrected
101,action_feasibility_constraint,enforced,action-masking,action-masking,corrected
