paperId,title,year,venue,citationCount,doi,query
c0bcf673abd657084e3b30df87ba9712b006a0e2,A Joint Service Migration and Mobility Optimization Approach for Vehicular Edge Computing,2020,IEEE Transactions on Vehicular Technology,141,10.1109/TVT.2020.2999617,deep reinforcement learning route guidance
7ff25023636d664d9acc0b6e992a0a6d90a2c84a,A guide for the selection of routing protocols in WBAN for healthcare applications,2017,Human-Centric Computing and Information Sciences,71,10.1186/s13673-017-0105-6,reinforcement learning adaptive route guidance transportation
18733523ef7df4e848eac07e8d5b541d820e5aa5,Parallel Hyper-Heuristic Algorithm for Multi-Objective Route Planning in a Smart City,2018,IEEE Transactions on Vehicular Technology,63,10.1109/TVT.2018.2868942,reinforcement learning dynamic route planning
ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
f72246848e568b559a52b3a3e5584c3f01870dbc,A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles,2023,IEEE Transactions on Industrial Informatics,52,10.1109/TII.2022.3210264,deep reinforcement learning route guidance
d669358916608af804c20329b7287d02c75b1311,Behavior Priors for Efficient Reinforcement Learning,2020,Journal of machine learning research,46,,multi-agent reinforcement learning route guidance
c328b70aba55d71fe03da0acfa6cb07914286729,Deep Reinforcement Learning Algorithm for Dynamic Pricing of Express Lanes with Multiple Access Locations,2019,Transportation Research Part C: Emerging Technologies,43,10.1016/j.trc.2020.102715,deep reinforcement learning route guidance
b00edb4a98f50f6d435fd906520cbfe3877b0629,A tutorial on recursive models for analyzing and predicting path choice behavior,2019,EURO Journal on Transportation and Logistics,43,10.1016/j.ejtl.2020.100004,reinforcement learning adaptive route guidance transportation
d595a84ab844cb536c7644fa7758d3b3cd3c92e5,Resilience Analysis of Urban Road Networks Based on Adaptive Signal Controls: Day-to-Day Traffic Dynamics with Deep Reinforcement Learning,2020,Complex,38,10.1155/2020/8841317,deep reinforcement learning traffic assignment network
b360c1a116474ec64af28d2804f39be6df418718,B-GAP: Behavior-Rich Simulation and Navigation for Autonomous Driving,2020,IEEE Robotics and Automation Letters,32,10.1109/lra.2022.3152594,Q-learning vehicle navigation traffic
6664980afac1a57aa737aba65634c77994d89f65,A Data-driven Agent-based Planning Strategy of Fast-Charging Stations for Electric Vehicles,2023,IEEE Transactions on Sustainable Energy,27,10.1109/TSTE.2022.3232594,deep Q-network path planning vehicle traffic
632858eb0a91064d571cb10674b5d7ca68080927,An experimental study on cumulative prospect theory learning model of travelers’ dynamic mode choice under uncertainty,2017,,26,10.1016/J.IJTST.2017.07.002,day-to-day route choice reinforcement learning
faa08d4d7e34d8b438d540a815924b9e1032b66c,Dynamic pricing for managed lanes with multiple entrances and exits,2018,Transportation Research Part C: Emerging Technologies,25,10.1016/J.TRC.2018.09.017,Markov decision process route guidance
cf9e3bdc0194cf0447d52d7aa58019b59ef35391,Dynamic route and departure time choice model based on self-adaptive reference point and reinforcement learning,2018,Physica A: Statistical Mechanics and its Applications,23,10.1016/J.PHYSA.2018.02.104,reinforcement learning adaptive route guidance transportation
98777140336fcd50b473e14dc0528347baefd018,Congestion Control in Charging Stations Allocation with Q-Learning,2019,Sustainability,23,10.3390/SU11143900,Q-learning route guidance
e28041771f751941ae7d4ebc691da1d80e5189c4,Q-Learning-Based Coordinated Variable Speed Limit and Hard Shoulder Running Control Strategy to Reduce Travel Time at Freeway Corridor,2020,Transportation Research Record,21,10.1177/0361198120949875,dynamic traffic assignment reinforcement learning
b40e8685ae9fa80b6429e787e37a31eab1dbc4cb,Smart Navigation and Energy Management Framework for Autonomous Electric Vehicles in Complex Environments,2023,IEEE Internet of Things Journal,19,10.1109/JIOT.2023.3244854,deep reinforcement learning route guidance
46199b54a4856432fab632fcd34ff9ab996e3f84,Learning to Minimise Regret in Route Choice,2017,Adaptive Agents and Multi-Agent Systems,19,10.65109/edgy8635,reinforcement learning adaptive route guidance transportation
cf9f14adc07d511d59a8181a4f0b20a21de9c513,AI-Driven Day-to-Day Route Choice,2024,Transportation Research Part C: Emerging Technologies,19,10.1016/j.trc.2025.105307,reinforcement learning adaptive route guidance transportation
60433604068d03529a989e1460c64a1503d4c3a5,TERL: Two-Stage Ensemble Reinforcement Learning Paradigm for Large-Scale Decentralized Decision Making in Transportation Simulation,2023,IEEE Transactions on Knowledge and Data Engineering,18,10.1109/TKDE.2023.3272688,reinforcement learning adaptive route guidance transportation
