paperId,title,year,venue,citationCount,abstract,source,pre_score
590001cb0ee3bf5397b57eb6929a5647ad5decbf,Safety-Aware Route Navigation: Driving with Less Sun Glare,2024,SIGSPATIAL/GIS,1,"Sun glare during driving poses a significant threat to driver and pedestrian safety. Navigation and route planning typically seeks to minimize the distance or time between the desired origin and destination, accounting for traffic patterns and other heuristics like minimizing the number of stoplights or left turns encountered on a route. However, current navigation methods do not support avoidance of complicated, temporally-dependent safety factors, like adverse road and environmental conditions",snowball5_citations_f5c51284,3
c92253ff760979e031876d294883479e36793028,Leveraging CAVs to Improve Traffic Efficiency: An MARL-Based Approach,2024,IEEE International Conference on Distributed Computing Systems,3,"With the capability of intelligent control and communicating with surrounding vehicles and infrastructures, connected and automated vehicles (CAVs) can drive cooperatively and have more positive effects on traffic efficiency. Cooperative and real-time path planning for CAVs stands as a pivotal solution to mitigate traffic congestion and augment travel efficiency. However, most of the existing path planning schemes predominantly concentrate on minimizing the travel times of vehicles, sidelining t",snowball5_citations_1bdc1cfc,3
d4b94a671d6b19deb0a9420c97f5768dbe119289,Intelligent Route Planning Recommendation for Electric Bus Transport,2024,International Journal of Intelligent Systems,2,"Electric bus transport, a popular mode of public transportation, offers punctual, safe, and comfortable services to passengers through the efficient and effective use of designated road space. The performance of electric bus transport systems depends largely on the design of proper locations of bus stops, with the consideration of passenger demands, waiting time, and traveling time. Optimal electric bus route planning can attract an increasing number of passengers and increase public transit ser",snowball5_citations_1bdc1cfc,3
77181411e1fc2c1c3561cd0d67815a254e38a09e,Online Prediction-Assisted Safe Reinforcement Learning for Electric Vehicle Charging Station Recommendation in Dynamically Coupled Transportation-Power Systems,2024,Transportation Research Part C: Emerging Technologies,4,"With the proliferation of electric vehicles (EVs), the transportation network and power grid become increasingly interdependent and coupled via charging stations. The concomitant growth in charging demand has posed challenges for both networks, highlighting the importance of charging coordination. Existing literature largely overlooks the interactions between power grid security and traffic efficiency. In view of this, we study the en-route charging station (CS) recommendation problem for EVs in",snowball5_citations_0e51bf91,3
12932d267bf90f34ba1d26073359e64656b960ad,Path Planning Model Based on Constrained Policy Iteration,2022,Cybersecurity and Cyberforensics Conference,3,"With the increasing severity of traffic congestion, the frequency of traffic emergencies has also increased. When an emergency occurs, it is necessary to send a large number of emergency vehicles from all over the city to the rescue point, therefore, it is necessary to plan the best feasible path from multiple locations to the same destination quickly and efficiently. At the same time, emergencies have a serious impact on urban operation. The emergency management of urban traffic puts forward mo",snowball5_citations_f5c51284,3
60c96f352c1f426f3aa2b0035c3de3c9974ee381,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,2021,Journal of Information and Data Management,2,"The task of choosing a route to move from A to B is not trivial, as road networks in metropolitan areas tend to be over crowded. It is important to adapt on the fly to the traffic situation. One way to help road users (driver or autonomous vehicles for that matter) is by using modern communication technologies.In particular, there are reasons to believe that the use of communication between the infrastructure (network), and the demand (vehicles) will be a reality in the near future. In this pape",snowball5_citations_29d9e437,3
2438c67202390f02de6fb2b02b628b9200d0611e,Q(λ) learning-based dynamic route guidance algorithm for overhead hoist transport systems in semiconductor fabs,2019,International Journal of Production Research,66,"A learning-based dynamic routing algorithm is proposed for the overhead hoist transport (OHT) systems of semiconductor fabrication facilities (fabs). An OHT system, which consists of multiple vehicles moving at high speeds on guided rails, is the primary automated material-handling system (AMHS) in a fab. Modern large-scale fabs have hundreds of vehicles moving lots between multiple processing machines. The dynamic routing method is a route guidance method that dynamically selects the best vehic",snowball5_citations_f5c51284,3
4cd51b73f7860b743c2d3f80f61bf800774b757a,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,2019,IEEE Real-Time Systems Symposium,3,"With increasing traffic in urban areas, it is crucial to examine strategies to reduce traffic network congestion. Popular navigation policies currently tend to select the fastest path available for each vehicle. However, a top-down approach to navigation, which considers the traffic network as a whole, offers several speedup possibilities. Minimizing the average travel time of all vehicles in the network with respect to their separate travel deadlines improves traffic throughput. Because such a ",snowball5_citations_2f7936da,3
98c7eafe08e3fb252fd1e18bd0e1c500e71b7ebd,A Day-to-Day Route Choice Model Based on Reinforcement Learning,2014,,22,"Day-to-day traffic dynamics are generated by individual traveler’s route choice and route adjustment behaviors, which are appropriate to be researched by using agent-based model and learning theory. In this paper, we propose a day-to-day route choice model based on reinforcement learning and multiagent simulation. Travelers’ memory, learning rate, and experience cognition are taken into account. Then the model is verified and analyzed. Results show that the network flow can converge to user equi",snowball5_citations_f5c51284,3
f80d77f2455be4f73d3201fedee97e7ddc257c18,End-to-end Deep Reinforcement Learning for Stochastic Multi-objective Optimization in C-VRPTW,2025,Trans. Mach. Learn. Res.,1,"In this work, we consider learning-based applications in routing to solve a Vehicle Routing variant characterized by stochasticity and multiple objectives. Such problems are representative of practical settings where decision-makers have to deal with uncertainty in the operational environment as well as multiple conflicting objectives due to different stakeholders. We specifically consider travel time uncertainty. We also consider two objectives, total travel time and route makespan, that jointl",snowball5_citations_913ca159,2
