idx,title,state_form,recorded,machine,selected_sentences,settled_by
0,Real-time deep reinforcement learning based vehicle navigation,none,optimal,optimal,7,The results also show that the proposed method provides a better navigation solution comparing to the benchmark routing optimization algorithms.
1,A reinforcement learning-based routing algorithm for large street networks,none,optimal,optimal,4,"This paper introduces the ReinforceRouting model, a novel approach to optimizing evacuation routes using reinforcement learning (RL)."
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,none,optimal,optimal,2,"We use agents, players, travelers, and controllable vehicles interchangeably, which all represent those intelligent vehicles that select routes based on utility-optimizing behavior."
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,local-prediction,unresolved,modest,0,
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,none,optimal,optimal,4,"The work of the TCC and VAs can be seen as being independent of each other, so the proposed system is a hierarchical architecture in which the TCC centrally calculates the congestion index of the road network from the system perspective, while all VAs determine user-optimal routes in a decentralized"
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,none,optimal,optimal,4,"Inspired by this promising idea, this paper presents an experience how to apply reinforcement learning method to optimize the route of a single vehicle in a network."
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,none,optimal,optimal,2,"Consequently, the agent aims to make optimal decisions in routing control."
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,none,optimal,optimal,3,"The objective is to learn a route planner (i.e., the policy network in DRL) so that it can navigate a vehicle via the optimal route toward its destina- tion and make necessary en route adjustments as per the changing traffic conditions."
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,local-prediction,optimal,modest,0,
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,local-prediction,optimal,modest,0,
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,none,modest,optimal,2,"The goal of our model is to find a policy function that can maximize the total discounted return (reward) of the process of DRL vehicle finding the complete route, which can be expressed in the form of expectation as: π∗= argmaxπ X τ ( T −1 X t=0 γtrt+1)P(τ), (3) where π∗ represents the optimal poli"
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,none,optimal,modest,0,
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,local-prediction,optimal,optimal,1,OPTIMAL PATH PLANNING SCHEME IN AIOV This section provides a detailed presentation of the proposed scheme RPFP to address the optimization problem modeled in Section III.
13,Reinforcement learning of route choice considering traveler's preference,none,unresolved,optimal,5,This paper introduces a novel approach to optimize routing in the urban settings by Deep Reinforcement Learning (DRL) techniques.
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,none,optimal,optimal,1,"From Figure 7, both method 2 and the proposed method immediately choose another path as an option when traffic congestion occurs, but method 2 cannot find the optimal path that needs over 100 seconds."
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,none,modest,optimal,8,"In this work, the authors make the first successful attempt to use a modified version of AlphaGo Zero to find the optimal routes for a passenger vehicle with respect to energy efficiency."
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,none,optimal,optimal,2,"However, a key question remains: can such sequential, personalized routing decisions collectively lead to system-optimal (SO) traffic assignment? This paper addresses this question by proposing a learning-based framework that reformulates the static SO traffic assignment problem as a single-agent de"
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,none,optimal,optimal,4,This article aims to explore the optimal path planning algorithm based on DRL to improve the accuracy and efficiency of path planning.
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,none,optimal,modest,0,
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,rollout-capable,unresolved,optimal,5,"Transactions on Emerging Telecommunications Technologies RESEARCH ARTICLE Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization Rubo Zhang1 | Peiqun Lin2,3 | Chuhao Zhou2,3 | Lixin Miao1 1Tsinghua Shenzhen International Graduate School, Shenzhen, Guangdong, China | "
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,none,optimal,modest,0,
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,none,optimal,optimal,7,"RPS based on MARL problem deﬁnition In this section, problem formulation, the proposed shortest path and MARL algorithms will be presented as follows."
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,none,modest,modest,0,
23,Route guidance system using multi-agent reinforcement learning,unclear,optimal,optimal,11,This paper proposes a new agent model and algorithm based on multi- agent reinforcement learning to find a best and shortest path between the origin and destination nodes.
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,none,optimal,optimal,3,"To adequately capture the semantics and conditions of the problem that relates to its dynamic nature and optimization, we propose the vehicle navigation problem; given a dynamic road network and a fleet of vehicles, the objective is to minimize the overall travel time of all vehicles."
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,none,optimal,optimal,10,"Navigating the non-compliance effects on system optimal route guidance using reinforcement learning Hyunsoo Yun a, Eui-jin Kim b, Seung Woo Ham a, Dong-Kyu Kim a,c,* a Department of Civil and Environmental Engineering, Seoul National University, Seoul 08826, Republic of Korea b Department of Transpo"
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,local-prediction,unresolved,optimal,5,This paper introduces a novel approach to optimize routing in the urban settings by Deep Reinforcement Learning (DRL) techniques.
27,Optimization Method of DRL-based Route Planning under Limited Resources,none,modest,optimal,2,"So in this paper, we propose an optimization scheme for DRL-based route planning considering the limited on-board computing and storage resources."
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,none,optimal,optimal,3,"In this paper, we formulate the vehicle global path planning as a Markov decision problem, and propose an A*-assisted deep reinforcement learning algorithm to achieve path optimization in complex environment by maximizing the total rewards."
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,none,optimal,optimal,5,This paper introduces a novel approach to optimize routing in the urban settings by Deep Reinforcement Learning (DRL) techniques.
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,none,optimal,optimal,2,"To overcome these challenges, this paper presents a novel two-step approach that integrates graph attention Q network (GAQ) with entropy-balanced k shortest path (EBkSP) via fog-cloud information framework to carry out vehicle rerouting in dynamic traffic envi- ronments typical of large cities."
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,local-prediction,optimal,optimal,2,"This work pro- poses a Deep Reinforcement Learning (DRL) based framework for optimal path generation in realistic urban environments, leveraging historical traffic data provided by TomTom APIs."
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,none,optimal,optimal,6,This paper proposes an adaptive reinforcement learning frame- work for environmentally sustainable route optimization utilizing the Proximal Policy Optimization (PPO) approach.
33,Deep Q-Learning-based Route Optimization for Traffic Network,none,modest,optimal,1,"Deep Q-Learning-based Route Optimization for Traffic Network Siti Nor Atiqah Moharam 1, Matthew Laurentius Bansing 1, Kit Guan Lim 2,*, Min Keng Tan 1, Helen Sin Ee Chuo 1, Kenneth Tze Kin Teo 3,* 1,2,3 Modelling, Simulation & Computing Laboratory Faculty of Engineering Universiti Malaysia Sabah Kot"
