title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
A Brief Survey of Deep Reinforcement Learning for Intersection Navigation of Autonomous Vehicles,"This paper presents a brief survey of deep reinforcement learning (DRL) for intersection navigation in autonomous driving. Intersection navigation poses significant challenges for autonomous driving (AD), considering the dynamic environment, high complexity, and safety requirements. DRL has emerged as a powerful learning framework in the field of AD, enabling agents to learn interactive driving policies in complex intersection scenarios. The paper begins by outlining the architecture of a general AD system. It then elaborates on the concepts of DRL. Additionally, the paper discusses emerging technologies such as social attention and graph attention mechanisms, which enhance the performance of DRL-based AD driving policies. Finally, the challenges and future prospects are also given. Challenges include complex intersection scenarios, generalization across different layouts, and the lack of standardized benchmarks and evaluation metrics. Overcoming these challenges and leveraging future advancements can lead to improved safety and efficiency in road traffic.",,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),,179.0,both,1.0,0,survey
"A Survey of Route Recommendations: Methods, Applications, and Opportunities","Nowadays, with advanced information technologies deployed citywide, large data volumes and powerful computational resources are intelligentizing modern city development. As an important part of intelligent transportation, route recommendation and its applications are widely used, directly influencing citizens` travel habits. Developing smart and efficient travel routes based on big data (possibly multi-modal) has become a central challenge in route recommendation research. Our survey offers a comprehensive review of route recommendation work based on urban computing. It is organized by the following three parts: 1) Methodology-wise. We categorize a large volume of traditional machine learning and modern deep learning methods. Also, we discuss their historical relations and reveal the edge-cutting progress. 2) Application\-wise. We present numerous novel applications related to route commendation within urban computing scenarios. 3) We discuss current problems and challenges and envision several promising research directions. We believe that this survey can help relevant researchers quickly familiarize themselves with the current state of route recommendation research and then direct them to future research trends.",,2024,Information Fusion,,29.0,old,0.0,83,survey
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions","Autonomous driving (AD) endows vehicles with the capability to drive partly or entirely without human intervention. AD agents generate driving policies based on online perception results, which are crucial to the realization of safe, efficient, and comfortable driving behaviors, particularly in high-dimensional and stochastic traffic scenarios. Currently, deep reinforcement learning (DRL) techniques to derive and validate AD policies have witnessed vast research efforts and have shown rapid development in recent years. However, a comprehensive interpretation and evaluation of their strengths and limitations concerning the full-stack AD tasks remain uncharted. This paper presents a survey of this body of work, which is conducted at three levels. First, it analyzes the multi-level AD task characteristics and delves deeply into the current DRL methodologies primarily employed in AD. Second, a taxonomy of the literature studies is constructed from the system perspective, identifying six modes of DRL model integration into an AD architecture that span the entire spectrum of AD policy processes, from perception understanding and decision-making to motion control, as well as verification and validation. Each literature review comprehensively encompasses the main elements of designing such a system, including modeling partially observable environments, state and action spaces, reward structuring, and the design and training methodologies of neural network models. Finally, an in-depth foresight is conducted on how the eight critical issues of AD application development are addressed by the DRL models tailored for real-world AD challenges.",R. Zhao; Y. Li; Y. Fan; F. Gao; M. Tsukada; Z. Gao,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3452480,71.0,gate1,,100,survey
State-of-the-Art Review on Traffic Control Strategies for Emergency Vehicles,"Emergency vehicles (EVs) play an essential role in emergency services. One of the most intuitive indicators of the emergency service process is the response time of EVs. This survey reviews the latest traffic control strategies to reduce response time during EV?�s traveling. Firstly, it classifies traffic control strategies into route optimization, signal preemption, lane reservation, and mixed traffic control strategies. Then, a systematic literature review of traffic control strategies with different algorithms is presented. Besides, this survey classifies the articles by objective metrics. In addition to response time, several other objective metrics are summarized. Finally, this survey reviews the limitations of existing emergency traffic control strategies and critically analyzes them. Based on this, it indicates the core problems and proposes potential research areas to be explored.",W. Yu; W. Bai; W. Luan; L. Qi,2022,IEEE Access,10.1109/ACCESS.2022.3213798,40.0,gate1,,118,survey
Machine Learning to Solve Vehicle Routing Problems: A Survey,"This paper provides a systematic overview of machine learning methods applied to solve NP-hard Vehicle Routing Problems (VRPs). Recently, there has been great interest from both the machine learning and operations research communities in solving VRPs either through pure learning methods or by combining them with traditional handcrafted heuristics. We present a taxonomy of studies on learning paradigms, solution structures, underlying models, and algorithms. Detailed results of state-of-the-art methods are presented, demonstrating their competitiveness with traditional approaches. The survey highlights the advantages of the machine learning-based models that aim to exploit the symmetry of VRP solutions. The paper outlines future research directions to incorporate learning-based solutions to address the challenges of modern transportation systems.",A. Bogyrbayeva; M. Meraliyev; T. Mustakhov; B. Dauletbayev,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2023.3334976,104.0,gate1,,140,survey
Autonomous Driving at Unsignalized Intersections: A Review of Decision-Making Challenges and Reinforcement Learning-Based Solutions,"Autonomous driving at unsignalized intersections is still considered a challenging application for machine learning due to the complications associated with handling complex multi-agent scenarios characterized by a high degree of uncertainty. Automating the decision-making process in these safety-critical environments involves comprehending multiple levels of abstraction associated with learning robust driving behaviors to enable the vehicle to navigate efficiently. In this survey, we aim at exploring the state-of-the-art techniques implemented for decision-making applications, with a focus on algorithms that combine Reinforcement Learning (RL) and deep learning for learning traversing policies at unsignalized intersections. The reviewed schemes vary in the proposed driving scenario, in the assumptions made for the used intersection model, in the tackled challenges, and in the learning algorithms that are used. We have presented comparisons for these techniques to highlight their limitations and strengths. Based on our in-depth investigation, it can be discerned that a robust decision-making scheme for navigating real-world unsignalized intersection has yet to be developed. Along with our analysis and discussion, we recommend potential research directions encouraging the interested players to tackle the highlighted challenges. By adhering to our recommendations, decision-making architectures that are both non-overcautious and safe, yet feasible, can be trained and validated in real-world unsignalized intersections environments. Note to Practitioners?�Navigating unsignalized intersections is one of the most challenging aspects of urban autonomous driving, directly linked to high accident rates and inefficiencies in road traffic. This paper surveys decision-making strategies for autonomous vehicles at such intersections, aiming to bridge the gap between theoretical advancements and real-world applications. Traditional rule-based decision-making and optimization techniques can be effective in predictable scenarios but often fail in environments with high uncertainty and dynamic multi-agent interactions. Reinforcement learning (RL)-based methods, while promising in their ability to learn from experience and adapt to complex environments, still face significant challenges. These include ensuring safety-critical behavior, achieving real-time performance, and bridging the simulation-to-reality gap. For practitioners in the autonomous driving and robotics industries, this survey provides a practical guide to evaluating existing decision-making approaches, their potential for deployment, and their limitations. It highlights key considerations such as computational efficiency, scalability, and robustness required for urban driving scenarios. The discussion also emphasizes the importance of integrating diverse data sources and testing solutions in real-world environments to ensure reliability. By leveraging the insights presented in this survey, practitioners can better assess and refine algorithms to tackle the nuanced challenges of unsignalized intersections. This work serves as a foundational step towards developing more robust, adaptable, and safe decision-making systems for autonomous vehicles in such complex urban environments.",M. Al-Sharman; L. Edes; B. Sun; V. Jayakumar; H. Tahir; M. A. Daoud; B. J. Emran; D. Rayside; W. Melek,2026,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2025.3646982,4.0,gate1,,166,survey
A Survey of Deep RL and IL for Autonomous Driving Policy Learning,"Autonomous driving (AD) agents generate driving policies based on online perception results, which are obtained at multiple levels of abstraction, e.g., behavior planning, motion planning and control. Driving policies are crucial to the realization of safe, efficient and harmonious driving behaviors, where AD agents still face substantial challenges in complex scenarios. Due to their successful application in fields such as robotics and video games, the use of deep reinforcement learning (DRL) and deep imitation learning (DIL) techniques to derive AD policies have witnessed vast research efforts in recent years. This paper is a comprehensive survey of this body of work, which is conducted at three levels: First, a taxonomy of the literature studies is constructed from the system perspective, among which five modes of integration of DRL/DIL models into an AD architecture are identified. Second, the formulations of DRL/DIL models for conducting specified AD tasks are comprehensively reviewed, where various designs on the model state and action spaces and the reinforcement learning rewards are covered. Finally, an in-depth review is conducted on how the critical issues of AD applications regarding driving safety, interaction with other traffic participants and uncertainty of the environment are addressed by the DRL/DIL models. To the best of our knowledge, this is the first survey to focus on AD policy learning using DRL/DIL, which is addressed simultaneously from the system, task-driven and problem-driven perspectives. We share and discuss findings, which may lead to the investigation of various topics in the future.",Z. Zhu; H. Zhao,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3134702,195.0,gate1,,167,survey
Data-Driven Traffic Simulation: A Comprehensive Review,"Autonomous vehicles (AVs) have the potential to significantly revolutionize society by providing a secure and efficient mode of transportation. Recent years have witnessed notable advancements in autonomous driving perception and prediction, but the challenge of validating the performance of AVs remains largely unresolved. Data-driven microscopic traffic simulation has become an important tool for autonomous driving testing due to 1) availability of high-fidelity traffic data; 2) its advantages of enabling large-scale testing and scenario reproducibility; and 3) its potential in reactive and realistic traffic simulation. However, a comprehensive review of this topic is currently lacking. This paper aims to fill this gap by summarizing relevant studies. The primary objective of this paper is to review current research efforts and provide a futuristic perspective that will benefit future developments in the field. It introduces the general issues of data-driven traffic simulation and outlines key concepts and terms. After overviewing traffic simulation, various datasets and evaluation metrics commonly used are reviewed. The paper then offers a comprehensive evaluation of imitation learning, reinforcement learning, deep generative and deep learning methods, summarizing each and analyzing their advantages and disadvantages in detail. Moreover, it evaluates the state-of-the-art, existing challenges, and future research directions.",D. Chen; M. Zhu; H. Yang; X. Wang; Y. Wang,2024,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2024.3367919,61.0,gate1,,173,survey
A Systematic Review of Adversarial Attacks and Defenses for Deep Reinforcement Learning in Autonomous Vehicle Applications,"Deep reinforcement learning (DRL) is a significant component of autonomous vehicle (AV) systems, as it is involved in crucial aspects such as decision-making, motion planning, and control systems. Nevertheless, DRL exhibits inherent weaknesses that render it vulnerable to adversarial attacks. On the other hand, AV applications are classified as safety-critical applications. This work presents a systematic literature review of several forms of adversarial attacks and the corresponding response mechanisms developed in the literature on AVs. This study additionally examines several datasets utilized for benchmarking purposes and different evaluation factors employed to assess the resilience and efficacy of adversarial attacks. The survey adheres to the PRMA standards. Excluded from consideration are articles that failed to take into account adversarial assaults on DRL and Deep Learning (DL). A comprehensive search yielded a total of 2250 distinct peer-reviewed articles sourced from the ACM Digital Library, IEEE Xplore, Springer, and Elsevier databases. Upon fulfilling the predefined criteria for inclusion and exclusion, a sum of 151 articles is encompassed in the ultimate review. In the end, the paper examines the existing research gaps and proposes potential options for further investigations.",Z. Sarayloo; S. Lohrasbi; P. Xiong; N. Lashgarian Azad,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2026.3666151,,gate1,,177,survey
Advancements in AI-Powered Electric Vehicle Routing: Multi-Constraint Optimization and Infrastructure Integration Approaches for Evolving EVs?�A Survey,"Electric vehicles (EVs) have become essential tools in the worldwide shift to sustainable transportation, driven by advances in battery technology, charging infrastructure, and routing algorithms. This paper presents a comprehensive investigation of the emerging EV ecosystem through three key domains: electric automobiles, routing algorithms, and charging infrastructure. The study uses a dual methodology combining automated data collection with manual filtering to ensure research quality. The investigation spans EV evolution from the 1820s to 2024+, tracking battery technology advancement from early Lead-acid systems (20-30km range) to future Solid-State batteries (800-1000km range), alongside the development of charging infrastructure from basic Level 1 systems to advanced wireless and vehicle-to-grid technologies. The research examines how routing algorithms have evolved from traditional approaches like Dijkstra?�s and Bellman-Ford to advanced AI-driven methods. A key focus is multi-constraint optimization that simultaneously manages State of Charge, waiting times, traffic conditions, energy consumption, and charging needs. The study evaluates modern AI techniques including Graph Neural Networks, Transformers, Multi-Agent Reinforcement Learning, Deep Reinforcement Learning, and Neuro-Fuzzy systems, demonstrating their superior performance over conventional methods. Major EV challenges such as range anxiety, charging delays, poor station distribution, and traffic unpredictability are addressed through intelligent solutions. These include reinforcement learning for adaptive routing, predictive analytics for demand forecasting, and smart charging systems for grid optimization. Experimental validation shows significant improvements in energy efficiency, route optimization, and system adaptability. Future directions include Vehicle-to-Everything communication, multi-agent coordination, next-generation batteries, and renewable energy integration. This study establishes a multi-constraint optimization framework with hybrid AI integration, providing a foundation for scalable and intelligent electric vehicle ecosystems.",P. Anandha Prakash; R. Radha,2025,IEEE Access,10.1109/ACCESS.2025.3589363,11.0,gate1,,184,survey
