condition,seed,episode,completion
b50_e3000,0,500,0.2000
b50_e3000,0,1000,0.3167
b50_e3000,0,1500,0.4000
b50_e3000,0,2000,0.6500
b50_e3000,0,2500,0.9333
b50_e3000,0,3000,0.8833
b50_e3000,1,500,0.1833
b50_e3000,1,1000,0.2167
b50_e3000,1,1500,0.2333
b50_e3000,1,2000,0.2167
b50_e3000,1,2500,0.3833
b50_e3000,1,3000,0.5000
b50_e3000,2,500,0.3500
b50_e3000,2,1000,0.1667
b50_e3000,2,1500,0.4167
b50_e3000,2,2000,0.3833
b50_e3000,2,2500,0.4833
b50_e3000,2,3000,0.6167
b50_e3000,3,500,0.3167
b50_e3000,3,1000,0.3333
b50_e3000,3,1500,0.4167
b50_e3000,3,2000,0.3833
b50_e3000,3,2500,0.6167
b50_e3000,3,3000,0.6833
b50_e3000,4,500,0.2667
b50_e3000,4,1000,0.1333
b50_e3000,4,1500,0.3833
b50_e3000,4,2000,0.5500
b50_e3000,4,2500,0.8333
b50_e3000,4,3000,1.0000
b100_e3000,0,500,0.2000
b100_e3000,0,1000,0.3333
b100_e3000,0,1500,0.4500
b100_e3000,0,2000,0.6667
b100_e3000,0,2500,1.0000
b100_e3000,0,3000,0.9500
b100_e3000,1,500,0.1833
b100_e3000,1,1000,0.2167
b100_e3000,1,1500,0.2333
b100_e3000,1,2000,0.2167
b100_e3000,1,2500,0.3833
b100_e3000,1,3000,0.5000
b100_e3000,2,500,0.4500
b100_e3000,2,1000,0.1500
b100_e3000,2,1500,0.3333
b100_e3000,2,2000,0.3167
b100_e3000,2,2500,0.6500
b100_e3000,2,3000,0.7833
b100_e3000,3,500,0.3167
b100_e3000,3,1000,0.3333
b100_e3000,3,1500,0.4167
b100_e3000,3,2000,0.3833
b100_e3000,3,2500,0.6167
b100_e3000,3,3000,0.6833
b100_e3000,4,500,0.2667
b100_e3000,4,1000,0.1500
b100_e3000,4,1500,0.2333
b100_e3000,4,2000,0.2833
b100_e3000,4,2500,0.3833
b100_e3000,4,3000,0.6833
b50_e6000,0,1000,0.0833
b50_e6000,0,2000,0.4167
b50_e6000,0,3000,0.8000
b50_e6000,0,4000,0.9833
b50_e6000,0,5000,0.9833
b50_e6000,0,6000,1.0000
b50_e6000,1,1000,0.1167
b50_e6000,1,2000,0.3333
b50_e6000,1,3000,0.4667
b50_e6000,1,4000,1.0000
b50_e6000,1,5000,1.0000
b50_e6000,1,6000,1.0000
b50_e6000,2,1000,0.3333
b50_e6000,2,2000,0.3167
b50_e6000,2,3000,0.3500
b50_e6000,2,4000,0.9167
b50_e6000,2,5000,0.9500
b50_e6000,2,6000,0.9833
b50_e6000,3,1000,0.2000
b50_e6000,3,2000,0.4167
b50_e6000,3,3000,0.8500
b50_e6000,3,4000,1.0000
b50_e6000,3,5000,1.0000
b50_e6000,3,6000,1.0000
b50_e6000,4,1000,0.2167
b50_e6000,4,2000,0.4167
b50_e6000,4,3000,0.5833
b50_e6000,4,4000,0.9500
b50_e6000,4,5000,1.0000
b50_e6000,4,6000,1.0000
