paperId,title,year,venue,citationCount,doi,query
ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future generations computer systems,14,10.1016/j.future.2023.11.037,reinforcement learning dynamic route planning
a2c3d28bbef73657bea5a6ea61a8be2ea2501088,Research on Autonomous Driving Route Planning Method Based on Deep Reinforcement Learning,2025,"2025 International Conference on Mechatronics, Automation and Intelligent Control (MAIC)",0,10.1109/MAIC67965.2025.11468844,reinforcement learning dynamic route planning
33c3962444be484802b0f97d0ec6386c57300e60,Federated Reinforcement Learning for Intelligent Route Planning in Aerial-Terrestrial Network,2025,IEEE Internet of Things Journal,5,10.1109/JIOT.2024.3492215,reinforcement learning dynamic route planning
3564fa84740573bf226bcea29f48b3523879705f,eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,2025,"2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)",1,10.1109/CCGridW65158.2025.00015,reinforcement learning vehicle route optimization
e4f0e8b013870ccf722f7236e6e4ba950389e3b4,Vehicle–Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,2025,Transportation Research Record,0,10.1177/03611981251359285,reinforcement learning vehicle route optimization
b9f0ba17f3f6af1b076413ed8d7a4b7419d4560f,A Flexible Vehicle Routing Reinforcement Learning Environment for the Reusability of Trained Agents,2024,International Conference on Computing: Theory and Applications,0,10.1145/3674558.3674576,reinforcement learning vehicle route optimization
88487441ff9b3e8f0bdebb886445e7719d5be9c9,Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,2025,International Journal of Intelligent Transportation Systems Research,1,10.1007/s13177-025-00520-w,reinforcement learning origin destination routing traffic
b959a346dff2a58f9c9e132cdb14a1207ebcebaa,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,International Journal of Computers Communications & Control,9,10.15837/ijccc.2024.3.5382,Q-learning route guidance
fe783c1e422e2c08655790ae44af6bceb4b3f67a,Q-Learning Algorithm for Fourth Party Logistics Route Optimization Considering Tardiness Risk,2022,2022 International Conference on Cyber-Physical Social Intelligence (ICCSI),2,10.1109/ICCSI55536.2022.9970625,Q-learning route guidance
1507a2f0a147b8d9f57c8c2915e5e40330cd3ee3,Improved Q-learning based route planning method for UAVs in unknown environment,2019,2019 IEEE 15th International Conference on Control and Automation (ICCA),7,10.1109/ICCA.2019.8899478,Q-learning route guidance
2cb84d584e991af9981be52c9f958512082a2e58,Improved Route Selection Approaches using Q-learning framework for 2D NoCs,2015,MES@ISCA,15,10.1145/2768177.2768180,Q-learning route guidance
7c16a5bd5d766f58e82373b80ab9184e752f786d,Understanding Route Choice Behaviours Using Macro-Level Patterns: A Q-Learning Approach,2022,Social Science Research Network,0,10.2139/ssrn.4262015,Q-learning route choice
40e68d170720480f99f90bdbeda7eb393fc56952,Vehicle Navigation System based on Pollution Metric Analysis with Q-Learning Algorithm,2021,December,0,10.36548/jaicn.2021.4.005,Q-learning vehicle navigation traffic
b7bf870725ef6666d585bcc45060d8f7ddf92828,Q-Learning for Autonomous Vehicle Navigation,2023,2023 XXV Robotics Mexican Congress (COMRob),1,10.1109/COMRob60035.2023.10349747,Q-learning vehicle navigation traffic
