idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source
0,Real-time deep reinforcement learning based vehicle navigation,yes,the xv and yv represent the location of the agent and its destination,none,Another potential future work is to use transfer learning and domain adaptation techniques to fill the gap,none,"the state is defined as a vector with [me, ne, le, xv, yv]",step-wise,the reward function rs is set in an instant reward manner that can be formulated as rst = -(Tst+1 -Tst),individual,The goal of each reinforcement learning agent is to drive its vehicle to reach its destination as quickly as possible,implicit-100%,"the agents could, therefore, make automated real-time navigation decisions that minimize the travel time to reach their destination",enforced,the actions are discrete values corresponding to the decisions of navigating vehicle to m connected edges from the current edge,DQN (Double DQN + Dueling DQN + Prioritized Experience Replay),full-text
1,A reinforcement learning-based routing algorithm for large street networks,yes,"The state of an agent contains the current node and target node, which allows the agent to recognize that state",domain-rand,We reset the environment in every training epoch to randomly sample a different node pair as the start node and destination node for generalization purposes,none,the states include two parts: graph observation and flooding observation,step-wise,R = 1 + rflood if current node == target node; rflood otherwise,individual,the main goal of our evacuation routing problem is to reach the destination safely,implicit-100%,An agent performs an action to receive an updated state to observe the environment and prepare for the next action,action-masking,"we designed an action mask method to avoid invalid actions affecting our policy network, which masks all invalid actions in each state",PPO (policy gradient),full-text
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,no,"oi consists of two components, namely node and time, i.e., oi = (n, t)",other,we broadly categorize agents into C groups and enable Q function sharing within each group,none,Environmental state s consists of some global information such as distribution of agents and traffic condition on each link,step-wise,"rt'(s, a, s') = -(t' - t), i.e., negative travel time",individual,every traveler is a self-interest agent who aims to maximize individual accumulative rewards or minimize individual cost,explicit,human-driven vehicles with intelligent navigation systems where human drivers follow the navigation instructions completely,enforced,the allowable action set for agent i ... consists of all outbound links from node n,MARL (mean-field multi-agent deep Q-learning),full-text
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,yes,Xdest and Ddest are encodings that represent the destination intersection and the direction of the destination lane to that intersection,graph-inductive,we perform a message-passing neural network within the ego-graph of manager i to obtain the spatially aggregated states,local-prediction,"we can obtain the driving intention of AVs, such as the current approaching direction and desired destination, which intuitively provide foresight",step-wise,"we select the accumulated travel time since the last action time as the reward, following [13]",mixed,Our task is to improve travel efficiency at the system level through joint control of autonomous vehicles and traffic signals,explicit,"we assume all AVs are under control, while HVs are not",not-enforced,"In a regular intersection without turnarounds, the number of possible actions is 3, including turn-left, turn-right, and go-straight",hierarchical RL (feudal architecture with DQN),full-text
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,yes,"Given a current location S and destination D, for any node x, the estimation function of node x is obtained",none,"Because RL has lower requirements for system prior knowledge, it is good at learning the new traffic scenario",local-prediction,The congestion index is negatively correlated with the expectation for road traffic in the next time period,step-wise,the difference between the distance of two successive decision points is defined as the reward for the corresponding VRA,mixed,"the A*R2 is designed to integrate both system and user perspectives, i.e., to mitigate the traffic congestion of the system and reduce the TT and TD for the users",explicit,"We start with an assumption of a 100% compliance rate, i.e., all vehicles follow the routes provided by the route guidance method completely",enforced,we can expand the intersection node one-to-many according to the actual construction of the intersection,"MARL (modular 2-agent tabular Q-learning, MQ algorithm)",full-text
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,no,we set the edge ID as the stage with the score of their 3 available moves,none,the next stage we will design a neural network to build a Deep Q-Network framework to cope with more complex transportation network,none,we set the edge ID as the stage with the score of their 3 available moves,step-wise,"we give reward when the vehicle arrive edge gneE4 and give punishment if the vehicle enters gneE2, gneE6 and gneE13",individual,This simulation is to show a vehicle learns how to arrive its destination by selecting the right path to avoid traffic congestion,implicit-100%,Reinforcement learning make action move that based on q-table,not-enforced,"If vehicle enters to a new edge that not covered in the q-table, we will record the edge ID as a new record and assign it moves randomly",Q-learning (tabular),full-text
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,yes,it includes the longitudinal position and lateral position of the current and destination for the AV agent,none,"each agent learned independently like a single agent, and that the environment used was simple as it considered only four-way intersections",none,state sn was defined as an efficient representation of the current traffic conditions,step-wise,rn = w*dsn -(1-w)*ddn,individual,The goal of each AV agent is to drive in a direction that changes toward the destination as quickly and optimally as possible,implicit-100%,"Each AV is considered a DRL agent and is defined by v, which allows the AVs to interact with the environment and learn the policies to reach their destination",enforced,"the set of action is dependent on the structure of the considered intersections. In this paper, we considered four-way intersections",DQN,full-text
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,yes,a vehicle or agent is ready to travel through this network with a predetermined origin-destination (OD) pair,none,we consider and calculate three alternative routes at the departure time of each agent via a routing plan identification algorithm,none,"the state space as a combination of the estimated travel time, the total number of vehicles, and the total length of vehicles",step-wise,the reward function is defined as rt = -Δt plus some penalty to prevent frequent switching between alternative routes,individual,the objective has always been to navigate vehicles toward the destination within the shortest time possible,implicit-100%,a DQN as the policy network can then be trained iteratively by interacting with the simulation until convergence,action-masking,we further combine an action masking technique with the previously mentioned DQN algorithm... we mask those infeasible actions that the agent need not explore,DQN,full-text
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,yes,Di indicates the relative distance from the current position to destination compared to the OD-distance at time step i,transfer,incorporating transfer learning scheme that enables the DRL model of TLARG to converge even in a wide-area urban road network,local-prediction,"PR,S,L_i describes the predicted speed values of subsequent road links connected to the road link where the agent is located",predicted,"the prediction reward rt,prediction is designed to enhance the reliability of route guidance service by reducing the variability of ETA",individual,"the reward function ri consists of four parts, including distance reward, time reward, prediction reward, and trip completion reward",implicit-100%,"The route choice of DRL agent is based on an action space (A), where actions are encoded as discrete values",enforced,"The timing of APi is calculated by the decision area di, which depends on the minimum distance mi",PDDQN (Prioritized Experience Replay-based Double DQN),full-text
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,yes,the RL-TPVR specifies the estimated vehicle location lt in one-dimensional space by using the Euclidean distance (ED) between the estimated vehicle location and destination,none,the proposed routing algorithm does not contain any non-recurrent traffic congestion cases when training the neural networks,local-prediction,Pt describes a set of predicted mean speeds for subsequent links connected to the link at which the agent is located,predicted,"the prediction reward rt,prediction is intended to consider travel time variability",individual,"The agent refers to the ego vehicle, which is provided with a navigation service generated from an optimal policy",implicit-100%,The ego vehicle receives routing guidance and takes action to reach its destination with the shortest travel time,enforced,The action space varies with the number of links connected to the current link at which the ego vehicle is located,PDDQN (Prioritized Experience Replay-based Double DQN),full-text
