title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
Spatio-temporal feature fusion for dynamic taxi route recommendation via deep reinforcement learning,"Abstract Dynamic taxi route recommendation aims at recommending cruising routes to vacant taxis such that they can quickly find and pick up new passengers. Given citizens’ giant but unbalancing riding demand and the very limited taxis in a city, dynamic taxi route recommendation is essential for its ability to alleviate the waiting time of passengers and increase the earning of taxi drivers. Thus, in this paper we study the dynamic taxi route recommendation problem as a sequential decision-making problem and we design an effective two-step method to tackle it. First, we propose to consider and extract multiple real-time spatio-temporal features, which are related with the easiness degree of vacant taxis picking up new passengers. Second, we design an adaptive deep reinforcement learning method, which learns a carefully designed deep policy network to better fuse the extracted spatio-temporal features such that effective route recommendation can be done. Extensive experiments using real-world data from San Francisco and New York are conducted. Comparing with the state-of-the-arts, our method can increase at least 15.8% of average earning for taxi drivers and reduce at least 29.6% of average waiting time for passengers.",,2020,Knowledge-Based Systems,,61.0,old,0.0,2,borderline
Integrated Routing and Traffic Signal Control for CAVs via Reinforcement Learning Approach,"Incorporating Connected and Automated Vehicles (CAVs) into urban traffic networks presents opportunities and challenges for traffic management systems. This paper aims to develop an integrated routing and traffic signal control system designed explicitly for CAVs, utilizing a Reinforcement Learning (RL) approach. The objective is to enhance traffic flow and improve overall transportation efficiency in the controlled areas. We propose an innovative framework that employs the Deep Reinforcement Learning (DRL) algorithm, especially the Deep Q-network (DQN), to dynamically adjust the number of vehicles in the routes and the duration of traffic signals. Our simulation results demonstrate that a DQN agent successfully optimizes the number of vehicles in the routes and traffic signal timings of traffic signal controllers, eventually reducing total travel time. The study illustrates the potential usage of RL-based systems in managing routing and traffic signals for CAVs, offering a promising opportunity for future urban traffic management strategies.",,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),,1.0,old,0.0,23,borderline
Using Topological Statistics to Bias and Accelerate Route Choice: Preliminary Findings in Synthetic and Real-World Road Networks,,,2016,ATT@IJCAI,,11.0,old,0.0,28,borderline
A hierarchical deep reinforcement learning method for solving urban route planning problems under large-scale customers and real-time traffic conditions,"Abstract As urbanization and economic growth advance, large-scale customers and real-time traffic conditions have become crucial factors in urban route planning. Deep reinforcement learning is considered the most effective method for solving urban route planning problems involving large-scale customers and real-time traffic conditions. Due to memory usage limitations, existing deep reinforcement learning methods cannot identify candidate customers or determine optimal travel routes in large-scale and real-time environments. To tackle these problems, this study introduces a hierarchical deep reinforcement learning method utilizing an improved transformer model (HDRLITF) based on the divide-and-conquer concept. Graph attention networks and gate mechanisms are integrated into the transformer model to capture dynamic features and improve the model’s performance. A two-stage training method, based on the actor-critic algorithm, is proposed to determine the optimal policy function. To evaluate the HDRLITF method, experiments were conducted using datasets from the cities of Shenzhen and Chengdu in China. The experimental results suggest that the HDRLITF method can effectively interact with real-time traffic environments and obtain high-quality solutions compared to other deep reinforcement learning methods. The robustness and reliability of HDRLITF were further validated across multiple traffic scenarios and indicators.",,2024,International Journal of Geographical Information Science,,9.0,old,1.0,30,borderline
Deep neural network dynamic traffic routing system for vehicles,,,2018,International Symposium on Computer Vision,,18.0,old,0.0,43,borderline
Multiagent-based cooperative vehicle routing using node pressure and auctions,,,2017,2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),,5.0,old,0.0,48,borderline
Reinforcement Learning for Dynamic Traffic Routing and Optimization,"This paper addresses the rapidly evolving and expanding needs of network traffic with new methods, most notably Reinforcement Learning (RL). The RL has shown significant potential in addressing the challenges of dynamic traffic routing and optimization. Despite the complexity of adapting to varying network conditions, techniques such as deep RL and multi-agent systems have been proposed to enhance network efficiency. However, the challenges persist, including the scalability of these algorithms and their adaptability to real-time changes. This research aims to address these challenges by proposing a robust RL framework that not only adapts to dynamic traffic conditions but also scales effectively across large network infrastructures. Our research raises important questions: How effective are RL algorithms? What effect do reward functions have? How do they handle big networks? Are these models flexible enough to adjust? One goal of the research, then is to test all RL methods designed for online traffic direction in real time; examine their merits and problems when applied on large networks; discover whether they could be used under various network conditions or if only certain traffic patterns would work well with them. It should also seek out possible ways RL algorithms might increase overall network performance, as well as look at security issues This study is important because it could revolutionize how we manage network traffic. It means better, stronger and more reliable networks with RL, we can develop routing protocols that are flexible and distributed to overcome changing network circumstances as well as reach different destinations or satisfy various restraints.",,2024,ICICT 2024,,0.0,both,1.0,55,borderline
Route Planning and Power Management for PHEVs With Reinforcement Learning,"In this article, we propose a novel control scheme for route planning with power management for plug-in hybrid electric vehicles (PHEVs). By considering the power management of PHEVs, we aim to find the route that leads to the minimum energy consumption. The scheme adopts a two-loop structure to achieve the control objective. Specifically, in the outer loop, the minimum energy consumption route is obtained by minimizing the difference between the value function of current round and the best value from all previous rounds. In the inner loop, the energy consumption index with respect to PHEV power management for each feasible route is trained with reinforcement learning (RL). Under the RL framework, a nonlinear approximator structure, which consists of an actor approximator and a critic approximator, is built to approximate control actions and energy consumption. In addition, the convergence of value function for PHEV power management in the inner loop and asymptotical stability of the closed-loop system are rigorously studied. Using Toyota Prius as the vehicle model and planning its route in a city with various navigation ranges, we demonstrate the effectiveness of the proposed control scheme with simulation studies.",,2020,IEEE Transactions on Vehicular Technology,,41.0,old,0.0,70,borderline
Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,,,2025,International Journal of Intelligent Transportation Systems Research,,1.0,old,0.0,73,borderline
Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,"Intersection control systems have been actively studied in recent years as they could potentially replace traffic signals via the utilization of the communication and automatic driving capabilities of connected and autonomous vehicles (CAVs). In these studies, conflicting travel trajectories at intersections that could cause accidents and delays were safely and efficiently avoided by controlling the vehicle’s speed. However, routing approaches for avoiding conflicts at intersections have only been discussed in a few studies. To investigate the feasibility of avoiding intersection conflicts through network-level route allocation, we propose a cooperative route allocation model using reinforcement learning than can model the relationship between the complex traffic environment and optimal route solutions. Models aimed at decreasing the total travel time and those with high delay importance owing to conflicts in travel times were trained and verified under multiple traffic conditions. The results indicate that our model effectively allocates vehicles to their optimal routes, reducing the number of intersection conflicts and decreasing the average travel time by up to approximately 40 s compared to random allocation, demonstrating the potential of reinforcement learning for cooperative route allocation in the management of multiple vehicles.",,2024,Future Transportation,,0.0,old,0.0,77,borderline
