paperId,title,year,venue,citationCount,doi,query
82af7c0c1298c4b2ceb9ac93dafeece50cc59b31,Smart E-Learning Framework for Personalized Adaptive Learning and Sequential Path Recommendations Using Reinforcement Learning,2023,IEEE Access,61,10.1109/ACCESS.2023.3305584,path recommendation deep reinforcement learning traffic network
ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
c328b70aba55d71fe03da0acfa6cb07914286729,Deep Reinforcement Learning Algorithm for Dynamic Pricing of Express Lanes with Multiple Access Locations,2019,Transportation Research Part C: Emerging Technologies,43,10.1016/j.trc.2020.102715,deep reinforcement learning route guidance
d595a84ab844cb536c7644fa7758d3b3cd3c92e5,Resilience Analysis of Urban Road Networks Based on Adaptive Signal Controls: Day-to-Day Traffic Dynamics with Deep Reinforcement Learning,2020,Complex,38,10.1155/2020/8841317,deep reinforcement learning traffic assignment network
2f0de127ad2ca488cda86d77d4274bf945a8f837,Multi-objective reinforcement learning approach for trip recommendation,2023,Expert systems with applications,37,10.1016/j.eswa.2023.120145,trip recommendation deep reinforcement learning
3a1aa29af262b531b9e063d377b895db63058b74,An efficient route planning model for mobile agents on the internet of things using Markov decision process,2020,Ad hoc networks,36,10.1016/j.adhoc.2019.102053,Markov decision process route guidance
d907cd9a38edd6d0e7814c2841337707fc7fbab9,Learning Path Recommendation Based on Knowledge Tracing Model and Reinforcement Learning,2019,2019 IEEE 5th International Conference on Computer and Communications (ICCC),34,10.1109/ICCC47050.2019.9064104,personalized route recommendation reinforcement learning
e28041771f751941ae7d4ebc691da1d80e5189c4,Q-Learning-Based Coordinated Variable Speed Limit and Hard Shoulder Running Control Strategy to Reduce Travel Time at Freeway Corridor,2020,Transportation Research Record,21,10.1177/0361198120949875,dynamic traffic assignment reinforcement learning
46199b54a4856432fab632fcd34ff9ab996e3f84,Learning to Minimise Regret in Route Choice,2017,Adaptive Agents and Multi-Agent Systems,19,10.65109/edgy8635,reinforcement learning adaptive route guidance transportation
60433604068d03529a989e1460c64a1503d4c3a5,TERL: Two-Stage Ensemble Reinforcement Learning Paradigm for Large-Scale Decentralized Decision Making in Transportation Simulation,2023,IEEE Transactions on Knowledge and Data Engineering,18,10.1109/TKDE.2023.3272688,reinforcement learning adaptive route guidance transportation
338da3b2ea247e81604da122bf95833b12734797,Intelligent Traffic Network Control in the Era of Internet of Vehicles,2021,IEEE Transactions on Vehicular Technology,17,10.1109/TVT.2021.3105478,deep reinforcement learning dynamic routing traffic
92c2ae2b012ea0b62b35e6b6c1f46cdd7a798055,Mobile Agents for Route Planning in Internet of Things Using Markov Decision Process,2018,2018 IEEE International Conference on Smart Energy Grid Engineering (SEGE),16,10.1109/SEGE.2018.8499517,Markov decision process route guidance
2cb84d584e991af9981be52c9f958512082a2e58,Improved Route Selection Approaches using Q-learning framework for 2D NoCs,2015,MES@ISCA,15,10.1145/2768177.2768180,Q-learning route guidance
cb5a6ad8341182b70b9c6f5626656233710eea51,Reinforcement learning based route optimization model to enhance energy efficiency in internet of vehicles,2025,Scientific Reports,15,10.1038/s41598-025-86608-5,route recommendation reinforcement learning vehicle
7cbbe64fdae8be242041403509d57ef521ac5762,Toll-Based Learning for Minimising Congestion under Heterogeneous Preferences,2020,Adaptive Agents and Multi-Agent Systems,15,10.65109/dzcu8586,reinforcement learning route choice
