paperId,title,year,venue,citationCount,abstract,source,pre_score
oa_W4415552817,"A reinforcement learning approach for the dynamic vehicle routing and scheduling problem with stochastic request times and time-dependent, stochastic travel times",2025,Transportation Research Part C Emerging Technologies,1,"• A reinforcement learning approach deals with stochastic request times and time-dependent, stochastic travel times simultaneously. • A dynamic spatial-temporal multi-pointer model with reinforcement learning is used for real-time decision. • Flexible vehicle departures and dynamic routes minimize time cost, lateness and unserved customers. • Our approach outperforms benchmarks with excellent generalization across scenarios without requiring additional training. The dynamic vehicle routing and s",openalex_journals,3
oa_W4407212637,A Cost-Aware Adaptive Bike Repositioning Agent Using Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,2,"Bike Sharing Systems (BSS) represent a sustainable and efficient urban transportation solution. A major challenge in BSS is repositioning bikes to avoid shortage events when users encounter empty or full bike lockers. Existing algorithms unrealistically rely on precise demand forecasts and tend to overlook substantial operational costs associated with reallocations. This paper introduces a novel Cost-aware Adaptive Bike Repositioning Agent (CABRA), which harnesses advanced deep reinforcement lea",openalex_journals,3
oa_W4409641082,Rapid Solution for Flexible Pickup and Delivery Services Problem Based on Improved Actor-Critic Deep Reinforcement Learning,2025,IEEE Transactions on Intelligent Transportation Systems,1,"The problem of the Flexible Pickup and Delivery Services Problem (FPDSP) arises from the actual needs of multi-warehouse management strategies and is one of the key challenges in the current urban distribution logistics industry. The problem aims to quickly calculate the route planning in complex scenarios to ensure that the total traveling time of the vehicle is minimized while meeting the time window requirements. To address this problem, we propose a deep reinforcement learning method based o",openalex_journals,3
oa_W4411232299,Hierarchical Reinforcement Learning-Based Distributed Fault-Tolerant Control for 2-D Plane Vehicular Platoon Systems,2025,IEEE Transactions on Vehicular Technology,0,"This paper investigates the distributed fault-tolerant control (DFTC) problem for two-dimensional (2-D) plane vehicular platoon systems (VPS) with asynchronous steering and spacing requirements. Each vehicle in the VPS is subject to time-varying unknown direction actuator faults (UDAF) and unknown uncertainties, including nonlinear unmodeled dynamics and external disturbances. These challenges are addressed by the proposal of a novel hierarchical reinforcement learning-based DFTC framework with ",openalex_journals,3
oa_W4399154703,The Dynamic Pickup and Allocation with Fairness Problem,2024,Transportation Science,6,"Urban logistic applications that involve pickup and distribution of goods require making routing and allocation decisions with respect to a set of sites. In cases where the supply quantities and the time in which they become available are unknown in advance, these decisions must be determined in real time based on information that arrives gradually. Furthermore, in many applications that satisfy the described setting, fair allocation is desired in addition to system effectiveness. In this paper,",openalex_journals,3
oa_W4394618572,A reinforcement learning framework for improving parking decisions in last-mile delivery,2024,Transportmetrica B Transport Dynamics,4,"This study leverages simulation-optimisation with a Reinforcement Learning (RL) model to analyse the routing behaviour of delivery vehicles (DVs). We conceptualise the system as a stochastic k-armed bandit problem, representing a sequential interaction between a learner (the DV) and its surrounding environment. Each DV is assigned a random number of customers and an initial delivery route. If a loading zone is unavailable, the RL model is used to select a delivery strategy, thereby modifying its",openalex_journals,3
oa_W4404177983,Enhancing High-Speed Cruising Performance of Autonomous Vehicles Through Integrated Deep Reinforcement Learning Framework,2024,IEEE Transactions on Intelligent Transportation Systems,76,"High-speed cruising scenarios with mixed traffic greatly challenge the road safety of autonomous vehicles (AVs). Unlike existing works that only look at fundamental modules in isolation, this work enhances AV safety in mixed-traffic high-speed cruising scenarios by proposing an integrated framework that synthesizes three fundamental modules, i.e., behavioral decision-making, path-planning, and motion-control modules. Considering that the integrated framework would increase the system complexity,",openalex_journals,3
oa_W4385603493,Route planning for last-mile deliveries using mobile parcel lockers: A hybrid q-learning network approach,2023,Transportation Research Part E Logistics and Transportation Review,46,"Mobile parcel lockers (MPLs) have been recently proposed by logistics operators as a technology that could help reduce traffic congestion and operational costs in urban freight distribution. Given their ability to relocate throughout their area of deployment, they hold the potential to improve customer accessibility and convenience. In this study, we formulate the Mobile Parcel Locker Problem (MPLP), a special case of the Location-Routing Problem (LRP) which determines the optimal stopover locat",openalex_journals,3
oa_W4389309315,Dynamic Courier Capacity Acquisition in Rapid Delivery Systems: A Deep Q-Learning Approach,2023,Transportation Science,22,"With the recent boom of the gig economy, urban delivery systems have experienced substantial demand growth. In such systems, orders are delivered to customers from local distribution points respecting a delivery time promise. An important example is a restaurant meal delivery system, where delivery times are expected to be minutes after an order is placed. The system serves orders by making use of couriers that continuously perform pickups and deliveries. Operating such a rapid delivery system i",openalex_journals,3
oa_W4226280735,Learning Interaction-Aware Guidance for Trajectory Optimization in Dense Traffic Scenarios,2022,IEEE Transactions on Intelligent Transportation Systems,30,"Autonomous navigation in dense traffic scenarios remains challenging for autonomous vehicles (AVs) because the intentions of other drivers are not directly observable and AVs have to deal with a wide range of driving behaviors. To maneuver through dense traffic, AVs must be able to reason how their actions affect others (interaction model) and exploit this reasoning to navigate through dense traffic safely. This paper presents a novel framework for interaction-aware motion planning in dense traf",openalex_journals,3
