ref,title,gamma,sentence
[19],Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,unc,
[20],Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,unc,
[22],Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,unc,
[23],Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,unc,
[24],Meta-deep q-learning for eco-routing,0.99,"pply. facilitates meta-learning. We apply the same technique to our learning rate = 10-3, discount factor ߛ = 0.99 (refer to DQL-based meta-learning. Furthermore, compared to policy Algorithm 1). The deep"
[25],DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,unc,
[27],Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,unc,
[28],Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,0.1,ochastic gradient descent (SGD) is sampled from this number of the most recent states (V) Gamma 0.1 The discount rate used in Equation (10) Target network update frequency 2 The frequency w
[29],Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,unc,
[30],Connected vehicles' dynamic route planning based on reinforcement learning,unc,
[31],Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,unc,
[33],Sharing diverse information gets driver agents to learn faster: an application in en route trip building,0.9,"As for the discount factor γ, we have performed extensive tests and found that a value of γ = 0.9 performs best. For the epsilon-greedy action selection, empirical analysis pointed to usi"
[35],Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,0.95,sformation step boundary 2. 3125 ε2 Exploration probability of agents’ choice of actions. 0.1 γ Attenuation factor. 0.95 lr1 Learning rate (actors). 0.0001 lr2 Learning rate (critics).
[36],Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,0.99,tch-norm False gradient-clipping-norm 5 buffer-size 10000 num-new-exp-to-learn 1 tau 0.01 discount rate 0.99 epsilon-decay-rate- stop-exploration- num episodes/100 num-eps-10 denom episode linear-hi
[37],Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,unc,
[38],Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,0.99,"hidden layer with 128 neurons. The congestion and smoother vehicle movement. In addition, discount factor is configured as 0.99, the learning rate for the Average Distance Traveled (Avtd) indicates the optimi- agents"
[39],GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,unc,
[48],A reinforcement learning-based routing algorithm for large street networks,unc,
[49],Reinforcement Learning for Vehicle Route Optimization in SUMO,0.1,"arget - the vehicle on the left finds his way to destination or stuck in q_predict) where discount factor is 0.1, q_target is the reward the congestion. The vehicle starts from edge “gneE0”, aim to or p"
