idx,title,decision,rationale
2,Spatio-temporal feature fusion for dynamic taxi route recommendation via deep reinforcement learning,exclude,"Vacant-taxi cruising to find a passenger has no specified destination at decision time; this is a patrol/search problem, not OD route guidance."
23,Integrated Routing and Traffic Signal Control for CAVs via Reinforcement Learning Approach,exclude,"Abstract describes adjusting the aggregate number of vehicles assigned to routes and signal timing, a macroscopic flow-assignment and signal-control system, not a per-vehicle sequential next-link decision."
28,Using Topological Statistics to Bias and Accelerate Route Choice: Preliminary Findings in Synthetic and Real-World Road Networks,exclude,"Already discussed in Section II as adjacent behavioral route-choice literature (Stefanello et al., cited as background, not corpus)."
30,A hierarchical deep reinforcement learning method for solving urban route planning problems under large-scale customers and real-time traffic conditions,exclude,"Abstract frames the problem as identifying candidate customers and routes at large scale, a fleet/customer-dispatch problem resembling VRP rather than a single vehicle's OD trip."
43,Deep neural network dynamic traffic routing system for vehicles,unresolved,"No abstract available; venue (Intl. Symposium on Computer Vision) suggests a possible vision-focused paper, but title alone is insufficient to confirm or exclude."
48,Multiagent-based cooperative vehicle routing using node pressure and auctions,unresolved,"No abstract available; auction-based multiagent routing may indicate fleet task-allocation (VRP-like), but this cannot be confirmed from the title alone."
55,Reinforcement Learning for Dynamic Traffic Routing and Optimization,exclude,"Abstract discusses 'network traffic', 'routing protocols', and scaling 'across large network infrastructures' in a venue focused on information and communication technology; this reads as computer-network routing, not road-vehicle routing."
70,Route Planning and Power Management for PHEVs With Reinforcement Learning,include_pending_fulltext,"Single-vehicle route planning minimizing energy consumption for a specific vehicle model in a city network; matches the corpus's existing energy-aware routing pattern."
73,Enhancing Emergency Vehicle Navigation in Smart Traffic Squares with Reinforcement Learning and Accurate Traffic Sense Recommendations,unresolved,"No abstract available; title suggests a single emergency-vehicle navigation system consistent with corpus scope, but this cannot be confirmed without further text."
77,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,include_pending_fulltext,"Cooperative route allocation for multiple vehicles via reinforcement learning; matches the corpus's existing multi-agent route-optimization (MARL) pattern."
78,eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,exclude,"Title states the objective is EV charging route planning, the excluded EV-charging-scheduling category."
85,Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,exclude,"Abstract reports only generic algorithm-performance percentages with no described road network, simulation environment, or MDP formulation; insufficient evidence of an in-scope routing system."
105,A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles,exclude,"EV charging navigation for a fleet of vehicles coupled to a charging-station network, the excluded EV-charging-scheduling category."
115,Deep Reinforcement Learning for EV Charging Navigation by Coordinating Smart Grid and Intelligent Transportation System,exclude,"EV charging navigation minimizing charging cost and station wait time, the excluded EV-charging-scheduling category."
127,Time-Driven and Privacy-Preserving Navigation Model for Vehicle-to-Vehicle Communication Systems,exclude,"Abstract does not state a reinforcement-learning or MDP formulation; described as a differentially private distributed navigation model, not clearly a DRL system."
150,A Dynamic Cooperative Ramp Metering and Navigation Guidance Approach Based on Heterogeneous-Agent Reinforcement Learning,exclude,"Primary system couples ramp metering (a network-level demand/supply traffic-control measure) with route generation; the routing component is secondary to network-level flow control."
159,A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning,exclude,"Primary framing and evaluation metrics concern age-of-information and communication-resource allocation; vehicular path planning is a coupled secondary objective in a wireless-networking paper."
161,A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,include_pending_fulltext,"Single-vehicle path planning on an urban road network using an RL/imitation-learning hybrid; matches corpus scope."
178,SG-GAN for Electric Vehicle Road Networks and Q-Learning in Energy Efficient Routing,exclude,"Routing is jointly optimized with EV-to-charging-station association for multiple EVs; charging-station assignment is a prominent part of the objective, placing this in the EV-charging-scheduling category."
186,Optimizing Intersection Navigation With Multishot Update Mechanism: A Real-Time Distributed Reinforcement Learning for Ground and Aerial Moving Objects,exclude,"Explicitly includes unmanned aerial vehicles among the moving objects addressed, the excluded UAV category."
206,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,include_pending_fulltext,"Multi-vehicle path planning and route optimization via heterogeneous-agent RL; matches the corpus's existing MARL route-optimization pattern."
234,A Bilevel Graph Reinforcement Learning Method for Electric Vehicle Fleet Charging Guidance,exclude,"Title and abstract state the objective is EV fleet charging guidance, the excluded EV-charging-scheduling category."
270,Deductive Reinforcement Learning for Visual Autonomous Urban Driving Navigation,exclude,"Vision-based goal-directed driving navigation in a driving simulator; framed around perception and safe control rather than road-network link-level route choice."
279,Decision-Making for Autonomous Vehicles in Multi-Scenarios With Global Map Model and Dynamic Safe Topological Structure,exclude,"Abstract does not state a reinforcement-learning formulation (state-value function and state-transition matrix are described without an RL algorithm); framed as a global-plus-local driving-decision framework rather than a corpus-scope DRL routing system."
291,Real-Time Coordinated Operation of Power and Autonomous Electric Ride-Hailing Systems,exclude,"Coordinates routing and charging for a fleet of autonomous electric ride-hailing vehicles; combines EV charging scheduling and fleet dispatch, both excluded categories."
294,Harvesting the Flexibility of Autonomous Mobility-on-Demand System to Enhance Distribution Network Operation,exclude,"Coordinates fleet routing and charging schedules for an AMoD fleet; EV charging scheduling and fleet dispatch, both excluded categories."
300,Q-Cogni: An Integrated Causal Reinforcement Learning Framework,exclude,"Applied explicitly to vehicle routing problem (VRP) environments including multi-stop taxi trip data, the excluded VRP category."
322,Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,exclude,"Plans multi-stop tourist itineraries across scenic spots for a travel-recommendation service; a multi-stop itinerary-recommendation problem, not a single-OD vehicle trip."
357,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,include_pending_fulltext,"Single-agent sequential path-planning system for a rescue vehicle reaching disaster-affected areas; matches the corpus's existing emergency-vehicle routing pattern."
390,Explanation-Aware Experience Replay in Rule-Dense Environments,exclude,"A general experience-replay RL methods paper that uses driving as one example domain among several; does not describe a road-network OD routing system."
485,Artificial Intelligence Enabled Future Wireless Electric Vehicles with Multi-Model Learning and Decision Making Models,exclude,"Broad multi-component autonomous-driving framework (localization, high- and low-level path planning, power and speed control); route guidance is one of many components, not the paper's routing-specific contribution."
499,A Path Planning Model for Urban Firefighting Integrating Visual Geometry Group and Deep Q-network,exclude,"Vision-based (VGG feature extraction) path planning for an agent navigating a simulated environment; reads as image-based local path planning rather than road-network-level route choice."
548,An Intelligent Vehicle Path Planning Algorithm Integrating Artificial Potential Field Guidance and D3QN,exclude,"Artificial-potential-field-guided path planning without a described city or road-network context; consistent with a local/grid path-planning benchmark rather than road-network OD routing."
606,Research on Path Planning Algorithm Based on the Integration of Ant Colony Algorithm and AI Decision,exclude,"Generic path-planning benchmark without a described road network or OD structure."
