corpus_idx,ref_no,title,verdict,decision_variable_evidence
94,125,Route Planning and Power Management for PHEVs With Reinforcement Learning,IN,"outer-loop route decision at road intersections: a(k) = [Te,des(k) s(k) direc(k)] includes direction direc(k); the energy consumption index ... for each feasible route is trained with reinforcement learning"
95,126,Preliminary Study on Cooperative Route Planning Reinforcement Learning ...,IN,network-level route allocation: the actor allocated it to Route A or B
97,128,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization ...,IN,"xij is a binary decision variable, where xij in {0,1} indicates whether the road segment ei,j is used in the vehicle's path"
98,129,Disaster-Aware Path Planning Based on Reinforcement Learning ...,IN,the action space can be defined as the possible next nodes in each of the eight directions from the current node [road-network nodes]
99,130,Reinforcement Learning-based Unpredictable Emergency Events,IN,action = next-cell direction toward the incident position on a discretized network; no vehicle-control action
101,132,Energy Optimal Route Planning Framework for Electric Vehicles ...,IN,every swarm agent is the candidate route path in the form of a sequence of nodes and transitions; route selection accuracy reported
92,116,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,IN,"action = moves to adjacent nodes on the road graph with action masking preventing invalid moves to non-adjacent or previously visited nodes; destination in state; bandwidth/latency enter as edge-cost terms, not as the decision variable"
96,127,A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,OUT,"experiments are batch combinatorial instances: datasets of the traveling salesman problem (TSP), capacitated vehicle routing problem (CVRP) ... and multiple routing with fixed fleet problems (MRPFF) are used to be solved -- excluded class per Sec. III-A (batch VRP assignment)"
103,134,Target-Driven Mapless Navigation for Self-Driving Car,OUT,"PPO is used to derive the continuous control commands, including throttle, steer and brake -- driving-control task, no link/route decision"
80,106,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,OUT,"action space with five possible operations: keep lane, change lane right, change lane left, accelerate, decelerate -- lane/speed control on a looped highway, no route choice"
102,133,GRAND: Graph Laplacian-based Reinforcement Learning for Autonomous Navigation Decisions,OUT,objectives are safety and smoothness with lane-keeping ratio as a primary metric; turn decisions serve driving decision-making rather than OD route optimization
100,131,Robust Navigation under Incomplete Localization Using Reinforcement Learning,OUT,"visual place-recognition navigation over a topological place graph under localization uncertainty; the agent and literature are mobile-robot navigation, not road-vehicle route guidance"
73,122,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,OUT,"system evaluates collision prevention, trajectory deviation, and safety margin with LiDAR/RGB sensing in CARLA+SUMO; decision level is motion/trajectory navigation, no link- or route-level decision variable stated"
4,31,Urban Traffic Route Guidance Method With High Adaptive Learning Ability,IN-infrastructure,learned action adjusts road weights (free-flow TT multipliers); each guided vehicle receives an individual route computed from the adjusted weights (SP/DSP/DRkSP comparisons are per-vehicle route computations)
18,54,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations,IN-infrastructure,"road agents set decisive weights; for each rerouted vehicle, the k shortest paths are calculated using road weights"
30,62,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,IN-infrastructure,fog agents act on road indices; the K shortest alternative routes are generated based on the road weights Wr and assigned per rerouted vehicle via EBkSP
35,83,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework,IN-infrastructure,each fog node has a discrete action space representing the potential road index of the area; EBkSP dynamically reroutes individual vehicles
37,34,Real-time system optimal traffic routing under uncertainties (TransRL),IN-infrastructure,assigns routes for a portion of vehicles; the learned assignment is applied to individually simulated controllable vehicles that each receive a route
44,85,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,IN-infrastructure,"after determining the actual road weight of the network, EBkSP is used to calculate routes for each RV based on their current position"
62,41,Proactive Urban Expressway Guidance (TP-RLNG),IN-infrastructure,the action is the route division/distribution of vehicles among the feasible paths of the corresponding primary OD; divisions are executed by individually simulated vehicles
97,128,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization,IN-infrastructure,RSU agents adjust rerouting ratios; the KSP algorithm is applied to find the k-shortest paths from the origin O to the destination D for each vehicle
