include	paperId	title	year	venue	citationCount	source	pre_score
n/a	ea0485b9dcfbc214d40d2722a30957a4dedba15c	Dynamic Graph Network with Spatial-Temporal Gated Attention: A Deep Reinforcement Learning Approach for Urban Logistics Optimization	2025	Cybersecurity and Cyberforensics Conference	0	gnn_rl	3
n/a	a0ac1a1bd6a997f7b5ba36e1304b9747af0c1214	AI?Infused Evolutionary Optimization for Multi?Depot Vehicle Routing: A Case Study of Beverage Distribution	2025	Concurrency and Computation	0	gnn_rl	3
n/a	20fae8b8dcd897fde681d2802d99e32fbf93144f	A Reinforcement Learning Hyper-Heuristic with Cumulative Rewards for Dual-Peak Time-Varying Network Optimization in Heterogeneous Multi-Trip Vehicle Routing	2025	Algorithms	1	gnn_rl	3
n/a	6c9ef44fe8f24a29b032a2bf0ee469fa57f69df0	Intelligent QV2X Routing for Traffic Management in Consumer IoV Using STGNN and Reinforcement Learning	2025	IEEE transactions on consumer electronics	4	gnn_rl	3
n/a	a1d975d860d60e499c0814431c8ebc8883a57719	Optimizing Heterogeneous Capacitated Vehicle Routing with Linformer and Multi-Relationship Decoding: A Deep Reinforcement Learning Approach	2025	Transportation Research Record	0	gnn_rl	3
n/a	b7e2ec71ea21081227387b86715b19103b282fcc	Research on Dynamic Waste Collection Routing Optimization Based on Deep Learning and Incremental Reinforcement Learning	2025	2025 6th International Conference on Computer Engineering and Intelligent Control (ICCEIC)	0	gnn_rl	3
n/a	8aef11c516c256cef48436b3e3a2abe74e4edf26	A deep reinforcement learning approach for flexible multipath routing using graph neural networks	2025	MATEC Web of Conferences	1	gnn_rl	3
0	91d0a23661f4476333fac8c3f0ebd5793f419ca1	Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic	2025	"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)"	1	gnn_rl	3
n/a	4579f1fed8675a37c15b1bbaba28ff61cee712b5	A Hybrid Deep Reinforcement Learning and Graph Neural Network Approach for Multi-objective Waste Transportation Optimization	2025	International Conference on Advances in Computing and Artificial Intelligence	0	gnn_rl	3
0	d31998f5c01cb444583cfe575fb366d48752219b	Graph Deep Reinforcement Learning for Electric Vehicle Charging Navigation Considering Power-Transportation Interactions	2025	IEEE Power & Energy Society General Meeting	0	gnn_rl	3
n/a	f2fc60b6cbd6bb62ee5f232f8ad8cfd546c0f195	Rapid Solution for Flexible Pickup and Delivery Services Problem Based on Improved Actor-Critic Deep Reinforcement Learning	2025	IEEE transactions on intelligent transportation systems (Print)	3	gnn_rl	3
n/a	95e3e387b74f4dfe3809f4ee615495b1a90950eb	A Deep Reinforcement Learning and Graph Convolution Approach to On-Street Parking Search Navigation	2025	Italian National Conference on Sensors	3	gnn_rl	3
n/a	85317048752487e06ba31239eb5b4233c4337242	Bridging Deep Reinforcement Learning and Motion Planning for Model-Free Navigation in Cluttered Environments	2025	arXiv.org	3	gnn_rl	3
n/a	d48e3a6775c7fe68068f781b4c985b3a0cdf1f71	A Cost-Aware Adaptive Bike Repositioning Agent Using Deep Reinforcement Learning	2025	IEEE transactions on intelligent transportation systems (Print)	0	gnn_rl	3
n/a	2d002d1013b651de06b8434c4cef20536ccce320	CARLA Autonomous Driving Using Deep Reinforcement Learning	2025	"International Conference Emerging Trends Engineering, Science and Technology"	0	gnn_rl	3
