idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse
0,Real-time deep reinforcement learning based vehicle navigation,yes,the xv and yv represent the location of the agent and its destination,none,Another potential future work is to use transfer learning and domain adaptation techniques to fill the gap,none,"the state is defined as a vector with [me, ne, le, xv, yv]",step-wise,the reward function rs is set in an instant reward manner that can be formulated as rst = -(Tst+1 -Tst),individual,The goal of each reinforcement learning agent is to drive its vehicle to reach its destination as quickly as possible,implicit-100%,"the agents could, therefore, make automated real-time navigation decisions that minimize the travel time to reach their destination",enforced,the actions are discrete values corresponding to the decisions of navigating vehicle to m connected edges from the current edge,DQN (Double DQN + Dueling DQN + Prioritized Experience Replay),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
1,A reinforcement learning-based routing algorithm for large street networks,yes,"The state of an agent contains the current node and target node, which allows the agent to recognize that state and take appropriate action to reach the goal.",domain-rand,We reset the environment in every training epoch to randomly sample a different node pair as the start node and destination node for generalization purposes.,none,,step-wise,A list of the reported flooded depth is traversed and updated for each step during the training step.,individual,the main goal of our evacuation routing problem is to reach the destination safely,implicit-100%,,action-masking,"we designed an action mask method to avoid invalid actions affecting our policy network, which masks all invalid actions in each state.",PPO (policy gradient),full-text,not-addressed,,not-reported,,released,The data and codes are available at https://doi.org/10.6084/m9.figshare.24422143.,"full-text (re-coded, all 10 fields)",Policy-gradient-AC
2,Multi-agent reinforcement learning for Markov routing games: A new modeling paradigm for dynamic traffic assignment,yes,"these agents thus share the same Q function. We denote this Q function as Q60, where the superscript 60 indicates that this Q function is used by agents whose destination is node 60.",context-conditioning,"these agents thus share the same Q function. We denote this Q function as Q60, where the superscript 60 indicates that this Q function is used by agents whose destination is node 60.",none,,step-wise,"rt′(s, a, s′) = −(t′−t), i.e., negative travel time",individual,each selfish agent aims to minimize her own travel time,explicit,human-driven vehicles with intelligent navigation systems where human drivers follow the navigation instructions completely,enforced,"the allowable action set for agent i ∈ {1, 2, · · · , N} consists of all outbound links from node n",MARL (mean-field multi-agent deep Q-learning),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
3,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,yes,Xdest and Ddest are encodings that represent the destination intersection and the direction of the destination lane to that intersection,graph-inductive,we perform a message-passing neural network within the ego-graph of manager i to obtain the spatially aggregated states,local-prediction,"we can obtain the driving intention of AVs, such as the current approaching direction and desired destination, which intuitively provide foresight",step-wise,"we select the accumulated travel time since the last action time as the reward, following [13]",mixed,Our task is to improve travel efficiency at the system level through joint control of autonomous vehicles and traffic signals,explicit,"we assume all AVs are under control, while HVs are not",not-enforced,"In a regular intersection without turnarounds, the number of possible actions is 3, including turn-left, turn-right, and go-straight",hierarchical RL (feudal architecture with DQN),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
4,Urban Traffic Route Guidance Method With High Adaptive Learning Ability Under Diverse Traffic Scenarios,yes,h(x) is a heuristic estimate of the TT between x and destination D,none,,none,,step-wise,the difference between the distance of two successive decision points is defined as the reward for the corresponding VRA,mixed,"the A∗R2 is designed to integrate both system and user perspectives, i.e., to mitigate the traffic congestion of the system and reduce the TT and TD for the users",partial-modeled,"the x% compliance rate indicates that, in each iteration, the probability that each vehicle participates in the new route calculation (perhaps the new route is the same as the original route) is x%",enforced,"each intersection is represented by only one node, the direction of travel between intersections is represented by edges, and the weight of the edges represents a certain cost","MARL (modular 2-agent tabular Q-learning, MQ algorithm)",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
5,Reinforcement Learning for Vehicle Route Optimization in SUMO,no,we set the edge ID as the stage with the score of their 3 available moves,none,the next stage we will design a neural network to build a Deep Q-Network framework to cope with more complex transportation network,none,we set the edge ID as the stage with the score of their 3 available moves,step-wise,"we give reward when the vehicle arrive edge gneE4 and give punishment if the vehicle enters gneE2, gneE6 and gneE13",individual,This simulation is to show a vehicle learns how to arrive its destination by selecting the right path to avoid traffic congestion,implicit-100%,Reinforcement learning make action move that based on q-table,not-enforced,"If vehicle enters to a new edge that not covered in the q-table, we will record the edge ID as a new record and assign it moves randomly",Q-learning (tabular),full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa
6,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,yes,it includes the longitudinal position and lateral position of the current and destination for the AV agent,context-conditioning,it includes the longitudinal position and lateral position of the current and destination for the AV agent,none,,step-wise,we defined the reward function to maximize the driving speed of the AV dsn and minimize the remaining driving distance to the destination ddn,individual,we defined the reward function to maximize the driving speed of the AV dsn and minimize the remaining driving distance to the destination ddn,implicit-100%,,enforced,"The action an of the AV agent represents a set of driving directions at the intersection, including a left turn, a right turn, or a straight one",DQN,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
7,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,no,"we design the state space as a combination of the estimated travel time, the total number of vehicles, and the total length of vehicles for the remaining part of the three alternative routes",none,,none,,step-wise,"a reward r(st, at) is collected from the driving environment, based on which the expected cumulative reward (i.e., the least travel time for the trip in the context of route choice) is to be maximized via the interaction with the environment",individual,"a reward r(st, at) is collected from the driving environment, based on which the expected cumulative reward (i.e., the least travel time for the trip in the context of route choice) is to be maximized",implicit-100%,,action-masking,we mask those infeasible actions that the agent need not explore and perform,DQN,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
8,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,yes,Di indicates the relative distance from the current position to destination compared to the OD-distance at time step i,transfer,"This study proposes a modified MDP formulation to allow the transfer learning scheme to be applied for different urban road networks, even in a wide-area road network.",local-prediction,describes the predicted speed values of subsequent road links connected to the road link where the agent is located at time step i,predicted,"the prediction reward rt,prediction is designed to enhance the reliability of route guidance service by reducing the variability of ETA",individual,"ri = ri,distance + ri,time + ri,prediction + ri,completion",implicit-100%,,enforced,"actions are encoded as discrete values: Right-turn(R) with 0, Go-straight(S) with 0.5, and Left-turn(L) with 1",PDDQN (Prioritized Experience Replay-based Double DQN),full-text,not-addressed,,reported,it is also found that the agent shows its trip completion every episode after the exploration process,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
9,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,yes,s1 and s2 refer to the longitude and latitude of the agent's destination,context-conditioning,s1 and s2 refer to the longitude and latitude of the agent's destination,local-prediction,Pt describes a set of predicted mean speeds for subsequent links connected to the link at which the agent is located at time step t,predicted,"the prediction reward rt,prediction is intended to consider travel time variability. It is worth noting that the most distinctive characteristic of the RL-TPVR is the consideration of rt,prediction in the reward function.",individual,"rt = rt,distance + rt,time + rt,prediction + rt,terminal",implicit-100%,,enforced,The action space varies with the number of links connected to the current link at which the ego vehicle is located.,PDDQN (Prioritized Experience Replay-based Double DQN),full-text,boundary-open-addressed,a large negative reward value is given when the terminal state is in other boundary links on a road network,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
