paperId,title,year,venue,citationCount,doi,query
ee44286f9edcb1008136b6c1bc12da6a24a411cf,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,2020,Applied Mathematics and Computation,53,10.1016/j.amc.2019.124895,reinforcement learning route guidance
f72246848e568b559a52b3a3e5584c3f01870dbc,A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles,2023,IEEE Transactions on Industrial Informatics,52,10.1109/TII.2022.3210264,deep reinforcement learning route guidance
c328b70aba55d71fe03da0acfa6cb07914286729,Deep Reinforcement Learning Algorithm for Dynamic Pricing of Express Lanes with Multiple Access Locations,2019,Transportation Research Part C: Emerging Technologies,43,10.1016/j.trc.2020.102715,deep reinforcement learning route guidance
b00edb4a98f50f6d435fd906520cbfe3877b0629,A tutorial on recursive models for analyzing and predicting path choice behavior,2019,EURO Journal on Transportation and Logistics,43,10.1016/j.ejtl.2020.100004,reinforcement learning adaptive route guidance transportation
d595a84ab844cb536c7644fa7758d3b3cd3c92e5,Resilience Analysis of Urban Road Networks Based on Adaptive Signal Controls: Day-to-Day Traffic Dynamics with Deep Reinforcement Learning,2020,Complex,38,10.1155/2020/8841317,deep reinforcement learning traffic assignment network
632858eb0a91064d571cb10674b5d7ca68080927,An experimental study on cumulative prospect theory learning model of travelers’ dynamic mode choice under uncertainty,2017,,26,10.1016/J.IJTST.2017.07.002,day-to-day route choice reinforcement learning
faa08d4d7e34d8b438d540a815924b9e1032b66c,Dynamic pricing for managed lanes with multiple entrances and exits,2018,Transportation Research Part C: Emerging Technologies,25,10.1016/J.TRC.2018.09.017,Markov decision process route guidance
e28041771f751941ae7d4ebc691da1d80e5189c4,Q-Learning-Based Coordinated Variable Speed Limit and Hard Shoulder Running Control Strategy to Reduce Travel Time at Freeway Corridor,2020,Transportation Research Record,21,10.1177/0361198120949875,dynamic traffic assignment reinforcement learning
b40e8685ae9fa80b6429e787e37a31eab1dbc4cb,Smart Navigation and Energy Management Framework for Autonomous Electric Vehicles in Complex Environments,2023,IEEE Internet of Things Journal,19,10.1109/JIOT.2023.3244854,deep reinforcement learning route guidance
46199b54a4856432fab632fcd34ff9ab996e3f84,Learning to Minimise Regret in Route Choice,2017,Adaptive Agents and Multi-Agent Systems,19,10.65109/edgy8635,reinforcement learning adaptive route guidance transportation
60433604068d03529a989e1460c64a1503d4c3a5,TERL: Two-Stage Ensemble Reinforcement Learning Paradigm for Large-Scale Decentralized Decision Making in Transportation Simulation,2023,IEEE Transactions on Knowledge and Data Engineering,18,10.1109/TKDE.2023.3272688,reinforcement learning adaptive route guidance transportation
338da3b2ea247e81604da122bf95833b12734797,Intelligent Traffic Network Control in the Era of Internet of Vehicles,2021,IEEE Transactions on Vehicular Technology,17,10.1109/TVT.2021.3105478,deep reinforcement learning dynamic routing traffic
d345eb58a23592cf92e56bc7d9de89eb69cc1432,Actor-Critic based Deep Reinforcement Learning Framework for Energy Management of Extended Range Electric Delivery Vehicles,2019,2019 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),16,10.1109/AIM.2019.8868667,deep reinforcement learning route guidance
7cbbe64fdae8be242041403509d57ef521ac5762,Toll-Based Learning for Minimising Congestion under Heterogeneous Preferences,2020,Adaptive Agents and Multi-Agent Systems,15,10.65109/dzcu8586,reinforcement learning route choice
2e21a97a78fe1dfeaf195fae9aae457958dc1dc7,Toll-based reinforcement learning for efficient equilibria in route choice,2020,Knowledge engineering review (Print),14,10.1017/S0269888920000119,reinforcement learning adaptive route guidance transportation
0d508be203286809d5a7c1da6fd7be86967c0e1d,Itinerary Planning via Deep Reinforcement Learning,2020,International Conference on Multimedia Retrieval,12,10.1145/3372278.3390727,deep reinforcement learning route guidance
92aa42a5f923cd56fe10bea75984a0105a7d82fd,Towards Designing Optimal Reward Functions in Multi-Agent Reinforcement Learning Problems,2018,IEEE International Joint Conference on Neural Network,8,10.1109/IJCNN.2018.8489029,dynamic traffic assignment reinforcement learning
32fda77a006244ee01fb8d9cd4bda35017259186,Optimizing City-Scale Traffic Through Modeling Observations of Vehicle Movements,2019,IEEE transactions on intelligent transportation systems (Print),5,10.1109/TITS.2021.3094758,deep reinforcement learning dynamic routing traffic
339eea4a37c62557253536e46742778a184b103d,A Distributed Assignment Method for Dynamic Traffic Assignment Using Heterogeneous-Adviser Based Multi-Agent Reinforcement Learning,2020,IEEE Access,5,10.1109/ACCESS.2020.3018267,reinforcement learning adaptive route guidance transportation
b38cc4648bc13f3fba6caf25c4f27f666b8e2334,Centralized Q-Learning based Routing in EH-WSNs with Dual Alternative Batteries,2020,Journal of Physics: Conference Series,5,10.1088/1742-6596/1544/1/012083,reinforcement learning route choice
0e1ea6c2ed3d8003a9be3952680af8a71c42fb96,Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning With Spatio-Temporal Trajectory Generation,2025,IEEE Transactions on Mobile Computing,5,10.1109/TMC.2025.3558918,multi-agent reinforcement learning vehicle navigation
e77a205defbdaeea083f7c7dd76489e87a6a6056,A Hybrid Evolutionary and Multiagent Reinforcement Learning Approach to Accelerate the Computation of Traffic Assignment: (Extended Abstract),2015,Adaptive Agents and Multi-Agent Systems,4,10.65109/nsnf8578,reinforcement learning adaptive route guidance transportation
01c40c702399279b6dded2c208da0b0de9236190,Accelerating route choice learning with experience sharing in a commuting scenario: An agent-based approach,2020,AI Communications,3,10.3233/AIC-201582,reinforcement learning route choice
53d0cdec73981d4101c474645d8b08cf08361fd8,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,2023,2023 20th International Conference on Ubiquitous Robots (UR),3,10.1109/UR57808.2023.10202222,deep reinforcement learning road network routing
4a9b9d5f441c5561e511b8e03f836f405367496e,Integrated mode of transport: a predictive model for route guidance,2020,,2,10.1108/ijius-09-2020-0040,reinforcement learning adaptive route guidance transportation
4ae01084078b64a0682effb503514ec87a179bf4,On the Role of Reward Functions for Reinforcement Learning in the Traffic Assignment Problem,2020,IEEE International Joint Conference on Neural Network,2,10.1109/IJCNN48605.2020.9207403,deep reinforcement learning traffic assignment network
60c96f352c1f426f3aa2b0035c3de3c9974ee381,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,2021,Journal of Information and Data Management,2,10.5753/jidm.2021.1935,reinforcement learning route choice
2fba3143a6b66ab56b95176f0dc3e3db3f6e1f0a,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,2025,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",2,10.1109/ACDSA65407.2025.11165977,reinforcement learning vehicle route optimization
3d16425c55b2ddd8f7a497cf00b9146e5545e641,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,2024,arXiv.org,2,10.48550/arXiv.2407.17980,reinforcement learning vehicle route optimization
d1303025621dd2deae3c6fd19e44ae86e83dd6aa,Privacy-preserving Intelligent Traffic Light Control,2020,Global Communications Conference,2,10.1109/GLOBECOM42002.2020.9347948,deep Q-network route guidance
c5d3b76ef0ee4362218e25b47371a0a9187f050d,Scalable and Reliable Multi-Agent Reinforcement Learning for Traffic Assignment,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),1,10.1109/ITSC60802.2025.11423512,reinforcement learning adaptive route guidance transportation
00d9321a7434eb7004f63d3932524a95442f9006,Machine Learning-Based Route Optimization for Smart Urban Transportation Systems,2025,Journal of Computer Science Application and Engineering (JOSAPEN),1,10.70356/josapen.v3i2.65,reinforcement learning traffic routing urban
f061c0251bdf91f4ee2a2596b212a08b648c4a58,AI driven Autonomous Vehicles: Navigating the Future of Transportation,2025,"2025 2nd International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)",1,10.1109/ICCAMS65118.2025.11233238,vehicle navigation reinforcement learning urban traffic
